instance,arm,return_code,status,valid_final_lb,verified_ub,strict_certificate,false_certificate,lifecycle_complete,passed
moderate_seed4301,P-GRB,0,time_limit,0.0056925513371461275,0.08995575340378559,False,False,False,True
moderate_seed4301,C5-CANDIDATE,0,round30_c5_external_gini_tree_time_limit,0.004889331245015507,0.019278051143257303,False,False,True,True
