source_stage,instance,family,V,M,arm,repetition,budget_seconds,return_code,emergency_timeout,status,verified_ub,common_verified_ub,valid_final_lb,common_ub_gap,strict_certificate,runtime_seconds,root_coverage_valid,parent_child_coverage_valid,all_relevant_leaves_closed,all_leaf_bounds_valid,global_bound_monotone,leaf_bounds_monotone,lifecycle_complete,failure_reason,run_id,run_path
stage3,V12_M1,v12,12,1,S0-CPLEX,0,300,0,False,global_gini_tree_time_limit,0.3572005832084155,0.3572005832084155,0.3565048157957349,0.0019478339212975666,False,295.1414042,False,False,False,False,False,False,False,,stage3__V12_M1__s0_cplex__300s,results/gf_c0_mechanism_transfer_c5_round30/runs/stage3__V12_M1__s0_cplex__300s
stage1,V12_M1,v12,12,1,C0-DIAG,0,300,0,False,optimal,0.3572005832084155,0.3572005832084155,0.3572005832084145,2.797309884512809e-15,True,29.2882173,True,True,True,True,True,True,True,none,stage1__V12_M1__c0_diag__300s,results/gf_c0_mechanism_transfer_c5_round30/runs/stage1__V12_M1__c0_diag__300s
stage3,V12_M1,v12,12,1,C3-REPLICA,0,300,0,False,cplex_replica_external_gini_tree_time_limit,0.3572005832084155,0.3572005832084155,0.31663236056917027,0.11357266630098123,False,295.0303286,True,True,False,True,True,True,True,overall_global_deadline,stage3__V12_M1__c3_replica__300s,results/gf_c0_mechanism_transfer_c5_round30/runs/stage3__V12_M1__c3_replica__300s
stage1,V12_M1,v12,12,1,C4-CANDIDATE,0,300,0,False,optimal,0.3572005832084155,0.3572005832084155,0.3572005832084146,2.641903779817653e-15,True,134.8882327,True,True,True,True,True,True,True,none,stage1__V12_M1__c4_candidate__300s,results/gf_c0_mechanism_transfer_c5_round30/runs/stage1__V12_M1__c4_candidate__300s
stage1,V12_M1,v12,12,1,C5-CANDIDATE,0,300,0,False,optimal,0.3572005832084155,0.3572005832084155,0.3572005832084146,2.641903779817653e-15,True,54.1525926,True,True,True,True,True,True,True,none,stage1__V12_M1__c5_candidate__300s,results/gf_c0_mechanism_transfer_c5_round30/runs/stage1__V12_M1__c5_candidate__300s
stage3,V12_M2,v12,12,2,S0-CPLEX,0,300,0,False,global_gini_tree_time_limit,0.7185040707549709,0.7185040707549709,0.7072634508706185,0.015644476269342924,False,295.2138154,False,False,False,False,False,False,False,,stage3__V12_M2__s0_cplex__300s,results/gf_c0_mechanism_transfer_c5_round30/runs/stage3__V12_M2__s0_cplex__300s
stage1,V12_M2,v12,12,2,C0-DIAG,0,300,0,False,optimal,0.7185040707549709,0.7185040707549709,0.7185040707549689,2.781336286968359e-15,True,184.9469444,True,True,True,True,True,True,True,none,stage1__V12_M2__c0_diag__300s,results/gf_c0_mechanism_transfer_c5_round30/runs/stage1__V12_M2__c0_diag__300s
stage3,V12_M2,v12,12,2,C3-REPLICA,0,300,0,False,cplex_replica_external_gini_tree_time_limit,0.7185040707549709,0.7185040707549709,0.6552496903260966,0.088036217195554,False,295.0515728,True,True,False,True,True,True,True,overall_global_deadline,stage3__V12_M2__c3_replica__300s,results/gf_c0_mechanism_transfer_c5_round30/runs/stage3__V12_M2__c3_replica__300s
stage1,V12_M2,v12,12,2,C4-CANDIDATE,0,300,0,False,round29_c4_external_gini_tree_time_limit,0.7185040707549709,0.7185040707549709,0.6557601837879294,0.08732572231791685,False,295.0228494,True,True,False,True,True,True,True,overall_global_deadline,stage1__V12_M2__c4_candidate__300s,results/gf_c0_mechanism_transfer_c5_round30/runs/stage1__V12_M2__c4_candidate__300s
stage1,V12_M2,v12,12,2,C5-CANDIDATE,0,300,0,False,optimal,0.7185040707549709,0.7185040707549709,0.7185040707549704,7.725934130467664e-16,True,228.2343925,True,True,True,True,True,True,True,none,stage1__V12_M2__c5_candidate__300s,results/gf_c0_mechanism_transfer_c5_round30/runs/stage1__V12_M2__c5_candidate__300s
