run_id,instance,family,arm,trace_complete,trace_reason,valid_bound_observation_count,auc_status,observed_start_process_seconds,observed_end_process_seconds,observed_duration_seconds,raw_lower_bound_time_integral,mean_observed_lower_bound,normalized_proof_progress_auc,normalized_gap_auc,common_verified_upper_bound,initial_valid_lower_bound,final_observed_lower_bound
stage1__V12_M1__c0_diag__300s,V12_M1,v12,C0-DIAG,False,no_bound_component_at_row_561,0,auc_unavailable,,,,,,,,,,
stage1__V12_M1__c4_candidate__300s,V12_M1,v12,C4-CANDIDATE,True,complete_observed_trace,1145,observed,6.0790702,134.8862599,128.8071897,40.028066338341056,0.3107595657631295,0.8699861656771445,0.1300138343228535,0.3572005832084155,0.0,0.3572005832084146
stage1__V12_M1__c5_candidate__300s,V12_M1,v12,C5-CANDIDATE,True,complete_observed_trace,583,observed,6.0913134,54.1503884,48.059075,15.212588962464917,0.3165393624922019,0.8861669811650658,0.11383301883493402,0.3572005832084155,0.0,0.3572005832084146
stage1__V12_M2__c0_diag__300s,V12_M2,v12,C0-DIAG,False,no_bound_component_at_row_633,0,auc_unavailable,,,,,,,,,,
stage1__V12_M2__c4_candidate__300s,V12_M2,v12,C4-CANDIDATE,True,complete_observed_trace,1534,observed,6.7984358,295.0195639,288.2211281,187.02674545538054,0.6489001923220928,0.9031266748986696,0.09687332510133179,0.7185040707549709,0.0,0.6557601837879294
stage1__V12_M2__c5_candidate__300s,V12_M2,v12,C5-CANDIDATE,True,complete_observed_trace,948,observed,6.7894266,228.2323269,221.4429003,146.67982849254656,0.6623821684679523,0.9218906272471786,0.0781093727528203,0.7185040707549709,0.0,0.7185040707549704
stage1__high_imbalance_seed3202__c0_diag__300s,high_imbalance_seed3202,high_imbalance,C0-DIAG,True,complete_observed_trace,297,observed,15.5114776,289.4328007,273.9213231,431.9375907583079,1.5768673496098045,0.9014206960801233,0.09857930391987685,1.7493134520506337,0.0,1.6974935979301984
stage1__high_imbalance_seed3202__c4_candidate__300s,high_imbalance_seed3202,high_imbalance,C4-CANDIDATE,True,complete_observed_trace,1239,observed,16.2450246,295.0173443,278.77231969999997,445.5013691771447,1.5980832302739731,0.913548814479542,0.08645118552045791,1.7493134520506337,0.0,1.610843602757366
stage1__high_imbalance_seed3202__c5_candidate__300s,high_imbalance_seed3202,high_imbalance,C5-CANDIDATE,True,complete_observed_trace,414,observed,16.3205815,211.6262267,195.3056452,322.00369574043185,1.6487167865050112,0.9424936306139401,0.0575063693860587,1.7493134520506337,0.0,1.749313452050631
stage1__moderate_seed3302__c0_diag__300s,moderate_seed3302,moderate,C0-DIAG,True,complete_observed_trace,150,observed,19.9451676,289.5171721,269.5720045,37.131726525500476,0.13774325933574633,0.7040785638073477,0.29592143619265204,0.19563620654901237,0.0,0.15986358119059038
stage1__moderate_seed3302__c4_candidate__300s,moderate_seed3302,moderate,C4-CANDIDATE,True,complete_observed_trace,598,observed,19.9500373,295.0157653,275.065728,38.00058992207383,0.13815094377033343,0.7061624543191225,0.293837545680877,0.19563620654901237,0.0,0.13953281761623015
stage1__moderate_seed3302__c5_candidate__300s,moderate_seed3302,moderate,C5-CANDIDATE,True,complete_observed_trace,533,observed,19.9914791,295.0203923,275.02891320000003,38.04218203055609,0.13832066450007005,0.7070299866268207,0.2929700133731799,0.19563620654901237,0.0,0.13984710960974936
stage1__tight_T_seed3101__c0_diag__300s,tight_T_seed3101,tight_T,C0-DIAG,True,complete_observed_trace,208,observed,14.8643505,289.4183603,274.5540098,14.303913556988068,0.05209872391740995,0.4857566041379146,0.5142433958620857,0.10725273413394144,0.0,0.052801353735599986
stage1__tight_T_seed3101__c4_candidate__300s,tight_T_seed3101,tight_T,C4-CANDIDATE,True,complete_observed_trace,186,observed,14.8182142,295.0275235,280.2093093,14.043122268187139,0.05011654431920453,0.4672752142301289,0.5327247857698708,0.10725273413394144,0.0,0.05362636706697072
stage1__tight_T_seed3101__c5_candidate__300s,tight_T_seed3101,tight_T,C5-CANDIDATE,True,complete_observed_trace,149,observed,14.955199,295.0287245,280.0735255,14.533565297999537,0.051891963983577365,0.48382882173215874,0.5161711782678412,0.10725273413394144,0.0,0.05362636706697072
stage1__tight_T_seed5102__c0_diag__300s,tight_T_seed5102,tight_T,C0-DIAG,True,complete_observed_trace,154,observed,17.6332225,289.6134815,271.980259,80.44977567821667,0.2957927019189164,0.8163071495916182,0.1836928504083815,0.3623546627845846,0.0,0.3191184382499574
stage1__tight_T_seed5102__c4_candidate__300s,tight_T_seed5102,tight_T,C4-CANDIDATE,True,complete_observed_trace,200,observed,17.7996016,295.0257115,277.2261099,57.63541381807245,0.20790038080779077,0.5737483249425847,0.4262516750574151,0.3623546627845846,0.0,0.20843292656852036
stage1__tight_T_seed5102__c5_candidate__300s,tight_T_seed5102,tight_T,C5-CANDIDATE,True,complete_observed_trace,202,observed,17.3609709,295.0220537,277.66108280000003,57.72701957370995,0.2079046115918624,0.5737600007522443,0.4262399992477559,0.3623546627845846,0.0,0.20843292656852036
stage1__moderate_seed6301__c0_diag__300s,moderate_seed6301,moderate,C0-DIAG,True,complete_observed_trace,24,observed,50.360804,291.4867091,241.12590509999998,20.831128460691573,0.08639108457489239,0.14220069214984077,0.857799307850159,0.6075292832179728,0.0,0.45564696241347963
stage1__moderate_seed6301__c4_candidate__300s,moderate_seed6301,moderate,C4-CANDIDATE,True,complete_observed_trace,44,observed,50.9471889,295.0756001,244.12841119999996,95.2896210331037,0.39032581486404117,0.6424806600211201,0.3575193399788799,0.6075292832179728,0.0,0.4820366689538659
