stage,instance,arm,repetition,historical_bound_observations,compatible_trace_complete,auc_status,reason,round30_action
stage1,high_imbalance_seed3202,C3-REPLICA,0,130,True,observed_historical_trace,compatible_observations_retained,retain_only_when_observed
stage1,high_imbalance_seed3202,C4-CANDIDATE,0,0,False,auc_unavailable,round29_c4_missing_compatible_global_bound_trace;endpoint_only_pseudo_trajectory_rejected,rerun_with_round30_trace_schema
stage1,moderate_seed3302,C3-REPLICA,0,230,True,observed_historical_trace,compatible_observations_retained,retain_only_when_observed
stage1,moderate_seed3302,C4-CANDIDATE,0,0,False,auc_unavailable,round29_c4_missing_compatible_global_bound_trace;endpoint_only_pseudo_trajectory_rejected,rerun_with_round30_trace_schema
stage1,moderate_seed6301,C3-REPLICA,0,0,False,auc_unavailable,no_observed_valid_bound_events,retain_only_when_observed
stage1,moderate_seed6301,C4-CANDIDATE,0,0,False,auc_unavailable,round29_c4_missing_compatible_global_bound_trace;endpoint_only_pseudo_trajectory_rejected,rerun_with_round30_trace_schema
stage1,tight_T_seed3101,C3-REPLICA,0,727,True,observed_historical_trace,compatible_observations_retained,retain_only_when_observed
stage1,tight_T_seed3101,C4-CANDIDATE,0,0,False,auc_unavailable,round29_c4_missing_compatible_global_bound_trace;endpoint_only_pseudo_trajectory_rejected,rerun_with_round30_trace_schema
stage1,V12_M1,C3-REPLICA,0,454,True,observed_historical_trace,compatible_observations_retained,retain_only_when_observed
stage1,V12_M1,C4-CANDIDATE,0,0,False,auc_unavailable,round29_c4_missing_compatible_global_bound_trace;endpoint_only_pseudo_trajectory_rejected,rerun_with_round30_trace_schema
stage1,V12_M2,C3-REPLICA,0,218,True,observed_historical_trace,compatible_observations_retained,retain_only_when_observed
stage1,V12_M2,C4-CANDIDATE,0,0,False,auc_unavailable,round29_c4_missing_compatible_global_bound_trace;endpoint_only_pseudo_trajectory_rejected,rerun_with_round30_trace_schema
stage2,high_imbalance_seed3202,P-GRB,0,2171,True,observed_historical_trace,compatible_observations_retained,retain_only_when_observed
stage2,high_imbalance_seed4201,C3-REPLICA,0,85,True,observed_historical_trace,compatible_observations_retained,retain_only_when_observed
stage2,high_imbalance_seed4201,C4-CANDIDATE,0,0,False,auc_unavailable,round29_c4_missing_compatible_global_bound_trace;endpoint_only_pseudo_trajectory_rejected,rerun_with_round30_trace_schema
stage2,high_imbalance_seed4201,P-GRB,0,1944,True,observed_historical_trace,compatible_observations_retained,retain_only_when_observed
