run_id,instance,arm,model_reads,model_count,in_memory_model_reuse,basis_available,basis_mapped,basis_submitted,basis_accepted,confirmed_native_continuation,ambiguous_retained_state,claim
stage1__V12_M1__c0_diag__300s,V12_M1,C0-DIAG,4,4,0,0,0,0,0,0,0,arm_specific_reference
stage1__V12_M1__c4_candidate__300s,V12_M1,C4-CANDIDATE,164,164,69,0,0,0,0,0,0,same_leaf_model_object_only_no_basis_or_native_tree_claim
stage1__V12_M1__c5_candidate__300s,V12_M1,C5-CANDIDATE,76,76,18,0,0,0,0,0,0,same_leaf_model_object_only_no_basis_or_native_tree_claim
stage1__V12_M2__c0_diag__300s,V12_M2,C0-DIAG,6,6,0,0,0,0,0,0,0,arm_specific_reference
stage1__V12_M2__c4_candidate__300s,V12_M2,C4-CANDIDATE,112,112,48,0,0,0,0,0,0,same_leaf_model_object_only_no_basis_or_native_tree_claim
stage1__V12_M2__c5_candidate__300s,V12_M2,C5-CANDIDATE,100,100,50,0,0,0,0,0,0,same_leaf_model_object_only_no_basis_or_native_tree_claim
stage1__high_imbalance_seed3202__c0_diag__300s,high_imbalance_seed3202,C0-DIAG,8,8,0,0,0,0,0,0,0,arm_specific_reference
stage1__high_imbalance_seed3202__c4_candidate__300s,high_imbalance_seed3202,C4-CANDIDATE,68,68,25,0,0,0,0,0,0,same_leaf_model_object_only_no_basis_or_native_tree_claim
stage1__high_imbalance_seed3202__c5_candidate__300s,high_imbalance_seed3202,C5-CANDIDATE,40,40,16,0,0,0,0,0,0,same_leaf_model_object_only_no_basis_or_native_tree_claim
stage1__moderate_seed3302__c0_diag__300s,moderate_seed3302,C0-DIAG,6,6,0,0,0,0,0,0,0,arm_specific_reference
stage1__moderate_seed3302__c4_candidate__300s,moderate_seed3302,C4-CANDIDATE,143,143,20,0,0,0,0,0,0,same_leaf_model_object_only_no_basis_or_native_tree_claim
stage1__moderate_seed3302__c5_candidate__300s,moderate_seed3302,C5-CANDIDATE,107,107,30,0,0,0,0,0,0,same_leaf_model_object_only_no_basis_or_native_tree_claim
stage1__tight_T_seed3101__c0_diag__300s,tight_T_seed3101,C0-DIAG,6,6,0,0,0,0,0,0,0,arm_specific_reference
stage1__tight_T_seed3101__c4_candidate__300s,tight_T_seed3101,C4-CANDIDATE,30,30,9,0,0,0,0,0,0,same_leaf_model_object_only_no_basis_or_native_tree_claim
stage1__tight_T_seed3101__c5_candidate__300s,tight_T_seed3101,C5-CANDIDATE,10,10,4,0,0,0,0,0,0,same_leaf_model_object_only_no_basis_or_native_tree_claim
stage1__tight_T_seed5102__c0_diag__300s,tight_T_seed5102,C0-DIAG,8,8,0,0,0,0,0,0,0,arm_specific_reference
stage1__tight_T_seed5102__c4_candidate__300s,tight_T_seed5102,C4-CANDIDATE,7,7,1,0,0,0,0,0,0,same_leaf_model_object_only_no_basis_or_native_tree_claim
stage1__tight_T_seed5102__c5_candidate__300s,tight_T_seed5102,C5-CANDIDATE,7,7,1,0,0,0,0,0,0,same_leaf_model_object_only_no_basis_or_native_tree_claim
stage1__moderate_seed6301__c0_diag__300s,moderate_seed6301,C0-DIAG,5,5,0,0,0,0,0,0,0,arm_specific_reference
stage1__moderate_seed6301__c4_candidate__300s,moderate_seed6301,C4-CANDIDATE,26,26,2,0,0,0,0,0,0,same_leaf_model_object_only_no_basis_or_native_tree_claim
stage1__moderate_seed6301__c5_candidate__300s,moderate_seed6301,C5-CANDIDATE,18,18,3,0,0,0,0,0,0,same_leaf_model_object_only_no_basis_or_native_tree_claim
stage2__V12_M1__p_grb__300s,V12_M1,P-GRB,0,0,0,0,0,0,0,0,0,arm_specific_reference
stage2__V12_M2__p_grb__300s,V12_M2,P-GRB,0,0,0,0,0,0,0,0,0,arm_specific_reference
stage2__high_imbalance_seed3202__p_grb__300s,high_imbalance_seed3202,P-GRB,0,0,0,0,0,0,0,0,0,arm_specific_reference
stage2__moderate_seed3302__p_grb__300s,moderate_seed3302,P-GRB,0,0,0,0,0,0,0,0,0,arm_specific_reference
stage2__tight_T_seed3101__p_grb__300s,tight_T_seed3101,P-GRB,0,0,0,0,0,0,0,0,0,arm_specific_reference
stage2__high_imbalance_seed4201__p_grb__300s,high_imbalance_seed4201,P-GRB,0,0,0,0,0,0,0,0,0,arm_specific_reference
stage2__high_imbalance_seed4201__c4_candidate__300s,high_imbalance_seed4201,C4-CANDIDATE,52,52,3,0,0,0,0,0,0,same_leaf_model_object_only_no_basis_or_native_tree_claim
stage2__high_imbalance_seed4201__c5_candidate__300s,high_imbalance_seed4201,C5-CANDIDATE,46,46,9,0,0,0,0,0,0,same_leaf_model_object_only_no_basis_or_native_tree_claim
stage2__moderate_seed4302__p_grb__300s,moderate_seed4302,P-GRB,0,0,0,0,0,0,0,0,0,arm_specific_reference
stage2__moderate_seed4302__c4_candidate__300s,moderate_seed4302,C4-CANDIDATE,6,6,2,0,0,0,0,0,0,same_leaf_model_object_only_no_basis_or_native_tree_claim
stage2__moderate_seed4302__c5_candidate__300s,moderate_seed4302,C5-CANDIDATE,6,6,2,0,0,0,0,0,0,same_leaf_model_object_only_no_basis_or_native_tree_claim
stage2__tight_T_seed4101__p_grb__300s,tight_T_seed4101,P-GRB,0,0,0,0,0,0,0,0,0,arm_specific_reference
stage2__tight_T_seed4101__c4_candidate__300s,tight_T_seed4101,C4-CANDIDATE,6,6,1,0,0,0,0,0,0,same_leaf_model_object_only_no_basis_or_native_tree_claim
stage2__tight_T_seed4101__c5_candidate__300s,tight_T_seed4101,C5-CANDIDATE,6,6,1,0,0,0,0,0,0,same_leaf_model_object_only_no_basis_or_native_tree_claim
stage2__high_imbalance_seed5202__p_grb__300s,high_imbalance_seed5202,P-GRB,0,0,0,0,0,0,0,0,0,arm_specific_reference
stage2__high_imbalance_seed5202__c4_candidate__300s,high_imbalance_seed5202,C4-CANDIDATE,34,34,1,0,0,0,0,0,0,same_leaf_model_object_only_no_basis_or_native_tree_claim
stage2__high_imbalance_seed5202__c5_candidate__300s,high_imbalance_seed5202,C5-CANDIDATE,30,30,4,0,0,0,0,0,0,same_leaf_model_object_only_no_basis_or_native_tree_claim
stage2__high_imbalance_seed5203__p_grb__300s,high_imbalance_seed5203,P-GRB,0,0,0,0,0,0,0,0,0,arm_specific_reference
stage2__high_imbalance_seed5203__c4_candidate__300s,high_imbalance_seed5203,C4-CANDIDATE,58,58,18,0,0,0,0,0,0,same_leaf_model_object_only_no_basis_or_native_tree_claim
stage2__high_imbalance_seed5203__c5_candidate__300s,high_imbalance_seed5203,C5-CANDIDATE,102,102,40,0,0,0,0,0,0,same_leaf_model_object_only_no_basis_or_native_tree_claim
stage2__moderate_seed5301__p_grb__300s,moderate_seed5301,P-GRB,0,0,0,0,0,0,0,0,0,arm_specific_reference
stage2__moderate_seed5301__c4_candidate__300s,moderate_seed5301,C4-CANDIDATE,306,306,143,0,0,0,0,0,0,same_leaf_model_object_only_no_basis_or_native_tree_claim
stage2__moderate_seed5301__c5_candidate__300s,moderate_seed5301,C5-CANDIDATE,71,71,26,0,0,0,0,0,0,same_leaf_model_object_only_no_basis_or_native_tree_claim
stage2__moderate_seed5302__p_grb__300s,moderate_seed5302,P-GRB,0,0,0,0,0,0,0,0,0,arm_specific_reference
stage2__moderate_seed5302__c4_candidate__300s,moderate_seed5302,C4-CANDIDATE,51,51,8,0,0,0,0,0,0,same_leaf_model_object_only_no_basis_or_native_tree_claim
stage2__moderate_seed5302__c5_candidate__300s,moderate_seed5302,C5-CANDIDATE,7,7,3,0,0,0,0,0,0,same_leaf_model_object_only_no_basis_or_native_tree_claim
stage2__tight_T_seed5102__p_grb__300s,tight_T_seed5102,P-GRB,0,0,0,0,0,0,0,0,0,arm_specific_reference
stage2__tight_T_seed5103__p_grb__300s,tight_T_seed5103,P-GRB,0,0,0,0,0,0,0,0,0,arm_specific_reference
stage2__tight_T_seed5103__c4_candidate__300s,tight_T_seed5103,C4-CANDIDATE,9,9,1,0,0,0,0,0,0,same_leaf_model_object_only_no_basis_or_native_tree_claim
stage2__tight_T_seed5103__c5_candidate__300s,tight_T_seed5103,C5-CANDIDATE,9,9,2,0,0,0,0,0,0,same_leaf_model_object_only_no_basis_or_native_tree_claim
stage2__high_imbalance_seed6202__p_grb__300s,high_imbalance_seed6202,P-GRB,0,0,0,0,0,0,0,0,0,arm_specific_reference
stage2__high_imbalance_seed6202__c4_candidate__300s,high_imbalance_seed6202,C4-CANDIDATE,8,8,1,0,0,0,0,0,0,same_leaf_model_object_only_no_basis_or_native_tree_claim
stage2__high_imbalance_seed6202__c5_candidate__300s,high_imbalance_seed6202,C5-CANDIDATE,8,8,1,0,0,0,0,0,0,same_leaf_model_object_only_no_basis_or_native_tree_claim
stage2__moderate_seed6301__p_grb__300s,moderate_seed6301,P-GRB,0,0,0,0,0,0,0,0,0,arm_specific_reference
stage2__tight_T_seed6102__p_grb__300s,tight_T_seed6102,P-GRB,0,0,0,0,0,0,0,0,0,arm_specific_reference
stage2__tight_T_seed6102__c4_candidate__300s,tight_T_seed6102,C4-CANDIDATE,24,24,3,0,0,0,0,0,0,same_leaf_model_object_only_no_basis_or_native_tree_claim
stage2__tight_T_seed6102__c5_candidate__300s,tight_T_seed6102,C5-CANDIDATE,22,22,4,0,0,0,0,0,0,same_leaf_model_object_only_no_basis_or_native_tree_claim
stage3__V12_M1__s0_cplex__300s,V12_M1,S0-CPLEX,0,0,0,0,0,0,0,0,0,arm_specific_reference
stage3__V12_M1__c3_replica__300s,V12_M1,C3-REPLICA,334,334,0,0,0,0,0,0,0,arm_specific_reference
stage3__V12_M2__s0_cplex__300s,V12_M2,S0-CPLEX,0,0,0,0,0,0,0,0,0,arm_specific_reference
stage3__V12_M2__c3_replica__300s,V12_M2,C3-REPLICA,160,160,0,0,0,0,0,0,0,arm_specific_reference
stage3__high_imbalance_seed3202__s0_cplex__300s,high_imbalance_seed3202,S0-CPLEX,0,0,0,0,0,0,0,0,0,arm_specific_reference
stage3__high_imbalance_seed3202__c3_replica__300s,high_imbalance_seed3202,C3-REPLICA,89,89,0,0,0,0,0,0,0,arm_specific_reference
stage3__moderate_seed3302__s0_cplex__300s,moderate_seed3302,S0-CPLEX,0,0,0,0,0,0,0,0,0,arm_specific_reference
stage3__moderate_seed3302__c3_replica__300s,moderate_seed3302,C3-REPLICA,133,133,0,0,0,0,0,0,0,arm_specific_reference
stage3__tight_T_seed3101__s0_cplex__300s,tight_T_seed3101,S0-CPLEX,0,0,0,0,0,0,0,0,0,arm_specific_reference
stage3__tight_T_seed3101__c3_replica__300s,tight_T_seed3101,C3-REPLICA,539,539,0,0,0,0,0,0,0,arm_specific_reference
stage4__V12_M2__c5_candidate__rep1__300s,V12_M2,C5-CANDIDATE,100,100,50,0,0,0,0,0,0,same_leaf_model_object_only_no_basis_or_native_tree_claim
stage4__V12_M2__c5_candidate__rep2__300s,V12_M2,C5-CANDIDATE,100,100,50,0,0,0,0,0,0,same_leaf_model_object_only_no_basis_or_native_tree_claim
stage4__high_imbalance_seed3202__c5_candidate__rep1__300s,high_imbalance_seed3202,C5-CANDIDATE,40,40,16,0,0,0,0,0,0,same_leaf_model_object_only_no_basis_or_native_tree_claim
stage4__high_imbalance_seed3202__c5_candidate__rep2__300s,high_imbalance_seed3202,C5-CANDIDATE,40,40,16,0,0,0,0,0,0,same_leaf_model_object_only_no_basis_or_native_tree_claim
stage4__tight_T_seed3101__c5_candidate__rep1__300s,tight_T_seed3101,C5-CANDIDATE,10,10,4,0,0,0,0,0,0,same_leaf_model_object_only_no_basis_or_native_tree_claim
stage4__tight_T_seed3101__c5_candidate__rep2__300s,tight_T_seed3101,C5-CANDIDATE,10,10,4,0,0,0,0,0,0,same_leaf_model_object_only_no_basis_or_native_tree_claim
stage4__tight_T_seed5102__c5_candidate__rep1__300s,tight_T_seed5102,C5-CANDIDATE,7,7,1,0,0,0,0,0,0,same_leaf_model_object_only_no_basis_or_native_tree_claim
stage4__tight_T_seed5102__c5_candidate__rep2__300s,tight_T_seed5102,C5-CANDIDATE,7,7,1,0,0,0,0,0,0,same_leaf_model_object_only_no_basis_or_native_tree_claim
stage4__moderate_seed6301__c5_candidate__rep1__300s,moderate_seed6301,C5-CANDIDATE,18,18,3,0,0,0,0,0,0,same_leaf_model_object_only_no_basis_or_native_tree_claim
stage4__moderate_seed6301__c5_candidate__rep2__300s,moderate_seed6301,C5-CANDIDATE,18,18,3,0,0,0,0,0,0,same_leaf_model_object_only_no_basis_or_native_tree_claim
