instance,arm,status,valid_final_lb,verified_ub,trace_complete,trace_reason,valid_bound_observations,optimize_count,lp_optimize_count,partial_mip_optimize_count,partial_targets_reached,terminal_mip_optimize_count,split_count,declined_split_count,total_work,lp_work,partial_mip_work,terminal_mip_work,lifecycle_complete,coverage_valid
high_imbalance_seed3202,C4-CANDIDATE,round29_c4_external_gini_tree_time_limit,1.6075620196009406,1.7493134520506337,True,complete_observed_trace,149,54,46,0,0,8,21,0,71.4417300041091,30.202911562872046,0,41.23881844123706,True,True
high_imbalance_seed3202,C5-CANDIDATE,round30_c5_external_gini_tree_time_limit,1.6626217178809841,1.7493134520506337,True,complete_observed_trace,60,12,10,1,1,1,2,1,79.763911177135,5.284119317721743,0.8782994003205055,73.60149245909275,True,True
moderate_seed3302,C4-CANDIDATE,round29_c4_external_gini_tree_time_limit,0.13928850326024372,0.19563620654901237,False,open_finalization_without_interruption,0,89,89,0,0,0,42,0,65.2542129984489,65.2542129984489,0,0,True,True
moderate_seed3302,C5-CANDIDATE,round30_c5_external_gini_tree_time_limit,0.13902547698211068,0.19563620654901237,False,open_finalization_without_interruption,0,65,58,7,7,0,20,0,68.3441560076049,45.42948094327976,22.91467506432513,0,True,True
moderate_seed6301,C4-CANDIDATE,round29_c4_external_gini_tree_time_limit,0,0.6075292832179728,False,open_finalization_without_interruption,0,1,1,0,0,0,0,0,8.72551110875116,8.72551110875116,0,0,True,True
moderate_seed6301,C5-CANDIDATE,round30_c5_external_gini_tree_time_limit,0,0.6075292832179728,False,open_finalization_without_interruption,0,1,1,0,0,0,0,0,9.48652589133879,9.48652589133879,0,0,True,True
tight_T_seed3101,C4-CANDIDATE,round29_c4_external_gini_tree_time_limit,0.05192808628246948,0.10725273413394144,True,complete_observed_trace,86,39,30,0,0,9,9,5,78.04980292990633,23.46352216663424,0,54.5862807632721,True,True
tight_T_seed3101,C5-CANDIDATE,round30_c5_external_gini_tree_time_limit,0.051936022768654666,0.10725273413394144,True,complete_observed_trace,48,14,10,1,1,3,1,3,82.1480708569056,7.917091877021578,1.1616960117801987,73.06928296810382,True,True
tight_T_seed5102,C4-CANDIDATE,round29_c4_external_gini_tree_time_limit,0.20843292656852036,0.3623546627845846,True,complete_observed_trace,49,8,7,0,0,1,1,1,66.26908863216117,4.337921362102464,0,61.9311672700587,True,True
tight_T_seed5102,C5-CANDIDATE,round30_c5_external_gini_tree_time_limit,0.20843292656852036,0.3623546627845846,True,complete_observed_trace,46,8,7,0,0,1,1,1,65.4635078177488,4.337921362102464,0,61.12558645564634,True,True
V12_M1,C4-CANDIDATE,round29_c4_external_gini_tree_time_limit,0.30674126571621935,0.3572005832084155,True,complete_observed_trace,393,168,120,0,0,48,58,0,63.44928117483722,22.601912580005738,0,40.847368594831494,True,True
V12_M1,C5-CANDIDATE,round30_c5_external_gini_tree_time_limit,0.3540353772422559,0.3572005832084155,True,complete_observed_trace,581,94,76,7,4,11,22,11,69.13094450725423,13.984081226719626,2.945610506667004,52.20125277386759,True,True
V12_M2,C4-CANDIDATE,round29_c4_external_gini_tree_time_limit,0.6485095805960838,0.7185040707549709,True,complete_observed_trace,215,100,76,0,0,24,36,0,68.86738544499113,21.38133609610808,0,47.48604934888303,True,True
V12_M2,C5-CANDIDATE,round30_c5_external_gini_tree_time_limit,0.6516718023297533,0.7185040707549709,True,complete_observed_trace,226,109,82,16,15,11,26,2,69.25260358862167,22.898411327598076,16.431729294808452,29.92246296621514,True,True
