instance,arm,return_code,status,objective,lower_bound,upper_bound,strict_certificate,verification_feasible,passed,toy_objective_identity
toy,P-GRB,0,optimal,0.0,0.0,0.0,True,True,True,True
toy,C5-CANDIDATE,0,optimal,0.0,0.0,0.0,True,True,True,True
