instance,family,left_arm,right_arm,common_verified_ub,left_final_lb,right_final_lb,final_lb_delta_right_minus_left,left_common_gap,right_common_gap,left_strict_certificate,right_strict_certificate,auc_status,auc_reason,common_window_start_process_seconds,common_window_end_process_seconds,common_window_duration_seconds,left_mean_valid_lower_bound,right_mean_valid_lower_bound,left_normalized_proof_auc,right_normalized_proof_auc,normalized_proof_auc_delta_right_minus_left
V12_M1,v12,P-GRB,C5-CANDIDATE,0.3572005832084155,0.3572005832084151,0.3572005832084146,-4.996003610813204e-16,1.2432488375612486e-15,2.641903779817653e-15,True,True,observed_common_window,no_interpolation_no_post_last_event_extension,6.0913134,34.8290489667572,28.7377355667572,0.3391837112975208,0.30967840933500546,0.949560911269899,0.8669594169008514,-0.0826014943690476
V12_M2,v12,P-GRB,C5-CANDIDATE,0.7185040707549709,0.7185040707549712,0.7185040707549704,-8.881784197001252e-16,0.0,7.725934130467664e-16,True,True,observed_common_window,no_interpolation_no_post_last_event_extension,6.7894266,169.15636744850158,162.36694084850157,0.6947419834855163,0.6506630182103598,0.9669283888058047,0.9055801417056542,-0.061348247100150494
high_imbalance_seed3202,high_imbalance,P-GRB,C5-CANDIDATE,1.7493134520506337,1.074868661415556,1.749313452050631,0.674444790635075,0.38554827886589416,1.5231891437048475e-15,False,True,observed_common_window,no_interpolation_no_post_last_event_extension,16.3205815,211.6262267,195.3056452,1.0564373397035733,1.648716786505014,0.6039154037632081,0.9424936306139418,0.3385782268507337
high_imbalance_seed4201,high_imbalance,P-GRB,C5-CANDIDATE,2.784107571242904,2.0042580270669403,2.690845603962983,0.6865875768960428,0.2801075476504728,0.03349797552480571,False,False,observed_common_window,no_interpolation_no_post_last_event_extension,16.4604795,295.0012965332428,278.5408170332428,1.9757377233702247,2.6693177017139975,0.7096484862070802,0.9587695997401383,0.24912111353305813
high_imbalance_seed5202,high_imbalance,P-GRB,C5-CANDIDATE,1.1543377051882164,0.9252150909251404,1.0159527187400632,0.09073762781492278,0.19848837409821699,0.1198825836028542,False,False,observed_common_window,no_interpolation_no_post_last_event_extension,13.7730963,295.0047094847412,281.2316131847412,0.9206697343518343,1.0105416424941136,0.7975739943465823,0.8754298139549572,0.07785581960837495
high_imbalance_seed5203,high_imbalance,P-GRB,C5-CANDIDATE,2.3524097575828193,1.9903564132248892,2.3524097575828193,0.36205334435793013,0.15390743181151917,0.0,False,True,observed_common_window,no_interpolation_no_post_last_event_extension,14.2586179,253.6214547,239.3628368,1.969874032731163,2.06210074508527,0.837385589981261,0.8765907973465268,0.03920520736526572
high_imbalance_seed6202,high_imbalance,P-GRB,C5-CANDIDATE,9.736060015392617,7.8574233767331165,7.461555638889693,-0.39586773784342366,0.19295655898683803,0.23361651149509707,False,False,observed_common_window,no_interpolation_no_post_last_event_extension,21.2875164,295.0057048419617,273.7181884419617,7.855613848159146,6.695806274501246,0.8068575826093394,0.6877326417375439,-0.11912494087179548
moderate_seed3302,moderate,P-GRB,C5-CANDIDATE,0.19563620654901237,0.12931018892684115,0.13984710960974936,0.010536920682908207,0.33902731397296176,0.2851675460456563,False,False,observed_common_window,no_interpolation_no_post_last_event_extension,19.9914791,295.00301230572205,275.01153320572206,0.12851325521759221,0.13832056803281664,0.6568991368445711,0.7070294935317254,0.05013035668715424
moderate_seed4302,moderate,P-GRB,C5-CANDIDATE,0.04854285887126694,8.816848156789071e-08,0.016240295448157305,0.016240207279675737,0.9999981836982077,0.6654441904374504,False,False,observed_common_window,no_interpolation_no_post_last_event_extension,19.1544424,295.0022326332428,275.8477902332428,8.816848156789093e-08,0.012382723948679708,1.8163017923011886e-06,0.25508847720563826,0.25508666090384596
moderate_seed5301,moderate,P-GRB,C5-CANDIDATE,0.16885733659692667,0.07245428297814198,0.08450251911563354,0.012048236137491564,0.5709142141031455,0.49956264371653275,False,False,observed_common_window,no_interpolation_no_post_last_event_extension,20.671035,295.0015451332428,274.3305101332428,0.07179729989685842,0.08317512436629448,0.42519502761223293,0.4925763134878691,0.06738128587563616
moderate_seed5302,moderate,P-GRB,C5-CANDIDATE,0.109681593369203,0.026346485760173625,0.02742039834230075,0.001073912582127124,0.759791183270945,0.7499999999999999,False,False,observed_common_window,no_interpolation_no_post_last_event_extension,20.0488248,295.00113712479555,274.95231232479557,0.024687869348046676,0.0245177964509335,0.2250867131820743,0.2235361075436174,-0.0015506056384568844
