leaf_key,mechanism,action,oracle_action,oracle_regret,false_split,false_retain
round39_small_hard_V12_M3_Q30_slot08_seed1288546114::L0,mroot,retain,split,1.1013617745084792,False,True
round39_small_hard_V12_M3_Q30_slot08_seed1288546114::L0,gamma-positive,retain,split,1.1013617745084792,False,True
round39_small_hard_V12_M3_Q30_slot08_seed1288546114::L0,gamma-threshold,retain,split,1.1013617745084792,False,True
round39_small_hard_V12_M3_Q30_slot08_seed1288546114::L0,gamma-veto,retain,split,1.1013617745084792,False,True
round39_small_hard_V12_M3_Q30_slot08_seed1288546114::L0,decisive-gamma,retain,split,1.1013617745084792,False,True
round39_small_hard_V12_M3_Q30_slot08_seed1288546114::L0,no-adaptive,retain,split,1.1013617745084792,False,True
round39_small_hard_V12_M3_Q30_slot08_seed1288546114::L1,old-c6,retain,retain,1,False,False
round39_small_hard_V12_M3_Q30_slot08_seed1288546114::L1,d-r43,retain,retain,1,False,False
round39_small_hard_V12_M3_Q30_slot08_seed1288546114::L1,veto-f,retain,retain,1,False,False
round39_small_hard_V12_M3_Q30_slot08_seed1288546114::L1,f,retain,retain,1,False,False
round39_small_hard_V12_M3_Q30_slot08_seed1288546114::L1,f-mroot,retain,retain,1,False,False
round39_small_hard_V12_M3_Q30_slot08_seed1288546114::L1,h,retain,retain,1,False,False
round39_small_hard_V12_M3_Q30_slot08_seed1288546114::L1,mroot,split,retain,1.0119214007458359,True,False
round39_small_hard_V12_M3_Q30_slot08_seed1288546114::L1,gamma-positive,split,retain,1.0119214007458359,True,False
round39_small_hard_V12_M3_Q30_slot08_seed1288546114::L1,gamma-threshold,split,retain,1.0119214007458359,True,False
round39_small_hard_V12_M3_Q30_slot08_seed1288546114::L1,gamma-veto,retain,retain,1,False,False
round39_small_hard_V12_M3_Q30_slot08_seed1288546114::L1,decisive-gamma,retain,retain,1,False,False
round39_small_hard_V12_M3_Q30_slot08_seed1288546114::L1,no-adaptive,retain,retain,1,False,False
round39_small_hard_V12_M3_Q30_slot08_seed1288546114::L2,old-c6,retain,retain,1,False,False
round39_small_hard_V12_M3_Q30_slot08_seed1288546114::L2,d-r43,retain,retain,1,False,False
round39_small_hard_V12_M3_Q30_slot08_seed1288546114::L2,veto-f,retain,retain,1,False,False
round39_small_hard_V12_M3_Q30_slot08_seed1288546114::L2,f,retain,retain,1,False,False
round39_small_hard_V12_M3_Q30_slot08_seed1288546114::L2,f-mroot,retain,retain,1,False,False
round39_small_hard_V12_M3_Q30_slot08_seed1288546114::L2,h,retain,retain,1,False,False
round39_small_hard_V12_M3_Q30_slot08_seed1288546114::L2,mroot,split,retain,1.1435899352165322,True,False
round39_small_hard_V12_M3_Q30_slot08_seed1288546114::L2,gamma-positive,split,retain,1.1435899352165322,True,False
round39_small_hard_V12_M3_Q30_slot08_seed1288546114::L2,gamma-threshold,split,retain,1.1435899352165322,True,False
round39_small_hard_V12_M3_Q30_slot08_seed1288546114::L2,gamma-veto,retain,retain,1,False,False
round39_small_hard_V12_M3_Q30_slot08_seed1288546114::L2,decisive-gamma,retain,retain,1,False,False
round39_small_hard_V12_M3_Q30_slot08_seed1288546114::L2,no-adaptive,retain,retain,1,False,False
round39_small_hard_V12_M3_Q30_slot08_seed1288546114::L3,old-c6,split,split,1,False,False
round39_small_hard_V12_M3_Q30_slot08_seed1288546114::L3,d-r43,split,split,1,False,False
round39_small_hard_V12_M3_Q30_slot08_seed1288546114::L3,veto-f,retain,split,2.5468210554834121,False,True
round39_small_hard_V12_M3_Q30_slot08_seed1288546114::L3,f,retain,split,2.5468210554834121,False,True
round39_small_hard_V12_M3_Q30_slot08_seed1288546114::L3,f-mroot,retain,split,2.5468210554834121,False,True
round39_small_hard_V12_M3_Q30_slot08_seed1288546114::L3,h,retain,split,2.5468210554834121,False,True
round39_small_hard_V12_M3_Q30_slot08_seed1288546114::L3,mroot,split,split,1,False,False
round39_small_hard_V12_M3_Q30_slot08_seed1288546114::L3,gamma-positive,split,split,1,False,False
round39_small_hard_V12_M3_Q30_slot08_seed1288546114::L3,gamma-threshold,split,split,1,False,False
round39_small_hard_V12_M3_Q30_slot08_seed1288546114::L3,gamma-veto,split,split,1,False,False
round39_small_hard_V12_M3_Q30_slot08_seed1288546114::L3,decisive-gamma,retain,split,2.5468210554834121,False,True
round39_small_hard_V12_M3_Q30_slot08_seed1288546114::L3,no-adaptive,retain,split,2.5468210554834121,False,True
