instance_id,split,candidate_run_id,candidate_arm,candidate_certified,candidate_work,candidate_seconds,candidate_split_count,pgrb_certified,pgrb_work,pgrb_seconds,work_ratio_over_pgrb,time_ratio_over_pgrb,c6_work,c6_seconds,work_ratio_over_c6,time_ratio_over_c6,severe_pgrb_regression,false_certificate,provenance
round39_small_easy_V10_M3_Q20_slot06_seed1178207568,validation,validation__round39_small_easy_V10_M3_Q20_slot06_seed1178207568__final_k4_gammaveto012_mid,K4-GAMMA-VETO-0.012-MIDPOINT,True,5.747790958862511,8.5465333,0,True,1.1326278983876463,0.9917038,5.074738991547696,8.618030202163187,3.3447293532894102,6.6651386,1.7184621988053486,1.2822739050017655,False,False,fresh_round45_candidate_frozen_round39_40_references
round39_small_easy_V12_M2_Q30_slot07_seed1210444511,validation,validation__round39_small_easy_V12_M2_Q30_slot07_seed1210444511__final_k4_gammaveto012_mid,K4-GAMMA-VETO-0.012-MIDPOINT,True,13.832675439361392,16.4598572,0,True,1.6278828690447789,1.331212,8.497340750000172,12.36456492279216,9.380035587911921,11.7622665,1.4746932791158702,1.3993780195339052,False,False,fresh_round45_candidate_frozen_round39_40_references
round39_small_easy_V8_M1_Q30_slot01_seed432322553,validation,validation__round39_small_easy_V8_M1_Q30_slot01_seed432322553__final_k4_gammaveto012_mid,K4-GAMMA-VETO-0.012-MIDPOINT,True,0.5590661534353052,3.4823281,0,True,0.323659897802514,0.3471442,1.7273259901244482,10.031359014495994,0.3908992764865721,3.4404131,1.430205137395566,1.0121831299851753,False,False,fresh_round45_candidate_frozen_round39_40_references
round39_small_hard_V12_M1_Q20_slot05_seed180890838,validation,validation__round39_small_hard_V12_M1_Q20_slot05_seed180890838__final_k4_gammaveto012_mid,K4-GAMMA-VETO-0.012-MIDPOINT,True,2.8408225871291632,3.0533767,0,True,5.35335760224831,3.5549344,0.530661838457433,0.8589122488448732,2.6781467899102065,3.0815712,1.0607419271534444,0.9908506089361167,False,False,fresh_round45_candidate_frozen_round39_40_references
round39_small_medium_V12_M1_Q30_slot07_seed907224013,validation,validation__round39_small_medium_V12_M1_Q30_slot07_seed907224013__final_k4_gammaveto012_mid,K4-GAMMA-VETO-0.012-MIDPOINT,True,15.547670331133233,14.1994138,1,True,13.58012742242556,9.8209297,1.1448839799145454,1.445831935850228,11.212953219085438,10.9090825,1.3865812179319292,1.301613934994075,False,False,fresh_round45_candidate_frozen_round39_40_references
round39_small_easy_V10_M2_Q30_slot05_seed332426708,holdout,holdout__round39_small_easy_V10_M2_Q30_slot05_seed332426708__final_k4_gammaveto012_mid,K4-GAMMA-VETO-0.012-MIDPOINT,True,3.263496142667956,7.1627844,0,True,0.5619520501484777,0.5285874,5.807428128086164,13.55080427569783,2.4226676298664764,6.8158432,1.347067217325152,1.0509021686414382,False,False,fresh_round45_candidate_frozen_round39_40_references
round39_small_easy_V8_M2_Q20_slot02_seed944712007,holdout,holdout__round39_small_easy_V8_M2_Q20_slot02_seed944712007__final_k4_gammaveto012_mid,K4-GAMMA-VETO-0.012-MIDPOINT,True,1.6897625728879695,3.9344433,0,True,0.44003376994004867,0.4219987,3.840074758621792,9.323354076683174,0.8696625354401063,3.1988087,1.9430095054432106,1.2299714265501405,False,False,fresh_round45_candidate_frozen_round39_40_references
round39_small_easy_V8_M2_Q30_slot03_seed1019524729,holdout,holdout__round39_small_easy_V8_M2_Q30_slot03_seed1019524729__final_k4_gammaveto012_mid,K4-GAMMA-VETO-0.012-MIDPOINT,True,0.2386284415218241,2.4759044,0,True,0.39108441274280636,0.4413744,0.6101711900206983,5.609533312308099,0.3414208347308303,2.945699,0.6989275909595682,0.8405150695980819,False,False,fresh_round45_candidate_frozen_round39_40_references
round39_small_medium_V10_M1_Q20_slot04_seed1035775879,holdout,holdout__round39_small_medium_V10_M1_Q20_slot04_seed1035775879__final_k4_gammaveto012_mid,K4-GAMMA-VETO-0.012-MIDPOINT,True,4.207718001101599,5.38306,0,True,4.563115229340248,3.3414204,0.9221152194550138,1.6110094976375915,3.2562245050146514,4.3604312,1.2922075841581648,1.2345246956310194,False,False,fresh_round45_candidate_frozen_round39_40_references
round39_small_medium_V8_M1_Q20_slot01_seed244478273,holdout,holdout__round39_small_medium_V8_M1_Q20_slot01_seed244478273__final_k4_gammaveto012_mid,K4-GAMMA-VETO-0.012-MIDPOINT,True,0.856138319685244,1.9991151,0,True,0.8131309355727125,0.7410775,1.05289109321888,2.6975789981479674,0.740659965783762,1.721119,1.1559127794618729,1.1615205572653604,False,False,fresh_round45_candidate_frozen_round39_40_references
