instance_id,panel,atlas_complete,split_actions,retain_actions,candidate_runtime_observed,qualification
high_imbalance_seed3201,v20_development,True,1,1,False,structural_only_not_performance
high_imbalance_seed3202,v20_confirmation,True,1,1,False,structural_only_not_performance
moderate_seed3301,v20_development,True,1,2,False,structural_only_not_performance
moderate_seed3302,v20_confirmation,True,0,3,False,structural_only_not_performance
round32_multi_m_high_imbalance_V50_M2_seed910922492,v50_development,True,0,2,False,structural_only_not_performance
round32_multi_m_high_imbalance_V50_M4_seed163456187,v50_confirmation,True,0,2,False,structural_only_not_performance
round32_multi_m_moderate_V50_M2_seed254020866,v50_development,True,0,1,False,structural_only_not_performance
round32_multi_m_moderate_V50_M4_seed721910669,v50_confirmation,True,1,1,False,structural_only_not_performance
round32_multi_m_tight_T_V50_M2_seed104207248,v50_development,True,1,2,False,structural_only_not_performance
round32_multi_m_tight_T_V50_M4_seed1562257203,v50_confirmation,True,2,0,False,structural_only_not_performance
tight_T_seed3101,v20_development,True,0,4,False,structural_only_not_performance
tight_T_seed3102,v20_confirmation,True,0,2,False,structural_only_not_performance
