instance_id,split,historical_pgrb_total_seconds,classification,threshold_seconds,blocking_policy,source,source_sha256,frozen_before_candidate_runs
round39_small_easy_V10_M1_Q30_slot04_seed1099392856,development,0.048756399999999998,startup,10,startup_nonblocking_alone,results/gf_small_hard_light_round39/runs/primary__round39_small_easy_V10_M1_Q30_slot04_seed1099392856__p_grb/result.json,301242cb7f9a5d91ce9470b7fb76e7db951e28355839820f6236e84cfa12ce92,True
round39_small_easy_V12_M3_Q30_slot08_seed1167625600,development,1.7286978,startup_pathology,10,startup_nonblocking_alone,results/gf_small_hard_light_round39/runs/primary__round39_small_easy_V12_M3_Q30_slot08_seed1167625600__p_grb/result.json,5b77d9a38fb621b71578481959708a2d345920472cce559241b3803129963398,True
round39_small_medium_V12_M3_Q30_slot08_seed1343324363,development,1007.279985,material,10,material_gates_apply,results/gf_small_hard_light_round39/runs/primary__round39_small_medium_V12_M3_Q30_slot08_seed1343324363__p_grb/result.json,98ce3b2c90c4bcc104ca6655839e48785fb56b17f908d350592ea12c090c85fe,True
round39_small_medium_V8_M3_Q30_slot03_seed1177285734,development,4.4968298999999998,startup,10,startup_nonblocking_alone,results/gf_small_hard_light_round39/runs/primary__round39_small_medium_V8_M3_Q30_slot03_seed1177285734__p_grb/result.json,5f62f5296fc8225f45ed69cb95e015eec07ca712f711fbc022c020ad2aa72431,True
round39_small_medium_V10_M2_Q20_slot05_seed968549317,development,308.34479690000001,material,10,material_gates_apply,results/gf_small_hard_light_round39/runs/primary__round39_small_medium_V10_M2_Q20_slot05_seed968549317__p_grb/result.json,73357c8e1d12c13aecb17f047bd2fb58794777ad91371384bbef797a49655c2d,True
round39_small_hard_V10_M1_Q30_slot02_seed1721447042,development,0.60416380000000003,startup,10,startup_nonblocking_alone,results/gf_small_hard_light_round39/runs/primary__round39_small_hard_V10_M1_Q30_slot02_seed1721447042__p_grb/result.json,db3c6f098a87857d51a8e013e295fe55510164920b24399e15d443bb91352cea,True
round39_small_hard_V10_M1_Q20_slot01_seed561355351,development,0.51057300000000005,startup,10,startup_nonblocking_alone,results/gf_small_hard_light_round39/runs/primary__round39_small_hard_V10_M1_Q20_slot01_seed561355351__p_grb/result.json,5d3b2677306ddcce6afc64977179705b0a230dd820623e7a11fbf133f17c6d6c,True
round39_small_hard_V12_M3_Q20_slot07_seed621538683,development,2174.6334271999999,material,10,material_gates_apply,results/gf_small_hard_light_round39/runs/primary__round39_small_hard_V12_M3_Q20_slot07_seed621538683__p_grb/result.json,3203e3fb485d1aeec380ed8e58b58419b52cf747b685d75ea44e0b3e06891d98,True
round39_small_hard_V12_M3_Q30_slot08_seed1288546114,development,6400.517589,material,10,material_gates_apply,results/gf_small_hard_light_round39/runs/primary__round39_small_hard_V12_M3_Q30_slot08_seed1288546114__p_grb/result.json,4b6154d21365823a37807062c00888c8e3f30b937bb1288cdf00926c4b84a789,True
round39_small_hard_V10_M3_Q20_slot04_seed1145042375,development,59.802653100000001,material,10,material_gates_apply,results/gf_small_hard_light_round39/runs/primary__round39_small_hard_V10_M3_Q20_slot04_seed1145042375__p_grb/result.json,e6a368a41bec6d20449476f3dc60a0dd6bad54745ed74d22c7086e9f1fb9564f,True
round39_small_easy_V8_M1_Q30_slot01_seed432322553,validation,0.34714420000000001,startup,10,startup_nonblocking_alone,results/gf_small_hard_light_round39/runs/primary__round39_small_easy_V8_M1_Q30_slot01_seed432322553__p_grb/result.json,9dc114491c23af3746b4de2786fd40fd6a6021d3243197b6c2cfa40791eaf505,True
round39_small_easy_V10_M3_Q20_slot06_seed1178207568,validation,0.99170380000000002,startup,10,startup_nonblocking_alone,results/gf_small_hard_light_round39/runs/primary__round39_small_easy_V10_M3_Q20_slot06_seed1178207568__p_grb/result.json,0d5fa46d813d672bee34e873baa964fd0b52b07d26a7e302a9c10107d7cfef30,True
round39_small_easy_V12_M2_Q30_slot07_seed1210444511,validation,1.3312120000000001,startup,10,startup_nonblocking_alone,results/gf_small_hard_light_round39/runs/primary__round39_small_easy_V12_M2_Q30_slot07_seed1210444511__p_grb/result.json,dbb5df5fbe349ee309528ceebbe4fb243e4806a8c224312a667f2ee25b2b24e3,True
round39_small_medium_V8_M2_Q20_slot02_seed890603285,validation,17.728333500000002,material,10,material_gates_apply,results/gf_small_hard_light_round39/runs/primary__round39_small_medium_V8_M2_Q20_slot02_seed890603285__p_grb/result.json,1d91593f4fbad34af218c87bd0f4453d6b62641f999212ad8b7b5b6b7407ab95,True
round39_small_medium_V12_M1_Q30_slot07_seed907224013,validation,9.8209297000000007,startup,10,startup_nonblocking_alone,results/gf_small_hard_light_round39/runs/primary__round39_small_medium_V12_M1_Q30_slot07_seed907224013__p_grb/result.json,1f2b53bcb12ea55b06c66ce175719edbff952ca733e70a84cd1eceebae5b1e8c,True
round39_small_hard_V12_M1_Q20_slot05_seed180890838,validation,3.5549344,startup,10,startup_nonblocking_alone,results/gf_small_hard_light_round39/runs/primary__round39_small_hard_V12_M1_Q20_slot05_seed180890838__p_grb/result.json,f39c72e4c5ad4eb9ed6f3e813580f31c655467485b9a838cbc84e0a487ca591a,True
round39_small_hard_V10_M2_Q20_slot03_seed490008310,validation,26.126957999999998,material,10,material_gates_apply,results/gf_small_hard_light_round39/runs/primary__round39_small_hard_V10_M2_Q20_slot03_seed490008310__p_grb/result.json,763c8c43c511b02ca47fac829b4da2ff4fd8009bb80ff43bf2b0476f07a0fd79,True
round39_small_easy_V8_M2_Q30_slot03_seed1019524729,holdout,0.4413744,startup,10,startup_nonblocking_alone,results/gf_small_hard_light_round39/runs/primary__round39_small_easy_V8_M2_Q30_slot03_seed1019524729__p_grb/result.json,6f760ff41bbfd3de2069cb5ae28b96066ec39eb80f4941d824d71bcaae2ff5a0,True
round39_small_easy_V8_M2_Q20_slot02_seed944712007,holdout,0.4219987,startup,10,startup_nonblocking_alone,results/gf_small_hard_light_round39/runs/primary__round39_small_easy_V8_M2_Q20_slot02_seed944712007__p_grb/result.json,f768b03aa4c9c23bb369197217a21a4afe39e7eab41bb39ddbbe24af7fd42357,True
round39_small_easy_V10_M2_Q30_slot05_seed332426708,holdout,0.52858740000000004,startup,10,startup_nonblocking_alone,results/gf_small_hard_light_round39/runs/primary__round39_small_easy_V10_M2_Q30_slot05_seed332426708__p_grb/result.json,b0d1d269e9ec8dec25b4761066781daf594b5a0bf30a6ae02bef07f69759c0fa,True
round39_small_hard_V12_M2_Q20_slot06_seed258908503,holdout,63.686919899999999,material,10,material_gates_apply,results/gf_small_hard_light_round39/runs/primary__round39_small_hard_V12_M2_Q20_slot06_seed258908503__p_grb/result.json,c6dbb754be78e2e5e7e0e89f441a440564d3cc910e4032e8895048978d773c18,True
round39_small_medium_V8_M1_Q20_slot01_seed244478273,holdout,0.74107749999999994,startup,10,startup_nonblocking_alone,results/gf_small_hard_light_round39/runs/primary__round39_small_medium_V8_M1_Q20_slot01_seed244478273__p_grb/result.json,8f78766057ba14eda593938a03f145f43c081ea83cbaccd3c1c2e11d6fb0002f,True
round39_small_medium_V10_M3_Q30_slot06_seed2147082032,holdout,115.8002932,material,10,material_gates_apply,results/gf_small_hard_light_round39/runs/primary__round39_small_medium_V10_M3_Q30_slot06_seed2147082032__p_grb/result.json,6bfb1e566a4e560fc84c8a39d56e99595998e50530bf24367a3169d0aff5b1e1,True
round39_small_medium_V10_M1_Q20_slot04_seed1035775879,holdout,3.3414204000000001,startup,10,startup_nonblocking_alone,results/gf_small_hard_light_round39/runs/primary__round39_small_medium_V10_M1_Q20_slot04_seed1035775879__p_grb/result.json,ff3eded0bdc7581120c659c8e5a0ff7fb79a9f2189fcc8104bff160286e405dd,True
