mechanism,decision_signature,split_count,retain_count,mean_oracle_regret,false_split_count,false_retain_count,eligible
old-c6,11110001,5,3,1.3082696125711553,4,1,True
d-r43,00010001,2,6,1.0126702218135599,1,1,True
veto-f,00000000,0,8,1.2060228537489863,0,2,False
f,00000000,0,8,1.2060228537489863,0,2,False
f-mroot,00000000,0,8,1.2060228537489863,0,2,False
h,00000000,0,8,1.2060228537489863,0,2,False
mroot,00010111,4,4,1.0321091388088559,3,1,True
gamma-positive,01110111,6,2,1.3151593517672262,5,1,True
gamma-threshold,00000111,3,5,1.0321091388088559,2,1,True
gamma-veto,00000001,1,7,1.0126702218135599,0,1,True
decisive-gamma,00000000,0,8,1.2060228537489863,0,2,False
no-adaptive,00000000,0,8,1.2060228537489863,0,2,False
