leaf_id,gamma_L,gamma_U,factory_version,factory_signature,canonical_row_signature,model_sha256,global_family_count,interval_family_count,selector_variable_count,contract_valid
R.0.0.0.0.1.0,0.0033042291463449567,0.0049563437195174354,round19_v2_projected_centering,b965662d88ecd4cb,6574366cc462e4a0c6f19c6d426386f045bc785c1b0dd2d4b059e1423f6a19fd,6574366cc462e4a0c6f19c6d426386f045bc785c1b0dd2d4b059e1423f6a19fd,6,9,0,1
R.0.0.0.1.0.1.1.0,0.0090866301524486319,0.0094996587957417514,round19_v2_projected_centering,26266a19fabe92d1,c09e21a64057d4e1d1ab3fb8100e07e2ad5da36187596fcbe44eb7c5a3fd4df9,c09e21a64057d4e1d1ab3fb8100e07e2ad5da36187596fcbe44eb7c5a3fd4df9,6,9,0,1
R.0.0.0.1.0.1.1.1,0.0094996587957417514,0.0099126874390348708,round19_v2_projected_centering,1b0b36706ca07559,9b35fd8ea41fd8dfa78d0d2fe55dc0af723e9f6809f1a443cc913ef1636ba887,9b35fd8ea41fd8dfa78d0d2fe55dc0af723e9f6809f1a443cc913ef1636ba887,6,9,0,1
R.0.0.0.1.0.0.0,0.0066084582926899133,0.0074345155792761531,round19_v2_projected_centering,86b855dba6cb935a,046e585f055d3c851e8b20bf662912eb67a9e8ed54d0dc3e291e2d467d75433d,046e585f055d3c851e8b20bf662912eb67a9e8ed54d0dc3e291e2d467d75433d,6,9,0,1
R.0.0.0.1.0.0.1,0.0074345155792761531,0.0082605728658623929,round19_v2_projected_centering,bf63a7eb5519ef68,8acf4d57f1bf0efb8fc26830eeca45516429b11b5ec04f55bc213b0a72efe877,8acf4d57f1bf0efb8fc26830eeca45516429b11b5ec04f55bc213b0a72efe877,6,9,0,1
R.0.0.0.1.1.0,0.0099126874390348708,0.011564802012207349,round19_v2_projected_centering,7cd63bc69de4401d,2c2698bb396a131102db7de30812b4fca0f8904e302679e29d751700edbac635,2c2698bb396a131102db7de30812b4fca0f8904e302679e29d751700edbac635,6,9,0,1
R.0.0.0.1.1.1,0.011564802012207349,0.013216916585379827,round19_v2_projected_centering,bedb48db04ae30d8,24353a1e597a07aee4b91a75a21ebd2618b0075d778f8a322e8e5bf539fda737,24353a1e597a07aee4b91a75a21ebd2618b0075d778f8a322e8e5bf539fda737,6,9,0,1
R.0.0.0.1.1.0.0,0.0099126874390348708,0.01073874472562111,round19_v2_projected_centering,f279cb91a0a3c16f,2902dea5e981c7a971d515976f91198e818d8bba0842a79391ca69fc61b23f1e,2902dea5e981c7a971d515976f91198e818d8bba0842a79391ca69fc61b23f1e,6,9,0,1
R.0.0.0.1.1.0.1,0.01073874472562111,0.011564802012207349,round19_v2_projected_centering,26cec93817c664f7,62b5305162df6e8bbf3110c7237272a1a4e130cafa4a02f21c4075750128a8b7,62b5305162df6e8bbf3110c7237272a1a4e130cafa4a02f21c4075750128a8b7,6,9,0,1
R.0.0.0.1.0.1.0.0,0.0082605728658623929,0.0086736015091555124,round19_v2_projected_centering,e3d840b0ddc9e01c,bfa43e9a6fa390cf1e92520e44f6bcfd8de8b6b4db308e0dbb5b0e1f79fd1940,bfa43e9a6fa390cf1e92520e44f6bcfd8de8b6b4db308e0dbb5b0e1f79fd1940,6,9,0,1
R.0.0.0.1.0.1.0.1,0.0086736015091555124,0.0090866301524486319,round19_v2_projected_centering,122b55257f551b54,4d2d7c70d176fdc7102d34cd4aa851fba3fc5d38112301ad7682d6a9ced478e1,4d2d7c70d176fdc7102d34cd4aa851fba3fc5d38112301ad7682d6a9ced478e1,6,9,0,1
R.0.0.0.1.1.0.0.0,0.0099126874390348708,0.01032571608232799,round19_v2_projected_centering,a95a9effee5f52ba,a8e3c8c5ad5c4c9205a6a512293fe6f1d291f62a0bb7651de427adae359ce0c4,a8e3c8c5ad5c4c9205a6a512293fe6f1d291f62a0bb7651de427adae359ce0c4,6,9,0,1
R.0.0.0.1.1.0.0.1,0.01032571608232799,0.01073874472562111,round19_v2_projected_centering,5e640ce6896e859c,c560cf75b0134899da6d0fd7605dd4673fa3f85740aef747dff11f3c4a320943,c560cf75b0134899da6d0fd7605dd4673fa3f85740aef747dff11f3c4a320943,6,9,0,1
R.0.0.0.1.0.1.1.1.0,0.0094996587957417514,0.0097061731173883111,round19_v2_projected_centering,35a7d3098dfd47ac,4a5915760abf5dcd09793fecaa12257fec15e50d37cdb91dc63dfd8ebf65ed53,4a5915760abf5dcd09793fecaa12257fec15e50d37cdb91dc63dfd8ebf65ed53,6,9,0,1
R.0.0.0.1.0.1.1.1.1,0.0097061731173883111,0.0099126874390348708,round19_v2_projected_centering,6a628ee437f9f6ef,986311d3d8fd29c3c5c70839ff176dc3fa740b5ebce11d67605f267d0a42c389,986311d3d8fd29c3c5c70839ff176dc3fa740b5ebce11d67605f267d0a42c389,6,9,0,1
R.0.0.0.1.0.1.1.0.0,0.0090866301524486319,0.0092931444740951916,round19_v2_projected_centering,59a57636cf18777f,4221ca0aec540b88fde9a2a09ec5fe006e36df0bd420397ad4c302b5a0934683,4221ca0aec540b88fde9a2a09ec5fe006e36df0bd420397ad4c302b5a0934683,6,9,0,1
R.0.0.0.1.0.1.1.0.1,0.0092931444740951916,0.0094996587957417514,round19_v2_projected_centering,dedc6c077c899ebc,f13f3ebd124056ea75e4201297a552a810c26bf77d059d1a8a8267d65d199b86,f13f3ebd124056ea75e4201297a552a810c26bf77d059d1a8a8267d65d199b86,6,9,0,1
R.0.0.0.1.1.0.0.0.0,0.0099126874390348708,0.010119201760681431,round19_v2_projected_centering,a5f04fb978588fc8,5a4b02a9b57e94dd0ef7eacdec72bd03d94397c8c0f18056ea45b27dee505b93,5a4b02a9b57e94dd0ef7eacdec72bd03d94397c8c0f18056ea45b27dee505b93,6,9,0,1
R.0.0.0.1.1.0.0.0.1,0.010119201760681431,0.01032571608232799,round19_v2_projected_centering,f08aef9cc5a3976a,e1101a6cc8f59c7886bf1b47fee1898738eb25f249b4fa720c7814ec6ac4b533,e1101a6cc8f59c7886bf1b47fee1898738eb25f249b4fa720c7814ec6ac4b533,6,9,0,1
R.0.0.0.1.0.1.1.1.0.1,0.0096029159565650321,0.0097061731173883111,round19_v2_projected_centering,f65a305bbecb7c89,920b5f5e63e2a3df09d9c62432732393bbe454c08931a6acc7c2d9cafd6f9081,920b5f5e63e2a3df09d9c62432732393bbe454c08931a6acc7c2d9cafd6f9081,6,9,0,1
R.0.0.0.1.0.1.1.1.0.0,0.0094996587957417514,0.0096029159565650321,round19_v2_projected_centering,4c0ac81f5e2679ee,8ca1b26f759448c18e1b5ecbb940c3510926324fb775eb400e62d0cbe0e2d222,8ca1b26f759448c18e1b5ecbb940c3510926324fb775eb400e62d0cbe0e2d222,6,9,0,1
R.0.0.0.1.0.1.1.0.1.0,0.0092931444740951916,0.0093964016349184706,round19_v2_projected_centering,2abb98322810375c,68c8518ab240840427af69bf06b21ee4163beaba59ebc1d50980f1fc6abfd610,68c8518ab240840427af69bf06b21ee4163beaba59ebc1d50980f1fc6abfd610,6,9,0,1
R.0.0.0.1.0.1.1.0.1.1,0.0093964016349184706,0.0094996587957417514,round19_v2_projected_centering,abe7dc91654ecf44,b914889fba7d6cf18c3765085650efb333bff87530083afd9e3bcb0295c12ee2,b914889fba7d6cf18c3765085650efb333bff87530083afd9e3bcb0295c12ee2,6,9,0,1
R.0.0.0.1.0.1.1.1.1.0,0.0097061731173883111,0.0098094302782115901,round19_v2_projected_centering,e09301b23f2e4ca3,d00aca186f9e266e985bba9ab5ca372bcf67bd25ec37f17a3e9ce60b22accfbd,d00aca186f9e266e985bba9ab5ca372bcf67bd25ec37f17a3e9ce60b22accfbd,6,9,0,1
R.0.0.0.1.0.1.1.1.1.1,0.0098094302782115901,0.0099126874390348708,round19_v2_projected_centering,cc504a1474bdf4c9,6bd737a0cda23eb7ed8014d464f7819e029e9f3a0740fdc61b464a236a7bad0d,6bd737a0cda23eb7ed8014d464f7819e029e9f3a0740fdc61b464a236a7bad0d,6,9,0,1
