leaf_id,attempt,time_limit_seconds,solver_runtime_seconds,work,nodes,simplex_iterations,barrier_iterations,cumulative_runtime,cumulative_work,cumulative_nodes,cumulative_simplex_iterations,cumulative_barrier_iterations,optimize_return_code
L0,0,30,0.298,0.490128,0,0,0,0.298,0.490128,0,0,0,0
L1,0,30,0.404,0.801655,1,638,0,0.404,0.801655,1,638,0,0
L2,0,30,30.016,53.5008,630,77789,0,30.016,53.5008,630,77789,0,0
L3,0,30,0.452,0.943456,1,1005,0,0.452,0.943456,1,1005,0,0
L2,1,60,60.002,131.823,1441,254738,0,90.018,185.324,2071,332527,0,0
L2.0,0,30,13.691,25.0644,235,34192,0,13.691,25.0644,235,34192,0,0
L2.1,0,30,30.003,54.7049,776,97933,0,30.003,54.7049,776,97933,0,0
L2.1,1,60,46.588,96.3942,2909,258194,0,76.591,151.099,3685,356127,0,0
