vehicle,route_sequence_position,predecessor,station,successor,pickup,drop,load_before,load_after,travel_time_from_predecessor,operation_time,station_inventory_after
0,1,0,10,2,7,0,0,7,769.649455612394,420.0,10
0,2,10,2,19,7,0,7,14,491.2481100600649,420.0,10
0,3,2,19,16,6,0,14,20,920.786488612232,360.0,10
0,4,19,16,27,0,6,20,14,664.794942091103,360.0,11
0,5,16,27,23,0,10,14,4,1408.615966668912,600.0,12
0,6,27,23,4,6,0,4,10,372.94631436156766,360.0,10
0,7,23,4,0,0,10,10,0,1603.7760243854236,600.0,15
1,1,0,22,29,10,0,0,10,540.9456100161043,600.0,17
1,2,22,29,25,7,0,10,17,479.95539950998983,420.0,8
1,3,29,25,15,7,0,17,24,447.554974302775,420.0,12
1,4,25,15,30,0,8,24,16,190.6397609746092,480.0,12
1,5,15,30,24,7,0,16,23,179.85039505935558,420.0,8
1,6,30,24,18,0,3,23,20,422.8191082930794,180.0,3
1,7,24,18,11,0,6,20,14,303.9492770845207,360.0,8
1,8,18,11,13,0,8,14,6,249.52726493025503,480.0,12
1,9,11,13,1,7,0,6,13,368.5736775122628,420.0,8
1,10,13,1,26,0,7,13,6,739.1417017228929,420.0,12
1,11,1,26,0,0,6,6,0,1438.6398421649872,360.0,8
2,1,0,9,20,5,0,0,5,299.0921915851152,300.0,7
2,2,9,20,28,7,0,5,12,467.42854469082107,420.0,8
2,3,20,28,8,4,0,12,16,221.6271635026521,240.0,7
2,4,28,8,12,5,0,16,21,187.25206867991383,300.0,7
2,5,8,12,3,0,6,21,15,466.5834438420745,360.0,8
2,6,12,3,21,6,0,15,21,437.4887664638721,360.0,8
2,7,3,21,5,0,6,21,15,230.63522235112188,360.0,9
2,8,21,5,14,0,8,15,7,619.4738082411372,480.0,11
2,9,5,14,6,0,5,7,2,402.7083746722153,300.0,9
2,10,14,6,7,8,0,2,10,1154.0221150385014,480.0,13
2,11,6,7,17,0,5,10,5,1273.3592884530951,300.0,9
2,12,7,17,0,0,5,5,0,350.7540468729801,300.0,8
