number,id,arm,leaf_id,solve_kind,model_sha256,original_rows,original_columns,original_nonzeros,logged_LP_optimum
2,micro,VD-P,L0,LP,2d00039fcb332c6200660c6123d90eb56048898708a1dc3897ea17a0ef6272b8,167,71,505,0.2083333333
3,micro,LOG,L0,LP,adf69230a7b910323115b5d413d679ec37c742001db3a7dbb9f31323a1936b61,169,73,509,0.2083333333
5,micro-zero,K1-R,L0,LP,74f8e6bea3a1576253cc5dd0b9f3e009c1ddae952082789e2979ae39e55f953f,214,80,615,0.1077380952
5,micro-zero,K1-R,L0.0,LP,df840990bafa6851e65e36248d17aac419637ad24f9328bf169d01d699f0b2de,214,80,615,
5,micro-zero,K1-R,L0.1,LP,eb4746fa2707371afb02208e0c0c1e63ee23f894d9c864d35cb6e47d2e8e2af4,214,80,636,0.1861111111
5,micro-zero,K1-R,L0.1.0,LP,8cb9f6365b174c4f17e03f3ff6b6b1f5f678630a1a55f88fedf89da2161a0f45,214,80,636,0.1861111111
5,micro-zero,K1-R,L0.1.1,LP,bcb5eb4efdd2e7617efed8fbbd77dcefd10944c734b5f52b0a607b6db8146f9f,216,80,633,
5,micro-zero,K1-R,L0.1.0.0,LP,d89d8d9a0275ed6b3233c6c5cfbf41faf588c33845b29a7b60d9667e6f0ca102,214,80,636,
5,micro-zero,K1-R,L0.1.0.1,LP,8b4218df0a589b9f3f8a0f00e702cb64071ffbb761b35427981636afa3ac5e60,214,80,636,0.205952381
5,micro-zero,K1-R,L0.1.0.1.0,LP,6ec4a3378b45851059a529465e2b566fdd336507fb8916fd35acc15bddd55509,214,80,636,0.205952381
5,micro-zero,K1-R,L0.1.0.1.1,LP,58aa2214ed18e1b9c50bf2b0aef34e8b6e3ed3ed8e3d98c188ec065ffe2413f8,216,80,633,
5,micro-zero,K1-R,L0.1.0.1.0.0,LP,7ff6eec3a92536a5c6e169b18e2052300174e06ad4f8298560b41a67a1b6d5f6,214,80,636,0.205952381
5,micro-zero,K1-R,L0.1.0.1.0.1,LP,3d0b890fef014dd19aecc4959a2f9e19870d30f38edccbd2aac5f7900bc519a4,216,80,633,
5,micro-zero,K1-R,L0.1.0.1.0.0.0,LP,b690e4e69217a86ebaab412ea53aabe7f1ef84259d866c176623febe57f4a51d,214,80,636,0.2060918899
5,micro-zero,K1-R,L0.1.0.1.0.0.1,LP,173a91f3e15d82b61b35cc48a7da359b51cfa9301289dbc1cc47e2cd767d62d6,216,80,633,
5,micro-zero,K1-R,L0.1.0.1.0.0.0.0,LP,959c0dffa70ba9a0517ea59fe23c0b924889dd4835b3d5d5eebb915c66eac610,214,80,636,
5,micro-zero,K1-R,L0.1.0.1.0.0.0.1,LP,8b908d8796731b8576f1a791de635020f58f51090f61d59bdb27efd9ac18d9d2,214,80,636,0.2072544643
5,micro-zero,K1-R,L0.1.0.1.0.0.0.1.0,LP,5a83f8df907f6e4dd7400a62c443ae17debbf247fa1bb25e260824b9ec2c3f48,214,80,636,
5,micro-zero,K1-R,L0.1.0.1.0.0.0.1.1,LP,2c4fd99dd0b78a7ead13f67d1ed3f3183d1486b1592dc3ff11d151ca60d095b6,214,80,636,0.2078357515
5,micro-zero,K1-R,L0.1.0.1.0.0.0.1.1,MIP,2c4fd99dd0b78a7ead13f67d1ed3f3183d1486b1592dc3ff11d151ca60d095b6,214,80,636,
6,micro-zero,LOG,L0,LP,37c0295a244dce442d4f9533f1fb330ad495348deed59a0a24d36aa5a417ecf6,174,79,520,0.1702380952
6,micro-zero,LOG,L0.0,LP,292f51c6d04044ba4b1f0f1618fa9c518c1c696b7de270710be9e219a8e9f228,174,79,520,
6,micro-zero,LOG,L0.1,LP,e0af6e93a7d139805d0b1ffbf3bcac35958ec22467c1037d7fe033009299235f,169,74,512,0.2034722222
6,micro-zero,LOG,L0.1.0,LP,e29d5dfbed8bce0fcf57603365fb7b950434ffd7261b1ca443a5959ab979997d,169,74,512,0.2034722222
6,micro-zero,LOG,L0.1.1,LP,d1e08b4a3c4da00eecd083d42cc13a609ee8560af7445eefd4ffa743b453d617,176,79,527,
6,micro-zero,LOG,L0.1.0.0,LP,1dd9f7fe9f5308f76b8775f70d511b44d47f0e66073fb5b471c6b432cde4ea44,169,74,512,
6,micro-zero,LOG,L0.1.0.1,LP,4e7ecc61ee26f37052623896b29c30c82086333c637967a987f16f7191041327,169,74,512,0.2078125
6,micro-zero,LOG,L0.1.0.1.0,LP,2aba6f43a098bd6d38fb050c3a10051844da04e5032489da13b4a5d80f81ea67,169,74,512,0.2078125
6,micro-zero,LOG,L0.1.0.1.1,LP,02476d274384a628cde070e3984a80f33744291827c0c90ceb4f142d867e352e,176,79,527,
6,micro-zero,LOG,L0.1.0.1.0.0,LP,ec8de18c48c65cc72e2c48d760951cabc369a053223eb4e3b9ec695831062f60,169,74,512,0.2078125
6,micro-zero,LOG,L0.1.0.1.0.1,LP,cc1bfb8da92f317770247d6690856591d07b8b7820c02d088b977e72f5704ddb,176,79,527,
6,micro-zero,LOG,L0.1.0.1.0.0.0,LP,db6b85ebbb1a3044325aceca41afee8635fa0208ca4c6a0b29f7ebeef4493370,169,74,512,0.2083007813
6,micro-zero,LOG,L0.1.0.1.0.0.1,LP,33441bbffd645489b6c66934e3c60a8fb800e402cfe6b430157580ed96a58f31,176,79,527,
6,micro-zero,LOG,L0.1.0.1.0.0.0.0,LP,88412b615545a7d5d73398dca386cba6c198d77ae073ce194159d3c27b253abd,169,74,512,
6,micro-zero,LOG,L0.1.0.1.0.0.0.1,LP,65a112aab2955d9f1f6175564f41444bd465d843c05bc93f05a991b296189993,169,74,512,0.2083007813
6,micro-zero,LOG,L0.1.0.1.0.0.0.1.0,LP,5e75e7bc9ee1faf7b4aac761a147ef046b5584b07b6ee1fe1d823063525bd15c,169,74,512,
6,micro-zero,LOG,L0.1.0.1.0.0.0.1.1,LP,a5760c2214d79417f64cab554669c0e12a454ba26acdd9c5f0753c4d43a19542,169,74,512,0.2083007813
6,micro-zero,LOG,L0.1.0.1.0.0.0.1.1,MIP,a5760c2214d79417f64cab554669c0e12a454ba26acdd9c5f0753c4d43a19542,169,74,512,
8,D4,K1-R,L0,LP,0bdd0cbeec199780ca2bf7ad30938edd9f36f57f31e65f02df8c37ea8f5afa58,4136,1404,19505,0.09394825539
8,D4,K1-R,L0.0,LP,e3fb9fd505da02ef07042cf18065690398950281cb9f48ea968e6cfc21b89fe5,4136,1404,19505,0.09394825539
8,D4,K1-R,L0.1,LP,356fa1ab2b09ef76b990e9e1f2b92d17ded2fcb3c10ff70f387c99fb1b60836d,4136,1404,19651,0.3249693329
8,D4,K1-R,L0,MIP,0bdd0cbeec199780ca2bf7ad30938edd9f36f57f31e65f02df8c37ea8f5afa58,4136,1404,19505,
9,D4,VD-P,L0,LP,ad8448aa1b12ca644c8aead017172fb431321b134a05f82bce9c79f7a662577e,4119,1698,19868,0.1140663222
9,D4,VD-P,L0.0,LP,0d051e94fe06e0143fbc2cccdcfeb135a75466ac97e8c8bb86401953dcc7b175,4119,1698,19868,0.1153616239
9,D4,VD-P,L0.1,LP,b576f837f3e287f89f44467bafe4b828f9fac890249ebc6f4227c59d4cee27cc,4119,1698,20094,0.3249693329
9,D4,VD-P,L0,CHILD_BOUND_TARGET_MIP,ad8448aa1b12ca644c8aead017172fb431321b134a05f82bce9c79f7a662577e,4119,1698,19868,
9,D4,VD-P,L0,MIP,ad8448aa1b12ca644c8aead017172fb431321b134a05f82bce9c79f7a662577e,4119,1698,19868,
10,D4,LOG,L0,LP,48d7a8be6bc521f091c411efebc46f40fafcb1f1e683a5f383fdd1448124da44,4174,1753,20341,0.1140663222
10,D4,LOG,L0.0,LP,40e4e80d9ce26fdda7c2ba34303d341b3945a466d7ad09f84e52b9d0eb5254ea,4174,1753,20341,0.1153616239
10,D4,LOG,L0.1,LP,60a57d24d52f476d33cc4a2eeab8e57c971699ed6acb982e06ef1d6004204c88,4174,1753,20567,0.3249693329
10,D4,LOG,L0,CHILD_BOUND_TARGET_MIP,48d7a8be6bc521f091c411efebc46f40fafcb1f1e683a5f383fdd1448124da44,4174,1753,20341,
10,D4,LOG,L0,MIP,48d7a8be6bc521f091c411efebc46f40fafcb1f1e683a5f383fdd1448124da44,4174,1753,20341,
12,D6,K1-R,L0,LP,4c5c214f042dedea8322ca3a338ba3a294554b4bfcff4e9a98f219c48e024842,29923,6991,187848,0.1256918309
12,D6,K1-R,L0.0,LP,61374f9a865df635bb68c6e45452341a15067009ec9f7f314960c7ce0d66f46b,29923,6991,187848,0.1256918309
12,D6,K1-R,L0.1,LP,022ad0d698b94130d0582160da7350235a71f3620f257743d18b4cef8367cad8,29924,6991,188256,
12,D6,K1-R,L0.0.0,LP,8255f6fdc0bf06f7adb5314f68031c3994466635ec98180345acefba71fe379d,29923,6991,187848,0.1269568487
12,D6,K1-R,L0.0.1,LP,0510420d8edf363812f84d192b60b723b38fea55fb03efb42340af96f79d2637,29923,6991,188250,0.1531292014
12,D6,K1-R,L0.0,CHILD_BOUND_TARGET_MIP,61374f9a865df635bb68c6e45452341a15067009ec9f7f314960c7ce0d66f46b,29923,6991,187848,
12,D6,K1-R,L0.0,MIP,61374f9a865df635bb68c6e45452341a15067009ec9f7f314960c7ce0d66f46b,29923,6991,187848,
13,D6,VD-P,L0,LP,39d0b94258cb1e42834b7cc7cc54c55170583726171eb6701a5cc08ff1047ba5,30485,8273,190745,0.131389465
13,D6,VD-P,L0.0,LP,991af133bfcc32b8ebc239cc028b06cfd69cbb3cfb86d6a194cad9ad106bef8b,30485,8273,190745,0.131389465
13,D6,VD-P,L0.1,LP,fd1ad5e3257be42fa050193d449c8b93b2ca4046041334dcd520b8012ad01c94,30446,8233,191486,
13,D6,VD-P,L0.0.0,LP,19c136173a83ea484ef6b090034aa8bfd6c01d3ffa60051880d0d8c703cf54c1,30485,8273,190745,0.131389465
13,D6,VD-P,L0.0.1,LP,a03f5d94165e024a271be7d81eec9a76186426a413c4f42fa215a8c82aee0160,30473,8261,191586,0.1535991283
13,D6,VD-P,L0.0,MIP,991af133bfcc32b8ebc239cc028b06cfd69cbb3cfb86d6a194cad9ad106bef8b,30485,8273,190745,
14,D6,LOG,L0,LP,901c4d8f78cdcba6d67bcf7128319dfcdecadb65c8f5dba1ebcc2f19e20d8a7a,30641,8429,192685,0.131389465
14,D6,LOG,L0.0,LP,6de922b5bcf0452175b49e68a27f701a1be6c7d56edc94212c9e934423286830,30641,8429,192685,0.131389465
14,D6,LOG,L0.1,LP,d4282c6a3bd08ffabd9a83b71a4dcb9a8404f6a1b664b7bd4519ba2b779ecf8f,30601,8388,193365,
14,D6,LOG,L0.0.0,LP,ce58253058e5b488e1285e4a07ee75daea9a665a6b4fec985fdf2b8f93e2236b,30641,8429,192685,0.131389465
14,D6,LOG,L0.0.1,LP,6ef715af1962fb2bc4cbbd6c386342eb44d3d571c97bf43fba086525fcaf5e78,30629,8417,193509,0.1535991283
14,D6,LOG,L0.0,MIP,6de922b5bcf0452175b49e68a27f701a1be6c7d56edc94212c9e934423286830,30641,8429,192685,
16,D3,K1-R,L0,LP,393d73d9ec578548710f6b0115a4e7dc05f97e780109e72b80b5f42f89a73e41,4145,1406,20086,0.02097749561
16,D3,K1-R,L0.0,LP,87542272e41f9fab7074c4909e928866dff0c1bc41c9b0d04248129ed953c9f6,4145,1406,20086,0.02487230737
16,D3,K1-R,L0.1,LP,4a84e7bed82e3a611e3ff842d4dc24a853eb340b0a008de450e6d0d5716de461,4149,1406,20258,0.03764950371
16,D3,K1-R,L0,CHILD_BOUND_TARGET_MIP,393d73d9ec578548710f6b0115a4e7dc05f97e780109e72b80b5f42f89a73e41,4145,1406,20086,
