number,id,arm,tree_rows,roots,replaced,independently_recomputed_interval_union,initial_range_covers_G_le_verified_F
2,micro,VD-P,1,1,0,True,True
3,micro,LOG,1,1,0,True,True
5,micro-zero,K1-R,17,1,8,True,True
6,micro-zero,LOG,17,1,8,True,True
8,D4,K1-R,1,1,0,True,True
9,D4,VD-P,1,1,0,True,True
10,D4,LOG,1,1,0,True,True
12,D6,K1-R,3,1,1,True,True
13,D6,VD-P,3,1,1,True,True
14,D6,LOG,3,1,1,True,True
16,D3,K1-R,1,1,0,True,True
17,D3,VD-P,1,1,0,True,True
18,D3,LOG,1,1,0,True,True
20,C2,K1-R,3,1,1,True,True
21,C2,VD-P,3,1,1,True,True
22,C2,LOG,3,1,1,True,True
