number,id,arm,stage,kind,input_sha256,V,M,Q,T,executable_sha256,cap,wall,internal_wall,certificate,status,UB,LB,signed_absolute_gap,relative_gap,gap_note,hga_seconds,exact_start,initial_objective,initial_route_signature,lp_calls,mip_calls,splits,failure,result_sha256,artifact_dir
1,micro,P-GRB,correctness,native-micro,8794991888f65387b21ae457635e32eed7a4072e837cf8e06b17f3c9751dcd16,3,1,3,5,45e1ab05aff870660136102e554c8e0d3ec4cd5e1144dc651ebe9c111339a83e,20,0.20299999974668026,0.015956,True,optimal,0.20833333333333331,0.20833333333333331,0.0,0.0,within numerical tolerance,0,,,,0,1,0,False,e95a7e7f92908dbf32f4d36b7fc89554fdb93d5bce3e6b59e264e53415264de2,results\unified_exact_round67\local_raw\correctness\micro\P-GRB
2,micro,VD-P,correctness,native-micro,8794991888f65387b21ae457635e32eed7a4072e837cf8e06b17f3c9751dcd16,3,1,3,5,45e1ab05aff870660136102e554c8e0d3ec4cd5e1144dc651ebe9c111339a83e,20,0.125,0.09823,True,optimal,0.20833333333333331,0.20833333333333331,0.0,0.0,within numerical tolerance,0.0644015,0.0677781,0.20833333333333331,bb85fcdc596864f9e3dff7ce5d4527670c50043e709097a3e2fad768f6137b42,1,0,0,False,662214fc5278aa6424d984323c223c10fee7f2d81344f87cfa06254846039357,results\unified_exact_round67\local_raw\correctness\micro\VD-P
3,micro,LOG,correctness,native-micro,8794991888f65387b21ae457635e32eed7a4072e837cf8e06b17f3c9751dcd16,3,1,3,5,45e1ab05aff870660136102e554c8e0d3ec4cd5e1144dc651ebe9c111339a83e,20,0.125,0.0947468,True,optimal,0.20833333333333331,0.20833333333333331,0.0,0.0,within numerical tolerance,0.063457,0.06689,0.20833333333333331,bb85fcdc596864f9e3dff7ce5d4527670c50043e709097a3e2fad768f6137b42,1,0,0,False,45bea7a93dcd7d3bf858b7f97b8a32de4099a0eda7533b9e6132634bb48f1553,results\unified_exact_round67\local_raw\correctness\micro\LOG
4,micro-zero,P-GRB,correctness,native-micro,8794991888f65387b21ae457635e32eed7a4072e837cf8e06b17f3c9751dcd16,3,1,3,3,45e1ab05aff870660136102e554c8e0d3ec4cd5e1144dc651ebe9c111339a83e,20,0.030999999959021807,0.0158931,True,optimal,0.20833333333333331,0.20833333333333331,0.0,0.0,within numerical tolerance,0,,,,0,1,0,False,050884b8f4a79cd8f397128b85129299c22e79a70fead5bd632feb41a318645e,results\unified_exact_round67\local_raw\correctness\micro-zero\P-GRB
5,micro-zero,K1-R,correctness,native-micro,8794991888f65387b21ae457635e32eed7a4072e837cf8e06b17f3c9751dcd16,3,1,3,3,45e1ab05aff870660136102e554c8e0d3ec4cd5e1144dc651ebe9c111339a83e,20,0.32799999974668026,0.2874793,True,optimal,0.20833333333333331,0.20833333333333331,0.0,0.0,within numerical tolerance,0.0676389,0.0705409,0.20833333333333331,bb85fcdc596864f9e3dff7ce5d4527670c50043e709097a3e2fad768f6137b42,17,1,8,False,99822de4e5fee1a7e3d69961b727ee6f5f75b75047f97cd61f02df0d80677fc3,results\unified_exact_round67\local_raw\correctness\micro-zero\K1-R
6,micro-zero,LOG,correctness,native-micro,8794991888f65387b21ae457635e32eed7a4072e837cf8e06b17f3c9751dcd16,3,1,3,3,45e1ab05aff870660136102e554c8e0d3ec4cd5e1144dc651ebe9c111339a83e,20,0.3119999999180436,0.2812447,True,optimal,0.20833333333333331,0.20833333333333331,0.0,0.0,within numerical tolerance,0.0671191,0.0704097,0.20833333333333331,bb85fcdc596864f9e3dff7ce5d4527670c50043e709097a3e2fad768f6137b42,17,1,8,False,c2414fc1f46d2d749bd092d09c0267fbd432cb4adc22f9b3fc4fd97fb3e43cc3,results\unified_exact_round67\local_raw\correctness\micro-zero\LOG
7,D4,P-GRB,development,performance,7ee8a95ca3043f83b2e8c6b3663f8aa212678043d0c98b0153efbeb834d48823,12,3,30,2400,45e1ab05aff870660136102e554c8e0d3ec4cd5e1144dc651ebe9c111339a83e,300,297.06199999991804,297.0411605,False,time_limit,0.506343307565206,0.19593794460085592,0.31040536296435006,0.613033407031605,open,0,,,,0,1,0,False,4165e5107db607fabf3998c4a9a3a79be0973eede5696725b8a44b395b1e56de,results\unified_exact_round67\local_raw\development\D4\P-GRB
8,D4,K1-R,development,performance,7ee8a95ca3043f83b2e8c6b3663f8aa212678043d0c98b0153efbeb834d48823,12,3,30,2400,45e1ab05aff870660136102e554c8e0d3ec4cd5e1144dc651ebe9c111339a83e,300,128.93800000008196,128.9161881,True,optimal,0.506343307565206,0.5063433073265636,2.3864232812087494e-10,4.713053861981636e-10,within numerical tolerance,1.976118,1.9820101,0.506422789224163,e645b59bd732c01733ee4f89f7072531fd4b221b54fcd3041a1c2f627b194421,3,1,0,False,7d09a2625c70af407d021ae60bdfff9ea916c61e8c75d5e41ce38555c02abf16,results\unified_exact_round67\local_raw\development\D4\K1-R
9,D4,VD-P,development,performance,7ee8a95ca3043f83b2e8c6b3663f8aa212678043d0c98b0153efbeb834d48823,12,3,30,2400,45e1ab05aff870660136102e554c8e0d3ec4cd5e1144dc651ebe9c111339a83e,300,39.89099999982864,39.8554099,True,optimal,0.506343307565206,0.506343307565206,0.0,0.0,within numerical tolerance,1.9615068,1.966211,0.506422789224163,e645b59bd732c01733ee4f89f7072531fd4b221b54fcd3041a1c2f627b194421,3,2,0,False,cc4ec3a25e3ef7de2cf239aa1078bd93d1d562ff0d5b4ab6d7eff3205b3cb744,results\unified_exact_round67\local_raw\development\D4\VD-P
10,D4,LOG,development,performance,7ee8a95ca3043f83b2e8c6b3663f8aa212678043d0c98b0153efbeb834d48823,12,3,30,2400,45e1ab05aff870660136102e554c8e0d3ec4cd5e1144dc651ebe9c111339a83e,300,89.31300000008196,89.2813133,True,optimal,0.506343307565206,0.5063433075652056,3.3306690738754696e-16,6.57788702667222e-16,within numerical tolerance,1.9555241,1.9600833,0.506422789224163,e645b59bd732c01733ee4f89f7072531fd4b221b54fcd3041a1c2f627b194421,3,2,0,False,17a5b33cb8adc07b031301f580317b3c4bb6f5579f94b5a5dc5294c26b4a30f1,results\unified_exact_round67\local_raw\development\D4\LOG
