id,cap,candidate_arm,candidate_number,reference_number,reference,candidate_certificate,reference_certificate,wall_delta,UB_delta,LB_delta,signed_gap_delta,paired_build,practical_classification,bound_tradeoff,same_paid_initial_routes
micro,20,VD-P,2,1,P-GRB,True,True,-0.07799999974668026,0.0,0.0,0.0,True,below_practical_threshold,aligned_or_unchanged,
micro,20,LOG,3,1,P-GRB,True,True,-0.07799999974668026,0.0,0.0,0.0,True,below_practical_threshold,aligned_or_unchanged,
micro,20,LOG,3,2,VD-P,True,True,0.0,0.0,0.0,0.0,True,below_practical_threshold,aligned_or_unchanged,True
micro-zero,20,LOG,6,4,P-GRB,True,True,0.2809999999590218,0.0,0.0,0.0,True,below_practical_threshold,aligned_or_unchanged,
micro-zero,20,LOG,6,5,K1-R,True,True,-0.015999999828636646,0.0,0.0,0.0,True,below_practical_threshold,aligned_or_unchanged,True
D4,300,VD-P,9,7,P-GRB,True,False,-257.1710000000894,0.0,0.31040536296435006,-0.31040536296435006,True,certificate_gain,aligned_or_unchanged,
D4,300,VD-P,9,8,K1-R,True,True,-89.04700000025332,0.0,2.3864232812087494e-10,-2.3864232812087494e-10,True,severe_improvement,aligned_or_unchanged,True
D4,300,LOG,10,7,P-GRB,True,False,-207.7489999998361,0.0,0.31040536296434973,-0.31040536296434973,True,certificate_gain,aligned_or_unchanged,
D4,300,LOG,10,8,K1-R,True,True,-39.625,0.0,2.3864199505396755e-10,-2.3864199505396755e-10,True,material_improvement,aligned_or_unchanged,True
D4,300,LOG,10,9,VD-P,True,True,49.42200000025332,0.0,-3.3306690738754696e-16,3.3306690738754696e-16,True,severe_regression,aligned_or_unchanged,True
D6,600,VD-P,13,11,P-GRB,False,False,-0.7499999995343387,-0.00015804474911804145,-0.00016337047664968796,5.325727531646507e-06,True,below_practical_threshold,mixed,
D6,600,VD-P,13,12,K1-R,False,False,4.656612873077393e-10,0.0,0.0014815466145342293,-0.0014815466145342293,True,material_improvement,aligned_or_unchanged,True
D6,600,LOG,14,11,P-GRB,False,False,-0.7499999995343387,-0.00015804474911804145,-0.005422002734370268,0.005263957985252227,True,material_regression,mixed,
D6,600,LOG,14,12,K1-R,False,False,4.656612873077393e-10,0.0,-0.003777085643186351,0.003777085643186351,True,material_regression,aligned_or_unchanged,True
D6,600,LOG,14,13,VD-P,False,False,0.0,0.0,-0.00525863225772058,0.00525863225772058,True,material_regression,aligned_or_unchanged,True
D3,300,VD-P,17,15,P-GRB,False,False,0.0010000001639127731,0.0003972971509295861,0.0006789453648057414,-0.0002816482138761553,True,below_practical_threshold,mixed,
D3,300,VD-P,17,16,K1-R,False,False,0.016000000294297934,0.0003972971509295861,-0.0016346605190542055,0.0020319576699837916,True,material_regression,aligned_or_unchanged,True
D3,300,LOG,18,15,P-GRB,False,False,0.0,-5.2611524906265306e-05,0.0007843507102688607,-0.000836962235175126,True,below_practical_threshold,aligned_or_unchanged,
D3,300,LOG,18,16,K1-R,False,False,0.01500000013038516,-5.2611524906265306e-05,-0.0015292551735910861,0.0014766436486848208,True,material_regression,mixed,True
D3,300,LOG,18,17,VD-P,False,False,-0.0010000001639127731,-0.0004499086758358514,0.0001054053454631193,-0.0005553140212989707,True,below_practical_threshold,aligned_or_unchanged,True
C2,300,VD-P,21,19,P-GRB,True,False,-164.40599999995902,0.0,0.05856222576757164,-0.05856222576757164,True,certificate_gain,aligned_or_unchanged,
C2,300,VD-P,21,20,K1-R,True,False,-164.40700000012293,0.0,0.03226622129595391,-0.03226622129595391,True,certificate_gain,aligned_or_unchanged,True
C2,300,LOG,22,19,P-GRB,False,False,0.016000000294297934,0.0,0.055254465304205524,-0.055254465304205524,True,severe_improvement,aligned_or_unchanged,
C2,300,LOG,22,20,K1-R,False,False,0.01500000013038516,0.0,0.028958460832587796,-0.028958460832587796,True,severe_improvement,aligned_or_unchanged,True
C2,300,LOG,22,21,VD-P,False,True,164.42200000025332,0.0,-0.003307760463366116,0.003307760463366116,True,certificate_loss,aligned_or_unchanged,True
