leaf_id,parent_id,depth,child_index,gamma_L,gamma_U,base_lower_bound,lower_bound,status,lp_complete,lp_optimal,lp_infeasible,lp_bound,terminal_mip_started,c6_native_phase_count,c6_frontier_milestone_reached,c6_children_ready,closure_source,lower_bound_sources
L0,"",0,-1,0,0.245,0,8.8331464566372624,empty,1,0,1,0,0,0,0,0,"complete_parent_lp_infeasible","objective_nonnegative_penalty_G_floor"
L1,"",0,-1,0.245,0.48999999999999999,0.245,8.8331464566372624,empty,1,0,1,0,0,0,0,0,"complete_parent_lp_infeasible","objective_nonnegative_penalty_G_floor"
L2,"",0,-1,0.48999999999999999,0.73499999999999999,0.48999999999999999,8.10495960960559,replaced,1,1,0,8.10495960960559,0,0,0,0,"","objective_nonnegative_penalty_G_floor;optimal_complete_lp_relaxation"
L3,"",0,-1,0.73499999999999999,0.97999999999999998,0.73499999999999999,1e+100,empty,1,1,0,8.2876385017876899,1,0,0,0,"native_terminal_mip_infeasible","objective_nonnegative_penalty_G_floor;optimal_complete_lp_relaxation;native_terminal_mip_bound"
L2.0,"L2",1,0,0.48999999999999999,0.61250000000000004,8.1177910201529127,8.1177910201529127,replaced,1,1,0,8.1177910201529127,0,0,0,0,"","inherited_parent_lp_bound;optimal_complete_child_lp_relaxation"
L2.1,"L2",1,1,0.61250000000000004,0.73499999999999999,8.1651385017876876,8.1651385017876876,open,1,1,0,8.1651385017876876,0,0,0,0,"","inherited_parent_lp_bound;optimal_complete_child_lp_relaxation"
L2.0.0,"L2.0",2,0,0.48999999999999999,0.55125000000000002,8.1177910201529127,8.8331464566372624,empty,1,0,1,0,0,0,0,0,"complete_child_lp_infeasible","inherited_parent_lp_bound"
L2.0.1,"L2.0",2,1,0.55125000000000002,0.61250000000000004,8.1373315853622934,8.1373315853622934,replaced,1,1,0,8.1373315853622934,0,0,0,0,"","inherited_parent_lp_bound;optimal_complete_child_lp_relaxation"
L2.0.1.0,"L2.0.1",3,0,0.55125000000000002,0.58187500000000003,8.3087066907619231,8.3087066907619231,open,1,1,0,8.3087066907619231,0,0,0,0,"","inherited_parent_lp_bound;optimal_complete_child_lp_relaxation"
L2.0.1.1,"L2.0.1",3,1,0.58187500000000003,0.61250000000000004,8.148581973845193,8.1571980182926804,replaced,1,1,0,8.148581973845193,0,0,0,0,"","inherited_parent_lp_bound;optimal_complete_child_lp_relaxation;valid_partial_native_mip_bound"
L2.0.1.1.0,"L2.0.1.1",4,0,0.58187500000000003,0.59718749999999998,8.1571980182926804,8.1650950969330971,open,1,1,0,8.157014650854709,0,0,0,0,"","inherited_parent_lp_bound;optimal_complete_child_lp_relaxation;inherited_parent_partial_native_bound;valid_partial_native_mip_bound"
L2.0.1.1.1,"L2.0.1.1",4,1,0.59718749999999998,0.61250000000000004,8.1571980182926804,8.726731954932065,open,1,1,0,8.1545561537083682,1,0,0,0,"","inherited_parent_lp_bound;optimal_complete_child_lp_relaxation;inherited_parent_partial_native_bound;native_terminal_mip_bound"
