file,instance_name,algorithm_preset,method,status,certified_original_problem,objective,lower_bound,upper_bound,gap,runtime_seconds,unresolved_intervals,invalid_bound_intervals,open_nodes,compact_interval_bc_enabled,compact_interval_bc_closed_leaves,compact_interval_bc_timed_out_leaves,compact_bc_bound_valid,compact_bc_bound_scope,compact_bc_certificate_valid,certificate_uses_bpc_tree,no_archive_scanning,no_external_known_ub
results\gf_compact_bc_round\raw\certificate_basis_test.json,regen_candidate_V12_M2_average.txt,custom,certificate-basis-test,diagnostic_passed,False,1.00822320985,0,1.00822320985,1,0.0025287,0,0,0,False,0,0,False,none,False,False,True,True
results\gf_compact_bc_round\raw\high_imbalance_seed3202_ablation_no_new_cuts_60s.json,high_imbalance_seed3202.txt,paper-gf-compact-bc,gcap-frontier,gcap_frontier_not_closed,False,1.74931345205,1.631997,1.74931345205,0.067064282798,78.8647021,1,0,2,True,3,1,True,original_fixed_interval,False,False,True,True
results\gf_compact_bc_round\raw\high_imbalance_seed3202_ablation_no_new_cuts_60s_auto_oracle\interval_2.json,high_imbalance_seed3202.txt,paper-gf-compact-bc,interval-cutoff-oracle,interval_unresolved_timeout,False,0,1.6319974347,1.74931345205,0.0670640343005,10.1176146,0,0,0,True,0,1,True,original_fixed_interval,False,False,True,True
results\gf_compact_bc_round\raw\high_imbalance_seed3202_ablation_no_new_cuts_60s_auto_oracle\interval_3.json,high_imbalance_seed3202.txt,paper-gf-compact-bc,interval-cutoff-oracle,interval_closed,False,0,1.74931345205,1.74931345205,0,0.3915025,0,0,0,True,1,0,True,original_fixed_interval,False,False,True,True
results\gf_compact_bc_round\raw\high_imbalance_seed3202_ablation_no_new_cuts_60s_auto_oracle\interval_4.json,high_imbalance_seed3202.txt,paper-gf-compact-bc,interval-cutoff-oracle,interval_closed,False,0,1.74931345205,1.74931345205,0,0.3389974,0,0,0,True,1,0,True,original_fixed_interval,False,False,True,True
results\gf_compact_bc_round\raw\high_imbalance_seed3202_ablation_no_new_cuts_60s_auto_oracle\interval_5.json,high_imbalance_seed3202.txt,paper-gf-compact-bc,interval-cutoff-oracle,interval_closed,False,0,1.74931345205,1.74931345205,0,9.7369287,0,0,0,True,1,0,True,original_fixed_interval,False,False,True,True
results\gf_compact_bc_round\raw\high_imbalance_seed3202_compact_bc_600s.json,high_imbalance_seed3202.txt,paper-gf-compact-bc,gcap-frontier,optimal,True,1.74931345205,1.74931345205,1.74931345205,0,293.4988343,0,0,0,False,0,0,False,none,True,False,True,True
results\gf_compact_bc_round\raw\high_imbalance_seed3202_plain_cplex_300s.json,high_imbalance_seed3202.txt,custom,cplex,not_certified,False,1.76951964364,1.196041412,1.76951964364,0.324086954162,300.5128798,0,0,0,False,0,0,False,none,False,False,True,True
results\gf_compact_bc_round\raw\moderate_seed3301_compact_bc_300s.json,moderate_seed3301.txt,paper-gf-compact-bc,gcap-frontier,gcap_frontier_not_closed,False,0.0491525526647,0.047141,0.0491525526647,0.0409246835758,300.5755767,2,0,6,True,4,2,True,original_fixed_interval,False,False,True,True
results\gf_compact_bc_round\raw\moderate_seed3301_compact_bc_300s_auto_oracle\interval_10.json,moderate_seed3301.txt,paper-gf-compact-bc,interval-cutoff-oracle,interval_closed,False,0,0.0491525526647,0.0491525526647,0,0.9095619,0,0,0,True,1,0,True,original_fixed_interval,False,False,True,True
results\gf_compact_bc_round\raw\moderate_seed3301_compact_bc_300s_auto_oracle\interval_11.json,moderate_seed3301.txt,paper-gf-compact-bc,interval-cutoff-oracle,interval_closed,False,0,0.0491525526647,0.0491525526647,0,2.5322576,0,0,0,True,1,0,True,original_fixed_interval,False,False,True,True
results\gf_compact_bc_round\raw\moderate_seed3301_compact_bc_300s_auto_oracle\interval_2.json,moderate_seed3301.txt,paper-gf-compact-bc,interval-cutoff-oracle,interval_unresolved_timeout,False,0,0.048905489325,0.0491525526647,0.00502645999752,30.124114,0,0,0,True,0,1,True,original_fixed_interval,False,False,True,True
results\gf_compact_bc_round\raw\moderate_seed3301_compact_bc_300s_auto_oracle\interval_3.json,moderate_seed3301.txt,paper-gf-compact-bc,interval-cutoff-oracle,interval_closed,False,0,0.0491525526647,0.0491525526647,0,0.5302924,0,0,0,True,1,0,True,original_fixed_interval,False,False,True,True
results\gf_compact_bc_round\raw\moderate_seed3301_compact_bc_300s_auto_oracle\interval_7.json,moderate_seed3301.txt,paper-gf-compact-bc,interval-cutoff-oracle,interval_unresolved_timeout,False,0,0.047141338486,0.0491525526647,0.0409177971379,30.1449392,0,0,0,True,0,1,True,original_fixed_interval,False,False,True,True
results\gf_compact_bc_round\raw\moderate_seed3301_compact_bc_300s_auto_oracle\interval_9.json,moderate_seed3301.txt,paper-gf-compact-bc,interval-cutoff-oracle,interval_closed,False,0,0.0491525526647,0.0491525526647,0,4.6330001,0,0,0,True,1,0,True,original_fixed_interval,False,False,True,True
results\gf_compact_bc_round\raw\option_consistency_test.json,regen_candidate_V12_M2_average.txt,paper-gf-compact-bc,option-consistency-test,diagnostic_complete,False,1.00822320985,0,1.00822320985,1,7.69e-05,0,0,0,False,0,0,False,none,False,False,True,True
results\gf_compact_bc_round\raw\tight_T_seed3101_compact_bc_300s.json,tight_T_seed3101.txt,paper-gf-compact-bc,gcap-frontier,optimal,True,0.107252734134,0.107252734134,0.107252734134,0,76.0123309,0,0,0,False,0,0,False,none,True,False,True,True
results\gf_compact_bc_round\raw\v12_m1_compact_bc_300s.json,regen_candidate_V12_M1_average.txt,paper-gf-compact-bc,gcap-frontier,optimal,True,0.357200583208,0.357200583208,0.357200583208,0,303.4084659,0,0,0,True,6,0,True,original_fixed_interval,True,False,True,True
results\gf_compact_bc_round\raw\v12_m1_compact_bc_300s_auto_oracle\interval_12.json,regen_candidate_V12_M1_average.txt,paper-gf-compact-bc,interval-cutoff-oracle,interval_closed,False,0,0.357200583208,0.357200583208,0,2.6661701,0,0,0,True,1,0,True,original_fixed_interval,False,False,True,True
results\gf_compact_bc_round\raw\v12_m1_compact_bc_300s_auto_oracle\interval_13.json,regen_candidate_V12_M1_average.txt,paper-gf-compact-bc,interval-cutoff-oracle,interval_closed,False,0,0.357200583208,0.357200583208,0,1.5486212,0,0,0,True,1,0,True,original_fixed_interval,False,False,True,True
results\gf_compact_bc_round\raw\v12_m1_compact_bc_300s_auto_oracle\interval_14.json,regen_candidate_V12_M1_average.txt,paper-gf-compact-bc,interval-cutoff-oracle,interval_closed,False,0,0.357200583208,0.357200583208,0,2.6986811,0,0,0,True,1,0,True,original_fixed_interval,False,False,True,True
results\gf_compact_bc_round\raw\v12_m1_compact_bc_300s_auto_oracle\interval_15.json,regen_candidate_V12_M1_average.txt,paper-gf-compact-bc,interval-cutoff-oracle,interval_closed,False,0,0.357200583208,0.357200583208,0,11.0855481,0,0,0,True,1,0,True,original_fixed_interval,False,False,True,True
results\gf_compact_bc_round\raw\v12_m1_compact_bc_300s_auto_oracle\interval_16.json,regen_candidate_V12_M1_average.txt,paper-gf-compact-bc,interval-cutoff-oracle,interval_closed,False,0,0.357200583208,0.357200583208,0,1.1581251,0,0,0,True,1,0,True,original_fixed_interval,False,False,True,True
results\gf_compact_bc_round\raw\v12_m1_compact_bc_300s_auto_oracle\interval_17.json,regen_candidate_V12_M1_average.txt,paper-gf-compact-bc,interval-cutoff-oracle,interval_closed,False,0,0.357200583208,0.357200583208,0,0.870101,0,0,0,True,1,0,True,original_fixed_interval,False,False,True,True
results\gf_compact_bc_round\raw\v12_m1_diag_60s.json,regen_candidate_V12_M1_average.txt,paper-gf-compact-bc,gcap-frontier,gcap_frontier_not_closed,False,0.357200583208,0.349495,0.357200583208,0.0215721462132,66.0097354,1,0,2,True,1,1,True,original_fixed_interval,False,False,True,True
results\gf_compact_bc_round\raw\v12_m1_diag_60s_auto_oracle\interval_6.json,regen_candidate_V12_M1_average.txt,paper-gf-compact-bc,interval-cutoff-oracle,interval_unresolved_timeout,False,0,0.34949459736,0.357200583208,0.021573273423,10.1207361,0,0,0,True,0,1,True,original_fixed_interval,False,False,True,True
