"file","instance","status","certified","full_basis","requires_pricing","pricing_satisfied","all_intervals_accounted","rejection","interval_basis","pricing_status","pricing_closure"
"smoke_v4_adaptive-frontier-split-test.json","gcap_smoke_V4_M1.txt","diagnostic_complete","False","","False","False","False","","","not_run","True"
"smoke_v4_branching.json","gcap_smoke_V4_M1.txt","branching_diagnostic_complete","False","","False","False","False","","","not_run","True"
"smoke_v4_certificate-basis-test.json","gcap_smoke_V4_M1.txt","diagnostic_passed","False","not_certified","True","True","False","unresolved_intervals","0:gamma_floor_skip;1:inventory_route_gini_relaxation_fathomed;2:pricing_closed_bpc_tree;3:unresolved","not_run","True"
"smoke_v4_cg.json","gcap_smoke_V4_M1.txt","cg_not_closed","False","","False","False","False","","","not_run","True"
"smoke_v4_cuts.json","gcap_smoke_V4_M1.txt","cuts_diagnostic_complete","False","","False","False","False","","","not_run","True"
"smoke_v4_dominance-test.json","gcap_smoke_V4_M1.txt","diagnostic_complete","False","","False","False","False","","","not_run","True"
"smoke_v4_frontier_state.json","gcap_smoke_V4_M1.txt",,,,,,,,,"duplicate_negative_projection",
"smoke_v4_gcap-cg.json","gcap_smoke_V4_M1.txt","gcap_cg_root_complete","False","","False","False","False","","","not_run","True"
"smoke_v4_gcap-frontier.json","gcap_smoke_V4_M1.txt","optimal","True","frontier_all_intervals_closed_or_fathomed","False","True","True","none","0:gamma_floor_skip;1:gamma_floor_skip;2:gamma_floor_skip;3:gamma_floor_skip","duplicate_negative_projection","False"
"smoke_v4_gcap-tree.json","gcap_smoke_V4_M1.txt","gcap_tree_not_closed","False","","False","False","False","","","not_run","False"
"smoke_v4_incumbent-import-test.json","gcap_smoke_V4_M1.txt","diagnostic_complete","False","","False","False","False","","","not_run","True"
"smoke_v4_inventory-branching-test.json","gcap_smoke_V4_M1.txt","diagnostic_complete","False","","False","False","False","","","not_run","True"
"smoke_v4_iterative-closure-test.json","gcap_smoke_V4_M1.txt","diagnostic_passed","False","","False","False","False","","","not_run","True"
"smoke_v4_master.json","gcap_smoke_V4_M1.txt","restricted_master_complete","False","","False","False","False","","","not_run","True"
"smoke_v4_operation-mode-branching-test.json","gcap_smoke_V4_M1.txt","diagnostic_complete","False","","False","False","False","","","not_run","True"
"smoke_v4_pickup-drop-compat-flow-test.json","gcap_smoke_V4_M1.txt","diagnostic_complete","False","","False","False","False","","","not_run","True"
"smoke_v4_pickup-drop-transfer-cap-test.json","gcap_smoke_V4_M1.txt","diagnostic_complete","False","","False","False","False","","","not_run","True"
"smoke_v4_pricing-branch.json","gcap_smoke_V4_M1.txt","restricted_pricing_complete","False","","False","False","False","","","not_run","True"
"smoke_v4_pricing-closure-audit-test.json","gcap_smoke_V4_M1.txt","diagnostic_passed","False","","False","False","False","","","negative_columns_remaining","False"
"smoke_v4_pricing-verifier-test.json","gcap_smoke_V4_M1.txt","diagnostic_passed","False","","False","False","False","","","exact_no_negative","True"
"smoke_v4_pricing.json","gcap_smoke_V4_M1.txt","pricing_complete","False","","False","False","False","","","not_run","True"
"smoke_v4_pricing_verifier_checkpoint.json",,,,,,,,,,,
"smoke_v4_pricing_verifier_test_checkpoint.json",,,,,,,,,,,
"smoke_v4_resume-state-test.json","gcap_smoke_V4_M1.txt","diagnostic_passed","False","","False","False","False","","","not_run","True"
"smoke_v4_resume_state.json","gcap_smoke_V4_M1.txt",,,,,,,,,,
"smoke_v4_route-mask-operation-budget-test.json","gcap_smoke_V4_M1.txt","diagnostic_complete","False","","False","False","False","","","not_run","True"
"smoke_v4_route-mask-support-test.json","gcap_smoke_V4_M1.txt","diagnostic_complete","False","","False","False","False","","","not_run","True"
"smoke_v4_route-pool-incumbent-test.json","gcap_smoke_V4_M1.txt","diagnostic_complete","False","","False","False","False","","","not_run","True"
"smoke_v4_support-pruning-test.json","gcap_smoke_V4_M1.txt","diagnostic_complete","False","","False","False","False","","","not_run","True"
