"file","instance","status","LB","UB","gap","rounds","targets","lb_before","lb_after","imports","closed","stop"
"smoke_v4_gcap-frontier.json","gcap_smoke_V4_M1.txt","optimal","0","0","0","0","","","","0","0","target_gap_reached"
"smoke_v4_iterative-closure-test.json","gcap_smoke_V4_M1.txt","diagnostic_passed","0.02","0.49","0.959183673469","1","0:[0,0.1]","0.01","0.02","1","0","no_valid_progress_after_test_round"
"v12_m1_iterative_lite_300s.json","regen_candidate_V12_M1_average.txt","gcap_frontier_not_closed","0.330637007941","0.369698924539","0.10565872391","2","3:[0.230364,0.276436];4:[0.276436,0.369699]","0.330637;0.369599","0.330637;0.369599","0","0","max_rounds_reached"
"v12_m1_multifocus_300s.json","regen_candidate_V12_M1_average.txt","gcap_frontier_not_closed","0.34466673345","0.368581603155","0.064883514261","0","","","","0","0","time_limit"
"v12_m2_iterative_300s.json","regen_candidate_V12_M2_average.txt","gcap_frontier_not_closed","0.689651961258","0.719065249476","0.0409048945689","0","","","","0","0","time_limit"
"v12_m2_iterative_reserved_300s.json","regen_candidate_V12_M2_average.txt","gcap_frontier_not_closed","0.689651961258","0.719065249476","0.0409048945689","2","8:[0.465922,0.489218];9:[0.489218,0.512514]","0.689652;0.712948","0.689652;0.712948","0","0","max_rounds_reached"
