"file","instance","ledger"
"smoke_v4_gcap-frontier.json","gcap_smoke_V4_M1.txt","frontier_interval_ledger: interval_id=0, range=[0,0.1225], status=skipped_floor_ge_incumbent, interval_lb=0, cheap_prepass_lb=0, cheap_sources=gamma_floor|movement_domain|penalty_domain|projection_bound, lb_sources=gamma_floor|inventory_route_gini_relaxation|branch_price_tree, complete_or_fathomed=true, open_nodes=11, pricing_closed=false, certificate_basis=gamma_floor_skip, requires_pricing_closure=false, pricing_closure_available=false, interval_bound_valid=true"
"smoke_v4_gcap-frontier.json","gcap_smoke_V4_M1.txt","frontier_interval_ledger: interval_id=1, range=[0.1225,0.245], status=skipped_floor_ge_incumbent, interval_lb=0.1225, cheap_prepass_lb=0.1225, cheap_sources=gamma_floor|movement_domain|penalty_domain|projection_bound, lb_sources=gamma_floor, complete_or_fathomed=true, open_nodes=0, pricing_closed=false, certificate_basis=gamma_floor_skip, requires_pricing_closure=false, pricing_closure_available=false, interval_bound_valid=true"
"smoke_v4_gcap-frontier.json","gcap_smoke_V4_M1.txt","frontier_interval_ledger: interval_id=2, range=[0.245,0.3675], status=skipped_floor_ge_incumbent, interval_lb=0.245, cheap_prepass_lb=0.245, cheap_sources=gamma_floor|movement_domain|penalty_domain|projection_bound, lb_sources=gamma_floor, complete_or_fathomed=true, open_nodes=0, pricing_closed=false, certificate_basis=gamma_floor_skip, requires_pricing_closure=false, pricing_closure_available=false, interval_bound_valid=true"
"smoke_v4_gcap-frontier.json","gcap_smoke_V4_M1.txt","frontier_interval_ledger: interval_id=3, range=[0.3675,0.49], status=skipped_floor_ge_incumbent, interval_lb=0.3675, cheap_prepass_lb=0.3675, cheap_sources=gamma_floor|movement_domain|penalty_domain|projection_bound, lb_sources=gamma_floor, complete_or_fathomed=true, open_nodes=0, pricing_closed=false, certificate_basis=gamma_floor_skip, requires_pricing_closure=false, pricing_closure_available=false, interval_bound_valid=true"
"v12_m1_iterative_lite_300s.json","regen_candidate_V12_M1_average.txt","frontier_interval_ledger: interval_id=0, range=[0,0.184849], status=bound_fathomed, interval_lb=0.369699, cheap_prepass_lb=0.00515451, cheap_sources=gamma_floor|movement_domain|penalty_domain|projection_bound, lb_source=inventory_route_gini_relaxation, lb_sources=gamma_floor|cheap_projection_bound|inventory_route_gini_relaxation, complete_or_fathomed=true, open_nodes=0, pricing_closed=false, certificate_basis=inventory_route_gini_relaxation_fathomed, requires_pricing_closure=false, pricing_closure_available=false, interval_bound_valid=true"
"v12_m1_iterative_lite_300s.json","regen_candidate_V12_M1_average.txt","frontier_interval_ledger: interval_id=2, range=[0.184849,0.230364], status=bound_fathomed, interval_lb=0.369699, cheap_prepass_lb=0.189288, cheap_sources=gamma_floor|movement_domain|penalty_domain|projection_bound, lb_source=inventory_route_gini_relaxation, lb_sources=gamma_floor|cheap_projection_bound|import_split_inherited_parent_lb|inventory_route_gini_relaxation, complete_or_fathomed=true, open_nodes=0, pricing_closed=false, certificate_basis=inventory_route_gini_relaxation_fathomed, requires_pricing_closure=false, pricing_closure_available=false, interval_bound_valid=true"
"v12_m1_iterative_lite_300s.json","regen_candidate_V12_M1_average.txt","frontier_interval_ledger: interval_id=3, range=[0.230364,0.276436], status=unresolved, interval_lb=0.330637, cheap_prepass_lb=0.189288, cheap_sources=gamma_floor|movement_domain|penalty_domain|projection_bound, lb_source=inventory_route_gini_relaxation, lb_sources=gamma_floor|cheap_projection_bound|imported_focus_interval_bound|imported_focus_interval_bound|inventory_route_gini_relaxation|branch_price_tree|iterative_inventory_route_gini_relaxation|iterative_branch_price_tree, complete_or_fathomed=false, open_nodes=1, pricing_closed=false, certificate_basis=unresolved, requires_pricing_closure=false, pricing_closure_available=false, interval_bound_valid=true"
"v12_m1_iterative_lite_300s.json","regen_candidate_V12_M1_average.txt","frontier_interval_ledger: interval_id=4, range=[0.276436,0.369699], status=unresolved, interval_lb=0.369599, cheap_prepass_lb=0.189288, cheap_sources=gamma_floor|movement_domain|penalty_domain|projection_bound, lb_source=inventory_route_gini_relaxation, lb_sources=gamma_floor|cheap_projection_bound|import_split_inherited_parent_lb|inventory_route_gini_relaxation|branch_price_tree|iterative_inventory_route_gini_relaxation|iterative_branch_price_tree, complete_or_fathomed=false, open_nodes=1, pricing_closed=false, certificate_basis=unresolved, requires_pricing_closure=false, pricing_closure_available=false, interval_bound_valid=true"
"v12_m1_multifocus_300s.json","regen_candidate_V12_M1_average.txt","frontier_interval_ledger: interval_id=0, range=[0,0.0921454], status=bound_fathomed, interval_lb=0.368582, cheap_prepass_lb=0.00515451, cheap_sources=gamma_floor|movement_domain|penalty_domain|projection_bound, lb_source=inventory_route_gini_relaxation, lb_sources=gamma_floor|cheap_projection_bound|inventory_route_gini_relaxation, complete_or_fathomed=true, open_nodes=0, pricing_closed=false, certificate_basis=inventory_route_gini_relaxation_fathomed, requires_pricing_closure=false, pricing_closure_available=false, interval_bound_valid=true"
"v12_m1_multifocus_300s.json","regen_candidate_V12_M1_average.txt","frontier_interval_ledger: interval_id=1, range=[0.0921454,0.184291], status=bound_fathomed, interval_lb=0.368582, cheap_prepass_lb=0.0965838, cheap_sources=gamma_floor|movement_domain|penalty_domain|projection_bound, lb_source=inventory_route_gini_relaxation, lb_sources=gamma_floor|cheap_projection_bound|inventory_route_gini_relaxation, complete_or_fathomed=true, open_nodes=0, pricing_closed=false, certificate_basis=inventory_route_gini_relaxation_fathomed, requires_pricing_closure=false, pricing_closure_available=false, interval_bound_valid=true"
