run_id,node_uid,parent_uid,event,row_attachment_mode,theoretical_full_rows,theoretical_full_bounds,inherited_rows,inherited_bounds,exact_duplicate_rows_omitted,identical_bounds_omitted,dominance_omissions,delta_rows_attached,delta_bounds_attached,row_factory_seconds,families,aggregate_signature,status,failure_reason
stage1__tight_T_seed3101__parent_delta__300s,24,18,branch_bounds_only,exact-incremental-delta,1442,42,7054,42,1191,41,0,0,1,0.014663600000000001,direct_gini_floor|gini_interval_bound|interval_tight_mccormick_G_bit|penalty_deviation_upper_bound,d7d6c677e781000a,passed,
stage1__tight_T_seed3101__parent_delta__300s,23,18,deferred_first_relaxation_attach,exact-incremental-delta,1442,42,7054,42,261,42,0,1181,0,0.0150825,direct_gini_cap|gini_pairwise_spread|interval_tight_mccormick_G_bit|low_gini_centering_band|variable_s_low_gini_centering,502f0f897e683347,passed,
stage1__tight_T_seed3101__parent_delta__300s,25,23,branch_bounds_only,exact-incremental-delta,1442,42,8235,42,261,41,0,0,1,0.015209500000000001,direct_gini_cap|gini_interval_bound|gini_pairwise_spread|interval_tight_mccormick_G_bit|low_gini_centering_band|variable_s_low_gini_centering,fb0c28d80c687038,passed,
stage1__tight_T_seed3101__parent_delta__300s,26,23,branch_bounds_only,exact-incremental-delta,1442,42,8235,42,1191,41,0,0,1,0.014346599999999999,direct_gini_floor|gini_interval_bound|interval_tight_mccormick_G_bit|penalty_deviation_upper_bound,f15912dd046e963d,passed,
stage1__tight_T_seed3101__parent_delta__300s,24,18,deferred_first_relaxation_attach,exact-incremental-delta,1442,42,7054,42,1191,42,0,251,0,0.0144998,direct_gini_floor|interval_tight_mccormick_G_bit|penalty_deviation_upper_bound,d7d6c677e781000a,passed,
stage1__tight_T_seed3101__parent_delta__300s,27,24,branch_bounds_only,exact-incremental-delta,1442,42,7305,42,261,41,0,0,1,0.014268299999999999,direct_gini_cap|gini_interval_bound|gini_pairwise_spread|interval_tight_mccormick_G_bit|low_gini_centering_band|variable_s_low_gini_centering,f9afbd81342969cc,passed,
stage1__tight_T_seed3101__parent_delta__300s,28,24,branch_bounds_only,exact-incremental-delta,1442,42,7305,42,1191,41,0,0,1,0.014276,direct_gini_floor|gini_interval_bound|interval_tight_mccormick_G_bit|penalty_deviation_upper_bound,2f06c1c25a39039c,passed,
stage1__tight_T_seed3101__parent_delta__300s,27,24,deferred_first_relaxation_attach,exact-incremental-delta,1442,42,7305,42,261,42,0,1181,0,0.0144534,direct_gini_cap|gini_pairwise_spread|interval_tight_mccormick_G_bit|low_gini_centering_band|variable_s_low_gini_centering,f9afbd81342969cc,passed,
stage1__tight_T_seed3101__parent_delta__300s,29,27,branch_bounds_only,exact-incremental-delta,1442,42,8486,42,261,41,0,0,1,0.0147364,direct_gini_cap|gini_interval_bound|gini_pairwise_spread|interval_tight_mccormick_G_bit|low_gini_centering_band|variable_s_low_gini_centering,bb9bcdd5b485f182,passed,
stage1__tight_T_seed3101__parent_delta__300s,30,27,branch_bounds_only,exact-incremental-delta,1442,42,8486,42,1191,41,0,0,1,0.0141949,direct_gini_floor|gini_interval_bound|interval_tight_mccormick_G_bit|penalty_deviation_upper_bound,6d0fe5a353821a28,passed,
stage1__tight_T_seed3101__parent_delta__300s,29,27,deferred_first_relaxation_attach,exact-incremental-delta,1442,42,8486,42,261,42,0,1181,0,0.0150863,direct_gini_cap|gini_pairwise_spread|interval_tight_mccormick_G_bit|low_gini_centering_band|variable_s_low_gini_centering,bb9bcdd5b485f182,passed,
stage1__tight_T_seed3101__parent_delta__300s,31,29,branch_bounds_only,exact-incremental-delta,1442,42,9667,42,261,41,0,0,1,0.014265,direct_gini_cap|gini_interval_bound|gini_pairwise_spread|interval_tight_mccormick_G_bit|low_gini_centering_band|variable_s_low_gini_centering,a3e3ad9737ebde69,passed,
stage1__tight_T_seed3101__parent_delta__300s,32,29,branch_bounds_only,exact-incremental-delta,1442,42,9667,42,1191,41,0,0,1,0.014307200000000001,direct_gini_floor|gini_interval_bound|interval_tight_mccormick_G_bit|penalty_deviation_upper_bound,b28777631707698e,passed,
stage1__tight_T_seed3101__parent_delta__300s,31,29,deferred_first_relaxation_attach,exact-incremental-delta,1442,42,9667,42,261,42,0,1181,0,0.0146613,direct_gini_cap|gini_pairwise_spread|interval_tight_mccormick_G_bit|low_gini_centering_band|variable_s_low_gini_centering,a3e3ad9737ebde69,passed,
stage1__tight_T_seed3101__parent_delta__300s,32,29,deferred_first_relaxation_attach,exact-incremental-delta,1442,42,9667,42,1191,42,0,251,0,0.014566900000000001,direct_gini_floor|interval_tight_mccormick_G_bit|penalty_deviation_upper_bound,b28777631707698e,passed,
stage1__tight_T_seed3101__parent_delta__300s,8,3,deferred_first_relaxation_attach,exact-incremental-delta,1442,42,3805,42,806,42,0,636,0,0.0146275,direct_gini_floor|interval_tight_mccormick_G_bit|low_gini_centering_band|objective_lower_estimator_cutoff|penalty_deviation_upper_bound|required_station_movement|sp_product_mccormick,0d309ba66f2c2aff,passed,
stage1__tight_T_seed3101__parent_delta__300s,105,8,branch_bounds_only,exact-incremental-delta,1442,42,4441,42,261,41,0,0,1,0.0141406,direct_gini_cap|gini_interval_bound|gini_pairwise_spread|interval_tight_mccormick_G_bit|low_gini_centering_band|variable_s_low_gini_centering,ec6c9b93113fe32f,passed,
stage1__tight_T_seed3101__parent_delta__300s,106,8,branch_bounds_only,exact-incremental-delta,1442,42,4441,42,806,38,0,0,4,0.0144449,direct_gini_floor|gini_interval_bound|interval_tight_mccormick_G_bit|low_gini_centering_band|objective_lower_estimator_cutoff|penalty_deviation_upper_bound|penalty_final_inventory_domain|required_station_movement|sp_product_mccormick,361f4d27f2f9cbcd,passed,
stage1__tight_T_seed3101__parent_delta__300s,105,8,deferred_first_relaxation_attach,exact-incremental-delta,1442,42,4441,42,261,42,0,1181,0,0.0144309,direct_gini_cap|gini_pairwise_spread|interval_tight_mccormick_G_bit|low_gini_centering_band|variable_s_low_gini_centering,ec6c9b93113fe32f,passed,
stage1__tight_T_seed3101__parent_delta__300s,107,105,branch_bounds_only,exact-incremental-delta,1442,42,5622,42,261,41,0,0,1,0.014172499999999999,direct_gini_cap|gini_interval_bound|gini_pairwise_spread|interval_tight_mccormick_G_bit|low_gini_centering_band|variable_s_low_gini_centering,f506052394d05a49,passed,
stage1__tight_T_seed3101__parent_delta__300s,108,105,branch_bounds_only,exact-incremental-delta,1442,42,5622,42,806,38,0,0,4,0.0143088,direct_gini_floor|gini_interval_bound|interval_tight_mccormick_G_bit|low_gini_centering_band|objective_lower_estimator_cutoff|penalty_deviation_upper_bound|penalty_final_inventory_domain|required_station_movement|sp_product_mccormick,c8cf4c4276e67f7a,passed,
stage1__tight_T_seed3101__parent_delta__300s,106,8,deferred_first_relaxation_attach,exact-incremental-delta,1442,42,4441,42,806,42,0,636,0,0.0142504,direct_gini_floor|interval_tight_mccormick_G_bit|low_gini_centering_band|objective_lower_estimator_cutoff|penalty_deviation_upper_bound|required_station_movement|sp_product_mccormick,361f4d27f2f9cbcd,passed,
stage1__tight_T_seed3101__parent_delta__300s,109,106,branch_bounds_only,exact-incremental-delta,1442,42,5077,42,261,41,0,0,1,0.014397099999999999,direct_gini_cap|gini_interval_bound|gini_pairwise_spread|interval_tight_mccormick_G_bit|low_gini_centering_band|variable_s_low_gini_centering,0d29e5289a3e27e0,passed,
stage1__tight_T_seed3101__parent_delta__300s,110,106,branch_bounds_only,exact-incremental-delta,1442,42,5077,42,1191,41,0,0,1,0.0142217,direct_gini_floor|gini_interval_bound|interval_tight_mccormick_G_bit|penalty_deviation_upper_bound,11da996c55cce3c6,passed,
stage1__tight_T_seed3101__parent_delta__300s,107,105,deferred_first_relaxation_attach,exact-incremental-delta,1442,42,5622,42,261,42,0,1181,0,0.014504700000000001,direct_gini_cap|gini_pairwise_spread|interval_tight_mccormick_G_bit|low_gini_centering_band|variable_s_low_gini_centering,f506052394d05a49,passed,
stage1__tight_T_seed3101__parent_delta__300s,111,107,branch_bounds_only,exact-incremental-delta,1442,42,6803,42,261,41,0,0,1,0.0142092,direct_gini_cap|gini_interval_bound|gini_pairwise_spread|interval_tight_mccormick_G_bit|low_gini_centering_band|variable_s_low_gini_centering,b8454752e2cd37af,passed,
stage1__tight_T_seed3101__parent_delta__300s,112,107,branch_bounds_only,exact-incremental-delta,1442,42,6803,42,1191,41,0,0,1,0.0142376,direct_gini_floor|gini_interval_bound|interval_tight_mccormick_G_bit|penalty_deviation_upper_bound,e5c27860d4a987ed,passed,
stage1__tight_T_seed3101__parent_delta__300s,108,105,deferred_first_relaxation_attach,exact-incremental-delta,1442,42,5622,42,806,42,0,636,0,0.0142022,direct_gini_floor|interval_tight_mccormick_G_bit|low_gini_centering_band|objective_lower_estimator_cutoff|penalty_deviation_upper_bound|required_station_movement|sp_product_mccormick,c8cf4c4276e67f7a,passed,
stage1__tight_T_seed3101__parent_delta__300s,113,108,branch_bounds_only,exact-incremental-delta,1442,42,6258,42,261,41,0,0,1,0.0145623,direct_gini_cap|gini_interval_bound|gini_pairwise_spread|interval_tight_mccormick_G_bit|low_gini_centering_band|variable_s_low_gini_centering,b0385da30fd3b865,passed,
stage1__tight_T_seed3101__parent_delta__300s,114,108,branch_bounds_only,exact-incremental-delta,1442,42,6258,42,1191,41,0,0,1,0.0141656,direct_gini_floor|gini_interval_bound|interval_tight_mccormick_G_bit|penalty_deviation_upper_bound,6e329864b6f1151f,passed,
stage1__tight_T_seed3101__parent_delta__300s,113,108,deferred_first_relaxation_attach,exact-incremental-delta,1442,42,6258,42,261,42,0,1181,0,0.014542899999999999,direct_gini_cap|gini_pairwise_spread|interval_tight_mccormick_G_bit|low_gini_centering_band|variable_s_low_gini_centering,b0385da30fd3b865,passed,
stage1__tight_T_seed3101__parent_delta__300s,115,113,branch_bounds_only,exact-incremental-delta,1442,42,7439,42,261,41,0,0,1,0.0143537,direct_gini_cap|gini_interval_bound|gini_pairwise_spread|interval_tight_mccormick_G_bit|low_gini_centering_band|variable_s_low_gini_centering,fe84d7ea2b0d39ff,passed,
stage1__tight_T_seed3101__parent_delta__300s,116,113,branch_bounds_only,exact-incremental-delta,1442,42,7439,42,1191,41,0,0,1,0.014225099999999999,direct_gini_floor|gini_interval_bound|interval_tight_mccormick_G_bit|penalty_deviation_upper_bound,3b40fe763e105d38,passed,
stage1__tight_T_seed3101__parent_delta__300s,114,108,deferred_first_relaxation_attach,exact-incremental-delta,1442,42,6258,42,1191,42,0,251,0,0.0142723,direct_gini_floor|interval_tight_mccormick_G_bit|penalty_deviation_upper_bound,6e329864b6f1151f,passed,
stage1__tight_T_seed3101__parent_delta__300s,117,114,branch_bounds_only,exact-incremental-delta,1442,42,6509,42,261,41,0,0,1,0.0149794,direct_gini_cap|gini_interval_bound|gini_pairwise_spread|interval_tight_mccormick_G_bit|low_gini_centering_band|variable_s_low_gini_centering,41280f719d85d36f,passed,
stage1__tight_T_seed3101__parent_delta__300s,118,114,branch_bounds_only,exact-incremental-delta,1442,42,6509,42,1191,41,0,0,1,0.014123200000000001,direct_gini_floor|gini_interval_bound|interval_tight_mccormick_G_bit|penalty_deviation_upper_bound,8663257ba46f1173,passed,
stage1__tight_T_seed3101__parent_delta__300s,115,113,deferred_first_relaxation_attach,exact-incremental-delta,1442,42,7439,42,261,42,0,1181,0,0.014428699999999999,direct_gini_cap|gini_pairwise_spread|interval_tight_mccormick_G_bit|low_gini_centering_band|variable_s_low_gini_centering,fe84d7ea2b0d39ff,passed,
stage1__tight_T_seed3101__parent_delta__300s,119,115,branch_bounds_only,exact-incremental-delta,1442,42,8620,42,261,41,0,0,1,0.014367400000000001,direct_gini_cap|gini_interval_bound|gini_pairwise_spread|interval_tight_mccormick_G_bit|low_gini_centering_band|variable_s_low_gini_centering,ede9dd480c587034,passed,
stage1__tight_T_seed3101__parent_delta__300s,120,115,branch_bounds_only,exact-incremental-delta,1442,42,8620,42,1191,41,0,0,1,0.0144958,direct_gini_floor|gini_interval_bound|interval_tight_mccormick_G_bit|penalty_deviation_upper_bound,895a6d14cf7ce59d,passed,
