instance,arm,budget_seconds,presolve,execution_status,exclusion_reason,strict_certificate,optimize_calls,distinct_root_presolve_executions,final_lb,common_ub_gap,auc
V12_M1,S0-SAFE,180,off,not_run,excluded_by_stage0_gurobi_license_gate,not_observed,unavailable,unavailable,unavailable,unavailable,unavailable
V12_M1,T-CPX-EXT-POFF,180,off,not_run,excluded_by_stage0_gurobi_license_gate,not_observed,unavailable,unavailable,unavailable,unavailable,unavailable
V12_M2,S0-SAFE,180,off,not_run,excluded_by_stage0_gurobi_license_gate,not_observed,unavailable,unavailable,unavailable,unavailable,unavailable
V12_M2,T-CPX-EXT-POFF,180,off,not_run,excluded_by_stage0_gurobi_license_gate,not_observed,unavailable,unavailable,unavailable,unavailable,unavailable
