instance,comparison,single_tree_arm,external_arm,single_tree_status,external_status,single_tree_optimize_calls,external_optimize_calls,single_tree_presolve_roots,external_presolve_roots,single_tree_final_lb,external_final_lb,classification,reason
V12_M1,safe_presolve_off,S0-SAFE,T-CPX-EXT-POFF,not_run,not_run,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,stage0_gurobi_license_gate
V12_M2,safe_presolve_off,S0-SAFE,T-CPX-EXT-POFF,not_run,not_run,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,stage0_gurobi_license_gate
V12_M1,presolve_on_speed_ceiling,T-CPX-ST-PON-DIAG,T-CPX-EXT-PON,not_run,not_run,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,stage0_gurobi_license_gate
V12_M2,presolve_on_speed_ceiling,T-CPX-ST-PON-DIAG,T-CPX-EXT-PON,not_run,not_run,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,stage0_gurobi_license_gate
high_imbalance_seed3202,presolve_on_speed_ceiling,T-CPX-ST-PON-DIAG,T-CPX-EXT-PON,not_run,not_run,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,stage0_gurobi_license_gate
tight_T_seed3101,presolve_on_speed_ceiling,T-CPX-ST-PON-DIAG,T-CPX-EXT-PON,not_run,not_run,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,stage0_gurobi_license_gate
