instance,role,path,sha256,lambda,T_seconds,stage1a,stage1b,stage1c,stage2,algorithm_dispatch_allowed
V12_M1,performance,reference/regen_candidate_V12_M1_average.txt,e395cfef336d3407a65f04d7e201aa29ac844a08aff25d1991ce6983e5e9508d,0.15,3600,false,false,true,true,false
V12_M2,performance,reference/regen_candidate_V12_M2_average.txt,0bb0416cc9540fffbb91299d5c9ed3d6c2363906424005b1c40b4e3829ddf4f0,0.15,3600,false,true,true,true,false
high_imbalance_seed3202,performance,reference/hard_stress/V20_M3/high_imbalance_seed3202.txt,902f4c46fa076f3e24b537737c5d58ffe833e6de21e900a42bb8846d3f76db50,0.15,3600,false,false,false,true,false
tight_T_seed3101,performance,reference/hard_stress/V20_M3/tight_T_seed3101.txt,30aea92f1d6ce551ef8fffe15acdd3422a94b06e60ddd13ad5166149653d4ef3,0.15,1800,false,false,false,true,false
moderate_seed4301,correctness_sentinel,reference/heldout_round22/V20_M3/moderate_seed4301.txt,8841820f8028da45d98c7d4ebebdb182df03f4a3909b877e4d3ce2bcd131daf6,0.15,3600,true,false,false,false,false
