instance,cplex_artifact,gurobi_artifact,sha256,bytes,rows,columns,matrix_nonzeros,binaries,general_integers,continuous,objective_terms,objective_sense,exact_bytes_equal,objective_audit,domain_bound_audit,row_sense_rhs_coefficient_audit,known_route_audit,gurobi_native_import,gurobi_fingerprint,result
round24_toy_V2_M1,stage0/toy_p_cpx.lp,stage0/toy_p_grb.lp,c6bb54a537729bb436d5803f2ef3d1db5d1e1e3196ef8ca774b270849a9171ff,4267,77,44,217,18,8,18,3,minimize,true,pass_by_byte_identity,pass_by_byte_identity,pass_by_byte_identity,pass_canonical_known_route_and_cplex_verifier,blocked_license,unavailable,canonical_pass_native_gurobi_blocked
V12_M1,stage0/v12_m1_p_cpx.lp,stage0/v12_m1_p_grb.lp,4f3aa09e4192077446237e9b41fa4a09dd6c2fed7b09e90be5656e978d7522fe,68218,992,489,3867,253,48,188,13,minimize,true,pass_by_byte_identity,pass_by_byte_identity,pass_by_byte_identity,pass_canonical_empty_route_witness,blocked_license,unavailable,canonical_pass_native_gurobi_blocked
