instance,cplex_arm,gurobi_arm,cplex_status,gurobi_status,cplex_final_lb,gurobi_final_lb,cplex_common_gap,gurobi_common_gap,cplex_auc,gurobi_auc,classification,reason
V12_M1,T-CPX-EXT-PON,T-GRB-EXT-COLD,not_run,not_run,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,stage0_gurobi_license_gate
V12_M2,T-CPX-EXT-PON,T-GRB-EXT-COLD,not_run,not_run,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,stage0_gurobi_license_gate
high_imbalance_seed3202,T-CPX-EXT-PON,T-GRB-EXT-COLD,not_run,not_run,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,stage0_gurobi_license_gate
tight_T_seed3101,T-CPX-EXT-PON,T-GRB-EXT-COLD,not_run,not_run,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,stage0_gurobi_license_gate
