instance,arm,time_to_50pct_gap,time_to_25pct_gap,time_to_10pct_gap,time_to_5pct_gap,time_to_1pct_gap,status,reason
V12_M1,all_preregistered_arms,unavailable,unavailable,unavailable,unavailable,unavailable,not_run,stage0_gurobi_license_gate
V12_M2,all_preregistered_arms,unavailable,unavailable,unavailable,unavailable,unavailable,not_run,stage0_gurobi_license_gate
high_imbalance_seed3202,all_preregistered_arms,unavailable,unavailable,unavailable,unavailable,unavailable,not_run,stage0_gurobi_license_gate
tight_T_seed3101,all_preregistered_arms,unavailable,unavailable,unavailable,unavailable,unavailable,not_run,stage0_gurobi_license_gate
