instance,p_grb_vs_p_cpx,t_cpx_ext_vs_single_tree,t_grb_ext_vs_t_cpx_ext,t_grb_warm_vs_cold,t_grb_warm_vs_s0,t_grb_warm_vs_unsafe_speed_ceiling,reason
V12_M1,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,stage0_gurobi_license_gate
V12_M2,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,stage0_gurobi_license_gate
high_imbalance_seed3202,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,stage0_gurobi_license_gate
tight_T_seed3101,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,stage0_gurobi_license_gate
