instance,arm,common_ub,execution_status,final_valid_lb,final_common_gap,normalized_common_ub_auc,trajectory_status,reason
V12_M1,all_preregistered_arms,0.3572005832084155,not_run,unavailable,unavailable,unavailable,unavailable,stage0_gurobi_license_gate
V12_M2,all_preregistered_arms,0.7185040707549709,not_run,unavailable,unavailable,unavailable,unavailable,stage0_gurobi_license_gate
high_imbalance_seed3202,all_preregistered_arms,1.7493134520506337,not_run,unavailable,unavailable,unavailable,unavailable,stage0_gurobi_license_gate
tight_T_seed3101,all_preregistered_arms,0.10725273413394144,not_run,unavailable,unavailable,unavailable,unavailable,stage0_gurobi_license_gate
