instance,frozen_common_verified_ub,source,reporting_only,enters_plain_solve,enters_tailored_solve
V12_M1,0.3572005832084155,immutable retained Round 22 evidence,true,false,false
V12_M2,0.7185040707549709,immutable retained Round 22 evidence,true,false,false
high_imbalance_seed3202,1.7493134520506337,immutable retained Round 22 evidence,true,false,false
tight_T_seed3101,0.10725273413394144,immutable retained Round 22 evidence,true,false,false
moderate_seed4301,0.019278051143257303,immutable retained Round 22 evidence,true,false,false
