instance,p_cpx_status,p_grb_status,p_cpx_strict,p_grb_strict,p_cpx_final_lb,p_grb_final_lb,p_cpx_common_gap,p_grb_common_gap,p_cpx_auc,p_grb_auc,classification,reason
V12_M1,not_run,not_run,not_observed,not_observed,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,stage0_gurobi_license_gate
V12_M2,not_run,not_run,not_observed,not_observed,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,stage0_gurobi_license_gate
high_imbalance_seed3202,not_run,not_run,not_observed,not_observed,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,stage0_gurobi_license_gate
tight_T_seed3101,not_run,not_run,not_observed,not_observed,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,stage0_gurobi_license_gate
