instance,cold_status,warm_status,cold_final_lb,warm_final_lb,cold_common_gap,warm_common_gap,cold_auc,warm_auc,warm_candidates,warm_submitted,warm_accepted,classification,reason
V12_M1,not_run,not_run,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,stage0_gurobi_license_gate
V12_M2,not_run,not_run,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,stage0_gurobi_license_gate
high_imbalance_seed3202,not_run,not_run,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,stage0_gurobi_license_gate
tight_T_seed3101,not_run,not_run,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,stage0_gurobi_license_gate
