scope,arm,optimize_calls,distinct_models,distinct_root_presolve_executions,cumulative_presolve_seconds,cumulative_root_seconds,model_build_seconds,same_leaf_resume_calls,fresh_restarts,child_restarts,status
stage0_smoke,T-CPX-EXT-PON,1,1,1,not_separately_exposed,1.11,not_separately_exposed,0,1,1,diagnostic_F0_smoke_only
stage0_smoke,T-GRB-EXT-COLD,0,0,0,0,0,0,0,0,0,blocked_license_error_10009
stage1B,T-GRB-EXT-FRESH-COLD,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,0,unavailable,unavailable,excluded_by_stage0_license_gate
stage1B,T-GRB-EXT-COLD,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,excluded_by_stage0_license_gate
stage1B,T-GRB-EXT-WARM,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,excluded_by_stage0_license_gate
stage2,S0-SAFE,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,excluded_by_stage0_license_gate
stage2,T-CPX-ST-PON-DIAG,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,excluded_by_stage0_license_gate
stage2,T-CPX-EXT-PON,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,excluded_by_stage0_license_gate
stage2,T-GRB-EXT-COLD,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,excluded_by_stage0_license_gate
stage2,T-GRB-EXT-WARM,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,unavailable,excluded_by_stage0_license_gate
