instance,arm,budget_seconds,execution_status,exclusion_reason,strict_certificate,final_lb,common_ub,common_gap,auc,optimize_calls,presolve_executions
V12_M1,P-CPX,300,not_run,excluded_by_stage0_gurobi_license_gate,not_observed,unavailable,0.3572005832084155,unavailable,unavailable,unavailable,unavailable
V12_M1,P-GRB,300,not_run,excluded_by_stage0_gurobi_license_gate,not_observed,unavailable,0.3572005832084155,unavailable,unavailable,unavailable,unavailable
V12_M1,S0-SAFE,300,not_run,excluded_by_stage0_gurobi_license_gate,not_observed,unavailable,0.3572005832084155,unavailable,unavailable,unavailable,unavailable
V12_M1,T-CPX-ST-PON-DIAG,300,not_run,excluded_by_stage0_gurobi_license_gate,forced_false,unavailable,0.3572005832084155,unavailable,unavailable,unavailable,unavailable
V12_M1,T-CPX-EXT-PON,300,not_run,excluded_by_stage0_gurobi_license_gate,not_observed,unavailable,0.3572005832084155,unavailable,unavailable,unavailable,unavailable
V12_M1,T-GRB-EXT-COLD,300,not_run,excluded_by_stage0_gurobi_license_gate,not_observed,unavailable,0.3572005832084155,unavailable,unavailable,unavailable,unavailable
V12_M1,T-GRB-EXT-WARM,300,not_run,excluded_by_stage0_gurobi_license_gate,not_observed,unavailable,0.3572005832084155,unavailable,unavailable,unavailable,unavailable
V12_M2,P-CPX,300,not_run,excluded_by_stage0_gurobi_license_gate,not_observed,unavailable,0.7185040707549709,unavailable,unavailable,unavailable,unavailable
V12_M2,P-GRB,300,not_run,excluded_by_stage0_gurobi_license_gate,not_observed,unavailable,0.7185040707549709,unavailable,unavailable,unavailable,unavailable
V12_M2,S0-SAFE,300,not_run,excluded_by_stage0_gurobi_license_gate,not_observed,unavailable,0.7185040707549709,unavailable,unavailable,unavailable,unavailable
V12_M2,T-CPX-ST-PON-DIAG,300,not_run,excluded_by_stage0_gurobi_license_gate,forced_false,unavailable,0.7185040707549709,unavailable,unavailable,unavailable,unavailable
V12_M2,T-CPX-EXT-PON,300,not_run,excluded_by_stage0_gurobi_license_gate,not_observed,unavailable,0.7185040707549709,unavailable,unavailable,unavailable,unavailable
V12_M2,T-GRB-EXT-COLD,300,not_run,excluded_by_stage0_gurobi_license_gate,not_observed,unavailable,0.7185040707549709,unavailable,unavailable,unavailable,unavailable
V12_M2,T-GRB-EXT-WARM,300,not_run,excluded_by_stage0_gurobi_license_gate,not_observed,unavailable,0.7185040707549709,unavailable,unavailable,unavailable,unavailable
high_imbalance_seed3202,P-CPX,300,not_run,excluded_by_stage0_gurobi_license_gate,not_observed,unavailable,1.7493134520506337,unavailable,unavailable,unavailable,unavailable
high_imbalance_seed3202,P-GRB,300,not_run,excluded_by_stage0_gurobi_license_gate,not_observed,unavailable,1.7493134520506337,unavailable,unavailable,unavailable,unavailable
high_imbalance_seed3202,S0-SAFE,300,not_run,excluded_by_stage0_gurobi_license_gate,not_observed,unavailable,1.7493134520506337,unavailable,unavailable,unavailable,unavailable
high_imbalance_seed3202,T-CPX-ST-PON-DIAG,300,not_run,excluded_by_stage0_gurobi_license_gate,forced_false,unavailable,1.7493134520506337,unavailable,unavailable,unavailable,unavailable
high_imbalance_seed3202,T-CPX-EXT-PON,300,not_run,excluded_by_stage0_gurobi_license_gate,not_observed,unavailable,1.7493134520506337,unavailable,unavailable,unavailable,unavailable
high_imbalance_seed3202,T-GRB-EXT-COLD,300,not_run,excluded_by_stage0_gurobi_license_gate,not_observed,unavailable,1.7493134520506337,unavailable,unavailable,unavailable,unavailable
high_imbalance_seed3202,T-GRB-EXT-WARM,300,not_run,excluded_by_stage0_gurobi_license_gate,not_observed,unavailable,1.7493134520506337,unavailable,unavailable,unavailable,unavailable
tight_T_seed3101,P-CPX,300,not_run,excluded_by_stage0_gurobi_license_gate,not_observed,unavailable,0.10725273413394144,unavailable,unavailable,unavailable,unavailable
tight_T_seed3101,P-GRB,300,not_run,excluded_by_stage0_gurobi_license_gate,not_observed,unavailable,0.10725273413394144,unavailable,unavailable,unavailable,unavailable
tight_T_seed3101,S0-SAFE,300,not_run,excluded_by_stage0_gurobi_license_gate,not_observed,unavailable,0.10725273413394144,unavailable,unavailable,unavailable,unavailable
tight_T_seed3101,T-CPX-ST-PON-DIAG,300,not_run,excluded_by_stage0_gurobi_license_gate,forced_false,unavailable,0.10725273413394144,unavailable,unavailable,unavailable,unavailable
tight_T_seed3101,T-CPX-EXT-PON,300,not_run,excluded_by_stage0_gurobi_license_gate,not_observed,unavailable,0.10725273413394144,unavailable,unavailable,unavailable,unavailable
tight_T_seed3101,T-GRB-EXT-COLD,300,not_run,excluded_by_stage0_gurobi_license_gate,not_observed,unavailable,0.10725273413394144,unavailable,unavailable,unavailable,unavailable
tight_T_seed3101,T-GRB-EXT-WARM,300,not_run,excluded_by_stage0_gurobi_license_gate,not_observed,unavailable,0.10725273413394144,unavailable,unavailable,unavailable,unavailable
