relative_path,authoritative_present,regenerated_present,authoritative_sha256,regenerated_sha256,byte_equal,validation_status
README.md,True,True,f7b2f586b0003d932f86f8d53c2dae913adc03b7b066c0638a528d61b9c46236,f7b2f586b0003d932f86f8d53c2dae913adc03b7b066c0638a528d61b9c46236,True,PASS
generator_contract.json,True,True,5768007fae9372bfa6651b03151e4464236c5dceb268fb297b64c9dafb29f8fb,5768007fae9372bfa6651b03151e4464236c5dceb268fb297b64c9dafb29f8fb,True,PASS
instances/V08/cb443_V08_compact_r1_balanced_M01_Q20.txt,True,True,51bbd9b0743986cb39192c870397a6a9c8f01d1c15df288dd5ddda022122ba3d,51bbd9b0743986cb39192c870397a6a9c8f01d1c15df288dd5ddda022122ba3d,True,PASS
instances/V08/cb443_V08_compact_r1_balanced_M01_Q30.txt,True,True,7f9e767672648e27cc23db90d25b884519e166334eb5e79a040ec96b3685bf4d,7f9e767672648e27cc23db90d25b884519e166334eb5e79a040ec96b3685bf4d,True,PASS
instances/V08/cb443_V08_compact_r1_balanced_M02_Q20.txt,True,True,ed04fcb237ed12a4cbd50b0b5e87bcf7bf6ea400408b84453960212f32bffae1,ed04fcb237ed12a4cbd50b0b5e87bcf7bf6ea400408b84453960212f32bffae1,True,PASS
instances/V08/cb443_V08_compact_r1_balanced_M02_Q30.txt,True,True,14b63a3ba66c1de7449c6a2b3699942b5578f4c68d8988dc65a3bdbe418cc977,14b63a3ba66c1de7449c6a2b3699942b5578f4c68d8988dc65a3bdbe418cc977,True,PASS
instances/V08/cb443_V08_compact_r1_shortage_M01_Q20.txt,True,True,578c672623cb6f4582f5ce22e5988d87824ecbae5b9cccf1f19ebb6cc9d1a3ea,578c672623cb6f4582f5ce22e5988d87824ecbae5b9cccf1f19ebb6cc9d1a3ea,True,PASS
instances/V08/cb443_V08_compact_r1_shortage_M01_Q30.txt,True,True,4c94911caed765aecac089a9bbaae2ae72cc608d483d5dad27875bf7d2c0b124,4c94911caed765aecac089a9bbaae2ae72cc608d483d5dad27875bf7d2c0b124,True,PASS
instances/V08/cb443_V08_compact_r1_shortage_M02_Q20.txt,True,True,9d5c93a283146444947767fc9165df78507242d5858d9bf0cf00a5d28493dddb,9d5c93a283146444947767fc9165df78507242d5858d9bf0cf00a5d28493dddb,True,PASS
instances/V08/cb443_V08_compact_r1_shortage_M02_Q30.txt,True,True,88abff7d01f4e1b72bb7b490f211ab7a60a66fa75b29005bb4f964c5052ceee2,88abff7d01f4e1b72bb7b490f211ab7a60a66fa75b29005bb4f964c5052ceee2,True,PASS
