source_station_row_index,legacy_internal_index,capacity,utm18n_easting_m,utm18n_northing_m,companion_full_row_index,companion_capacity,companion_match_status,station_id,station_name,latitude,longitude,eligible_for_generation
0,1,23,589914.869,4500814.946,952,23,exact_coordinate_and_capacity,1817432104157364846,Troy Ave & Linden Blvd,40.6533,-73.93644,True
1,2,21,590486.293,4500898.484,111,21,exact_coordinate_and_capacity,1898751402035634700,E 51 St & Linden Blvd,40.65399,-73.92967,True
2,3,21,589810.346,4500997.979,294,21,exact_coordinate_and_capacity,1814901062206225038,Lenox Rd & E 43 St,40.65496,-73.93765,True
3,4,22,589340.064,4501082.240,584,22,exact_coordinate_and_capacity,1814900898997467540,Clarkson Ave & E 37 St,40.65577,-73.9432,True
4,5,30,589552.904,4501101.454,526,30,exact_coordinate_and_capacity,1815967051912860522,Clarkson Ave & E 40 St,40.65592,-73.94068,True
5,6,23,589907.856,4501148.004,1402,23,exact_coordinate_and_capacity,1823008749757202820,Clarkson Ave & Troy Ave,40.6563006979,-73.9364752978,True
6,7,20,590362.640,4501193.409,661,20,exact_coordinate_and_capacity,eb8fcff2-6f58-4724-b564-ebc9a8d374d8,Clarkson Ave & Utica Ave,40.65666,-73.93109,True
7,8,24,588759.244,4501219.610,1740,24,exact_coordinate_and_capacity,39112ced-337f-4b71-9df6-291cd4265cc9,Winthrop St & Nostrand Ave,40.65707,-73.95005,True
8,9,21,589624.916,4501299.941,1928,21,exact_coordinate_and_capacity,1838999304404452058,Winthrop St & Albany Ave,40.6577,-73.9398,True
9,10,20,588986.341,4501318.914,1360,20,exact_coordinate_and_capacity,308e055a-b8aa-447d-8803-8677c88af0ba,New York Ave & Hawthorne St,40.65794,-73.94735,True
10,11,21,590131.467,4501361.577,1165,21,exact_coordinate_and_capacity,1838999521825487230,Winthrop St & Schenectady Ave,40.6582,-73.9338,True
11,12,20,588725.590,4501488.991,2113,20,exact_coordinate_and_capacity,0e240143-2f86-4754-8345-4994750d99f1,Nostrand Ave & Rutland Rd,40.6595,-73.95041,True
12,13,25,589168.301,4501515.383,767,25,exact_coordinate_and_capacity,ea9a19a6-acea-4286-a723-b5481c90a3c0,Rutland Rd & Brooklyn Ave,40.65969,-73.94517,True
13,14,23,588185.137,4501576.927,1086,23,exact_coordinate_and_capacity,cad68b8c-6d68-4c5f-88fe-b1aa3e40727a,Bedford Ave & Maple St,40.66035,-73.95679,True
14,15,23,589927.396,4501596.693,260,23,exact_coordinate_and_capacity,cd2d9dab-7708-4685-a56f-9412c738de7e,Rutland Rd & E 45 St,40.66034,-73.93618,True
15,16,23,588931.501,4501662.425,1918,23,exact_coordinate_and_capacity,bda1fab4-5065-42df-a8ff-514e6064ab6e,Maple St & New York Ave,40.66104,-73.94795,True
16,17,23,588460.348,4501682.337,2111,23,exact_coordinate_and_capacity,3a51a25f-3e9b-4aea-84ee-39e9a3acc7fd,Rogers Ave & Lincoln Rd,40.66127,-73.95352,True
17,18,19,589624.835,4501727.375,2064,19,exact_coordinate_and_capacity,f42b3158-3f78-4a62-964a-8cc554d69c35,Maple St & Albany Ave,40.66155,-73.93974,True
18,19,19,590071.702,4501758.312,1023,19,exact_coordinate_and_capacity,55fda28d-56a8-4db2-b42a-072714f18471,Schenectady Ave & Maple St,40.66178,-73.93445,True
19,20,21,589354.322,4501795.171,249,21,exact_coordinate_and_capacity,1835250442210857240,Kingston Ave & E New York Ave,40.66219,-73.94293,True
20,21,21,589803.078,4501809.462,418,21,exact_coordinate_and_capacity,2c8b263e-952c-4941-a671-ef0ebb062632,E New York Ave & Troy Ave,40.66227,-73.93762,True
21,22,20,589131.083,4501834.013,1520,20,exact_coordinate_and_capacity,1846449740982645546,Brooklyn Ave & Lefferts Ave,40.662564,-73.945565,True
22,23,19,588171.764,4501838.324,2069,19,exact_coordinate_and_capacity,981f1311-004f-41c3-ba5b-3679f78aeb70,Sterling St & Bedford Ave,40.6627059,-73.9569115,True
23,24,22,590298.295,4501861.648,1372,22,exact_coordinate_and_capacity,2053867202510006310,E New York Ave & Utica Ave,40.662686,-73.931755,True
24,25,24,589585.016,4501874.554,240,24,exact_coordinate_and_capacity,c606bae0-889c-47c3-8202-9463ef147655,Lefferts Ave & Albany Ave,40.66288,-73.94019,True
25,26,17,588428.006,4501880.892,2094,17,exact_coordinate_and_capacity,6dec8948-44c7-4085-9682-446a891feb42,Rogers Ave & Sterling St,40.6630619,-73.9538746,True
26,27,27,587861.980,4501882.849,58,27,exact_coordinate_and_capacity,56b3ca32-104a-4920-a879-a97a820858c4,Washington Ave & Empire Blvd,40.66314,-73.9605695,True
