number,id,arm,cap_seconds,wall_seconds,failure,status,source
1,D3,P-GRB,300,297.06300000008196,False,audited_short_endpoint,results\unified_exact_round72\campaign\local_raw\development\D3\P-GRB
2,D3,DS,300,297.0779999997467,False,audited_short_endpoint,results\unified_exact_round72\campaign\local_raw\development\D3\DS
3,D3,DS-X,300,255.36000000033528,False,audited_short_endpoint,results\unified_exact_round72\campaign\local_raw\development\D3\DS-X
4,C2,P-GRB,300,297.06300000008196,False,audited_short_endpoint,results\unified_exact_round72\campaign\local_raw\development\C2\P-GRB
5,C2,DS,300,154.21900000004098,False,audited_short_endpoint,results\unified_exact_round72\campaign\local_raw\development\C2\DS
6,C2,DS-X,300,111.23400000017136,False,audited_short_endpoint,results\unified_exact_round72\campaign\local_raw\development\C2\DS-X
7,D4,P-GRB,300,297.06199999991804,False,audited_short_endpoint,results\unified_exact_round72\campaign\local_raw\development\D4\P-GRB
8,D4,DS,300,53.859999999869615,False,audited_short_endpoint,results\unified_exact_round72\campaign\local_raw\development\D4\DS
9,D4,DS-X,300,54.70300000021234,False,audited_short_endpoint,results\unified_exact_round72\campaign\local_raw\development\D4\DS-X
10,D7,P-GRB,3600,3610.063000000082,True,watchdog_no_formal_endpoint,results\unified_exact_round72\campaign\local_raw\development\D7\P-GRB
