leaf_id,solve_kind,native_status,optimize_return_code,global_deadline_remaining_at_launch,solver_runtime,work,nodes,simplex_iterations,barrier_iterations,memory_gb,model_sha256,native_log
L0.0.0.1.0.1.1,LP,"OPTIMAL",0,18.0712,0.149,0.400019,0,1800,0,0.0296434,7fa5e7894fe9c2e52b5386d58afaefa1df5aa51e968be79f7f15dd7911807e6a,"E:\codes\ExactEBRP\results\gf_paper_safe_gurobi_scheduling_round27\runs\sentinel__moderate_seed4301__c2_paper__60s\external\native_logs\L0.0.0.1.0.1.1_lp.gurobi.log"
L0.0.0.1.0.0.0,MIP,"INFEASIBLE",0,17.8871,0.00800014,0.0157108,0,0,0,0.0296434,2c40328493c180764fca438255d671844932a0203356451ab55e385160aa1c89,"E:\codes\ExactEBRP\results\gf_paper_safe_gurobi_scheduling_round27\runs\sentinel__moderate_seed4301__c2_paper__60s\external\native_logs\L0.0.0.1.0.0.0_terminal_mip.gurobi.log"
L0.0.0.1.0.0.1,MIP,"INFEASIBLE",0,17.8459,0.00699997,0.0158015,0,0,0,0.0296434,89b890624dde0df54d069f48013aab3ae9e534e636132a8e71a9f56df7e483ae,"E:\codes\ExactEBRP\results\gf_paper_safe_gurobi_scheduling_round27\runs\sentinel__moderate_seed4301__c2_paper__60s\external\native_logs\L0.0.0.1.0.0.1_terminal_mip.gurobi.log"
L0.0.0.1.1.0.0,LP,"OPTIMAL",0,17.691,0.139,0.366163,0,1639,0,0.0296434,921ce046ccd13a428c2562319824a191b711e225b0a5c4f9b8fe80a637920d4d,"E:\codes\ExactEBRP\results\gf_paper_safe_gurobi_scheduling_round27\runs\sentinel__moderate_seed4301__c2_paper__60s\external\native_logs\L0.0.0.1.1.0.0_lp.gurobi.log"
L0.0.0.1.1.0.1,LP,"OPTIMAL",0,17.4022,0.13,0.34636,0,1528,0,0.0296434,6bcd9777f53eea7f57d68b8d370f7653166aefce82f9ccc93aa498729a46d67a,"E:\codes\ExactEBRP\results\gf_paper_safe_gurobi_scheduling_round27\runs\sentinel__moderate_seed4301__c2_paper__60s\external\native_logs\L0.0.0.1.1.0.1_lp.gurobi.log"
L0.0.0.1.0.1.0,MIP,"INFEASIBLE",0,17.2371,0.00699997,0.0157305,0,0,0,0.0296434,a008cd332f70e7c95c7830fcdb3bdf75cd1e04712004415efa9e7a86a35c65a9,"E:\codes\ExactEBRP\results\gf_paper_safe_gurobi_scheduling_round27\runs\sentinel__moderate_seed4301__c2_paper__60s\external\native_logs\L0.0.0.1.0.1.0_terminal_mip.gurobi.log"
L0.0.0.1.0.1.1,MIP,"INFEASIBLE",0,17.1961,0.00800014,0.0157587,0,0,0,0.0296434,7fa5e7894fe9c2e52b5386d58afaefa1df5aa51e968be79f7f15dd7911807e6a,"E:\codes\ExactEBRP\results\gf_paper_safe_gurobi_scheduling_round27\runs\sentinel__moderate_seed4301__c2_paper__60s\external\native_logs\L0.0.0.1.0.1.1_terminal_mip.gurobi.log"
L0.0.0.1.1.1.0,LP,"OPTIMAL",0,17.0393,0.148,0.416062,0,1647,0,0.0296434,69117d94e5d50703b8ff3ac395967bbf1f46204d4d640b6c71eb063ee9e8b3a0,"E:\codes\ExactEBRP\results\gf_paper_safe_gurobi_scheduling_round27\runs\sentinel__moderate_seed4301__c2_paper__60s\external\native_logs\L0.0.0.1.1.1.0_lp.gurobi.log"
L0.0.0.1.1.1.1,LP,"OPTIMAL",0,16.7436,0.145,0.39963,0,1621,0,0.0296434,bafeb7d38d9677f31d610cdb0d0d7afaeac5ba6c6e25c468eb44ef05da7b71c3,"E:\codes\ExactEBRP\results\gf_paper_safe_gurobi_scheduling_round27\runs\sentinel__moderate_seed4301__c2_paper__60s\external\native_logs\L0.0.0.1.1.1.1_lp.gurobi.log"
L0.0.0.1.1.0.0,MIP,"INFEASIBLE",0,16.5643,0.0079999,0.0158417,0,0,0,0.0296434,921ce046ccd13a428c2562319824a191b711e225b0a5c4f9b8fe80a637920d4d,"E:\codes\ExactEBRP\results\gf_paper_safe_gurobi_scheduling_round27\runs\sentinel__moderate_seed4301__c2_paper__60s\external\native_logs\L0.0.0.1.1.0.0_terminal_mip.gurobi.log"
L0.0.0.1.1.0.1,MIP,"INFEASIBLE",0,16.522,0.0079999,0.0158835,0,0,0,0.0296434,6bcd9777f53eea7f57d68b8d370f7653166aefce82f9ccc93aa498729a46d67a,"E:\codes\ExactEBRP\results\gf_paper_safe_gurobi_scheduling_round27\runs\sentinel__moderate_seed4301__c2_paper__60s\external\native_logs\L0.0.0.1.1.0.1_terminal_mip.gurobi.log"
L0.0.0.1.1.1.0,MIP,"INFEASIBLE",0,16.4789,0.00800014,0.0159234,0,0,0,0.0296434,69117d94e5d50703b8ff3ac395967bbf1f46204d4d640b6c71eb063ee9e8b3a0,"E:\codes\ExactEBRP\results\gf_paper_safe_gurobi_scheduling_round27\runs\sentinel__moderate_seed4301__c2_paper__60s\external\native_logs\L0.0.0.1.1.1.0_terminal_mip.gurobi.log"
L0.0.0.1.1.1.1,MIP,"INFEASIBLE",0,16.4373,0.00699997,0.0159346,0,0,0,0.0296434,bafeb7d38d9677f31d610cdb0d0d7afaeac5ba6c6e25c468eb44ef05da7b71c3,"E:\codes\ExactEBRP\results\gf_paper_safe_gurobi_scheduling_round27\runs\sentinel__moderate_seed4301__c2_paper__60s\external\native_logs\L0.0.0.1.1.1.1_terminal_mip.gurobi.log"
L0.0.1.0,LP,"OPTIMAL",0,16.2826,0.146,0.401163,0,1693,0,0.0296434,87f66d593f036645dfa634266e53e9bc8056ad2058704dd9a8f304decc491d91,"E:\codes\ExactEBRP\results\gf_paper_safe_gurobi_scheduling_round27\runs\sentinel__moderate_seed4301__c2_paper__60s\external\native_logs\L0.0.1.0_lp.gurobi.log"
L0.0.1.1,LP,"OPTIMAL",0,15.9874,0.155,0.427879,0,2038,0,0.0296434,1b3c3f8c8189993a8e9274f7e932a635dcf069f2bfb5cb440201540426ab9e51,"E:\codes\ExactEBRP\results\gf_paper_safe_gurobi_scheduling_round27\runs\sentinel__moderate_seed4301__c2_paper__60s\external\native_logs\L0.0.1.1_lp.gurobi.log"
L0.0.1.0.0,LP,"OPTIMAL",0,15.6841,0.163,0.443475,0,1751,0,0.0296434,eff761860988820aac3336a5ad3cbefe36f355a6cb1d2e4745b41eb5f6a78fd9,"E:\codes\ExactEBRP\results\gf_paper_safe_gurobi_scheduling_round27\runs\sentinel__moderate_seed4301__c2_paper__60s\external\native_logs\L0.0.1.0.0_lp.gurobi.log"
L0.0.1.0.1,LP,"OPTIMAL",0,15.3712,0.156,0.446298,0,1829,0,0.0296434,0b27a8ac83b1f3f2a22f773219d01425a84f3aa81f780e67a5137588c99e1803,"E:\codes\ExactEBRP\results\gf_paper_safe_gurobi_scheduling_round27\runs\sentinel__moderate_seed4301__c2_paper__60s\external\native_logs\L0.0.1.0.1_lp.gurobi.log"
L0.0.1.0.0.0,LP,"OPTIMAL",0,15.0686,0.137,0.380525,0,1546,0,0.0296434,6fa6039f7dbd0960357a6a58249a95031b45c71cf59f7205a2f1a91db9b2d39b,"E:\codes\ExactEBRP\results\gf_paper_safe_gurobi_scheduling_round27\runs\sentinel__moderate_seed4301__c2_paper__60s\external\native_logs\L0.0.1.0.0.0_lp.gurobi.log"
