event,source,generation,source_elapsed_seconds,content_sha256,duplicate,verifier_passed,published,objective,verification_seconds,reason
0,hga_initial_population_best,0,0.0591584,83609e67da96a7ffc75bb17c762dfcb6c6177855fa70f6a3b0f783f4add36a7b,0,1,1,1.1468122895584474,1.7e-05,published_monotone_verified_upper_bound
1,hga_initial_population_best,0,0.059206700000000001,5fb159e635f00a25865139cd60f67f995eb15c70f6800b26c511c558e9108726,0,1,1,0.91338790980178741,3.4000000000000001e-06,published_monotone_verified_upper_bound
2,hga_initial_population_best,0,0.059219399999999998,ad7ddad7cacb74320c8bd4a44e9307e462f3ca9322a0078f0bb1d97a293b6395,0,1,1,0.66947562063457711,3.3000000000000002e-06,published_monotone_verified_upper_bound
3,hga_initial_population_best,0,0.059232600000000003,86528370be0d2b29713130c354e17302d132f84e2c886f35fdd9a883a6deb96a,0,1,1,0.56488052339059769,3.7000000000000002e-06,published_monotone_verified_upper_bound
4,hga_strict_improvement,1,0.66503590000000001,4909994d5f1a62bac8f1cae8eddbd318d79e03a7b3be094d6cacdabf93f6db60,0,1,1,0.2530808263621287,8.4999999999999999e-06,published_monotone_verified_upper_bound
5,hga_strict_improvement,2,0.88628050000000003,78038fdd4628185e05483ffa51a39be1f4fae0c8b431fcc25c3e832a3b461f76,0,1,1,0.16393153877826236,7.9999999999999996e-06,published_monotone_verified_upper_bound
6,hga_strict_improvement,3,1.0558326,813cde0e7fc300291c4d78990190d964d1eb880ead394d5f7a5c4abeabee8f93,0,1,1,0.1261257152973467,7.9000000000000006e-06,published_monotone_verified_upper_bound
7,hga_strict_improvement,4,1.3963378,2822dded4fc1aaa4d8c7777a34e3754e80d4d39a34cf95e4c6afe7dc327b25ce,0,1,1,0.10853943385984716,9.0000000000000002e-06,published_monotone_verified_upper_bound
8,hga_strict_improvement,5,2.6006331,64f18621b49f5713f392cb47ee5ed3b77b8d965fd902d0809f391924a3ec78e8,0,1,1,0.053307544315466054,8.8999999999999995e-06,published_monotone_verified_upper_bound
9,hga_strict_improvement,6,2.7842666,bd9c37305850bccdf971a2f1c936f27eab3a87dc694068e58d05d6966e572ca8,0,1,1,0.02629860813638818,9.5999999999999996e-06,published_monotone_verified_upper_bound
10,hga_strict_improvement,9,3.5438907999999998,00c3cf4670a950d615f89ff27dd5fc05bbd15c7c0de2ff0d11622b54337161af,0,1,1,0.0053574428243513003,8.8999999999999995e-06,published_monotone_verified_upper_bound
11,hga_strict_improvement,10,3.6167766000000001,b93b22dedcde84770c1483e990cbfacb8ee5fbed36ec8989569a3a871819bd00,0,1,1,0,8.8999999999999995e-06,published_monotone_verified_upper_bound
