4
0 17
14 7 0
47 0 5
38 9 0
20 0 4
19 13 0
50 0 16
46 13 0
22 0 17
1 7 0
35 15 0
15 7 0
45 0 7
32 0 7
48 15 0
21 0 19
5 6 0
43 0 17
1 23
6 7 0
24 6 0
10 6 0
4 0 7
34 0 6
36 9 0
31 4 0
16 5 0
42 5 0
37 0 4
13 5 0
2 0 5
39 0 6
12 5 0
49 4 0
23 0 7
27 5 0
7 0 4
17 0 6
8 0 9
41 0 6
28 6 0
26 0 7
2 10
30 7 0
29 6 0
9 9 0
40 8 0
11 0 8
44 0 6
25 0 3
3 0 2
33 0 5
18 0 6
3 0
