source_csv,interval_id,gamma_L,gamma_U,status,certificate_basis,closure_source_class,bound_valid,best_bound,bound_used_for_merge,gap_to_cutoff,runtime_seconds
results\gf_compact_bc_effectiveness_round\raw\exact_high_imbalance_seed3201_300s.intervals.csv,0,0,0.2375,bound_fathomed,inventory_route_gini_relaxation_fathomed,relaxation_only,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_high_imbalance_seed3201_300s.intervals.csv,1,0.2375,0.475,replaced_by_children,unresolved,unresolved,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_high_imbalance_seed3201_300s.intervals.csv,2,0.475,0.7125,replaced_by_children,unresolved,unresolved,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_high_imbalance_seed3201_300s.intervals.csv,3,0.7125,0.95,bound_fathomed,inventory_route_gini_relaxation_fathomed,relaxation_only,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_high_imbalance_seed3201_300s.intervals.csv,4,0.2375,0.35625,bound_fathomed,inventory_route_gini_relaxation_fathomed,relaxation_only,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_high_imbalance_seed3201_300s.intervals.csv,5,0.35625,0.475,bound_fathomed,inventory_route_gini_relaxation_fathomed,relaxation_only,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_high_imbalance_seed3201_300s.intervals.csv,6,0.475,0.59375,unresolved,unresolved,unresolved,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_high_imbalance_seed3201_300s.intervals.csv,7,0.59375,0.7125,unresolved,unresolved,unresolved,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_high_imbalance_seed3201_300s.merged.intervals.csv,0,0,0.2375,bound_fathomed,inventory_route_gini_relaxation_fathomed,relaxation_only,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_high_imbalance_seed3201_300s.merged.intervals.csv,1,0.2375,0.475,replaced_by_children,unresolved,unresolved,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_high_imbalance_seed3201_300s.merged.intervals.csv,2,0.475,0.7125,replaced_by_children,unresolved,unresolved,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_high_imbalance_seed3201_300s.merged.intervals.csv,3,0.7125,0.95,bound_fathomed,inventory_route_gini_relaxation_fathomed,relaxation_only,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_high_imbalance_seed3201_300s.merged.intervals.csv,4,0.2375,0.35625,bound_fathomed,inventory_route_gini_relaxation_fathomed,relaxation_only,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_high_imbalance_seed3201_300s.merged.intervals.csv,5,0.35625,0.475,bound_fathomed,inventory_route_gini_relaxation_fathomed,relaxation_only,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_high_imbalance_seed3201_300s.merged.intervals.csv,6,0.475,0.59375,unresolved,unresolved,unresolved,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_high_imbalance_seed3201_300s.merged.intervals.csv,7,0.59375,0.7125,bound_fathomed,unresolved,invalid_or_unknown,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_high_imbalance_seed3202_1200s_static.intervals.csv,0,0,0.2375,bound_fathomed,inventory_route_gini_relaxation_fathomed,relaxation_only,true,,,,
results\gf_compact_bc_effectiveness_round\raw\exact_high_imbalance_seed3202_1200s_static.intervals.csv,1,0.2375,0.475,bound_fathomed,inventory_route_gini_relaxation_fathomed,relaxation_only,true,,,,
