source_csv,interval_id,gamma_L,gamma_U,compact_bc_called,compact_bc_runtime,compact_bc_nodes,compact_bc_solver_status,root_bound_before_cuts,root_bound_after_static_cuts,root_bound_after_dynamic_cuts,final_MIP_bound,bound_improvement,gap_to_cutoff_before,gap_to_cutoff_after,leaf_closed_by_compact_bc,leaf_timeout_reason,longer_budget_improved_bound,closure_source_class,cuts_added
results\gf_compact_bc_effectiveness_round\raw\exact_high_imbalance_seed3201_300s.intervals.csv,0,0,0.2375,False,0.0,,,,,,2.44340319194,2.44340319194,,0.0,False,,,relaxation_only,|||
results\gf_compact_bc_effectiveness_round\raw\exact_high_imbalance_seed3201_300s.intervals.csv,1,0.2375,0.475,False,0.0,,,,,,1.50460803,1.50460803,,0.0,False,,,unresolved,|||
results\gf_compact_bc_effectiveness_round\raw\exact_high_imbalance_seed3201_300s.intervals.csv,2,0.475,0.7125,False,0.0,,,,,,1.74210803,1.74210803,,0.0,False,,,unresolved,|||
results\gf_compact_bc_effectiveness_round\raw\exact_high_imbalance_seed3201_300s.intervals.csv,3,0.7125,0.95,False,0.0,,,,,,2.44340319194,2.44340319194,,0.0,False,,,relaxation_only,|||
results\gf_compact_bc_effectiveness_round\raw\exact_high_imbalance_seed3201_300s.intervals.csv,4,0.2375,0.35625,False,0.0,,,,,,2.44340319194,2.44340319194,,0.0,False,,,relaxation_only,|||
results\gf_compact_bc_effectiveness_round\raw\exact_high_imbalance_seed3201_300s.intervals.csv,5,0.35625,0.475,False,0.0,,,,,,2.44340319194,2.44340319194,,0.0,False,,,relaxation_only,|||
results\gf_compact_bc_effectiveness_round\raw\exact_high_imbalance_seed3201_300s.intervals.csv,6,0.475,0.59375,False,0.0,,,,,,1.74210803,1.74210803,,0.0,False,,,unresolved,|||
results\gf_compact_bc_effectiveness_round\raw\exact_high_imbalance_seed3201_300s.intervals.csv,7,0.59375,0.7125,False,0.0,,,,,,1.74210803,1.74210803,,0.0,False,,,unresolved,|||
results\gf_compact_bc_effectiveness_round\raw\exact_high_imbalance_seed3201_300s.merged.intervals.csv,0,0,0.2375,False,0.0,,,,,,2.44340319194,2.44340319194,,0.0,False,,False,relaxation_only,|||
results\gf_compact_bc_effectiveness_round\raw\exact_high_imbalance_seed3201_300s.merged.intervals.csv,1,0.2375,0.475,False,0.0,,,,,,1.50460803,1.50460803,,0.0,False,,False,unresolved,|||
