file,instance_name,method,status,objective,lower_bound,upper_bound,gap,runtime_seconds,time_budget_seconds,actual_runtime_seconds,nodes,cplex_threads,mip_threads,solver_thread_policy,thread_fairness_class,verifier_passed
results\gf_compact_bc_effectiveness_round\raw\cplex_high_imbalance_seed3201_1200s.json,high_imbalance_seed3201.txt,cplex,not_certified,2.44369311412,2.0475894187,2.44369311412,0.162092241915,1200.1122243,1200,1200.1122243,37039,1,1,plain_cplex_single_thread,one_thread_fair,True
results\gf_compact_bc_effectiveness_round\raw\cplex_high_imbalance_seed3201_300s.json,high_imbalance_seed3201.txt,cplex,not_certified,2.55478672027,1.9775993942,2.55478672027,0.225923879082,300.1054999,300,300.1054999,12753,1,1,plain_cplex_single_thread,one_thread_fair,True
results\gf_compact_bc_effectiveness_round\raw\cplex_high_imbalance_seed3202_300s.json,high_imbalance_seed3202.txt,cplex,not_certified,3.03088519537,1.0653727442,3.03088519537,0.648494523703,300.1035332,300,300.1035332,4585,1,1,plain_cplex_single_thread,one_thread_fair,True
results\gf_compact_bc_effectiveness_round\raw\cplex_moderate_seed3301_1200s.json,moderate_seed3301.txt,cplex,not_certified,0.0496566123632,0.040849762435,0.0496566123632,0.17735502905,1206.6191768,1200,1206.6191768,121802,1,1,plain_cplex_single_thread,one_thread_fair,True
results\gf_compact_bc_effectiveness_round\raw\cplex_moderate_seed3301_300s.json,moderate_seed3301.txt,cplex,not_certified,0.0727327782328,0.037866383531,0.0727327782328,0.479376638002,300.2176213,300,300.2176213,27029,1,1,plain_cplex_single_thread,one_thread_fair,True
results\gf_compact_bc_effectiveness_round\raw\cplex_moderate_seed3302_300s.json,moderate_seed3302.txt,cplex,not_certified,0.213397988698,0.1144912295,0.213397988698,0.463484964416,300.1051403,300,300.1051403,21311,1,1,plain_cplex_single_thread,one_thread_fair,True
results\gf_compact_bc_effectiveness_round\raw\cplex_tight_T_seed3101_300s.json,tight_T_seed3101.txt,cplex,not_certified,0.134365820425,0.015915009814,0.134365820425,0.881554626291,300.1022631,300,300.1022631,25785,1,1,plain_cplex_single_thread,one_thread_fair,True
results\gf_compact_bc_effectiveness_round\raw\cplex_tight_T_seed3102_300s.json,tight_T_seed3102.txt,cplex,not_certified,0.615378628222,0.46597690239,0.615378628222,0.242780166519,300.1087393,300,300.1087393,39235,1,1,plain_cplex_single_thread,one_thread_fair,True
results\gf_compact_bc_effectiveness_round\raw\cplex_V100_M5_high_imbalance_300s.json,V100_M5_high_imbalance_seed6201.txt,cplex,not_certified,10.2142649697,4.8324940135,10.2142649697,0.526887737115,300.9125498,300,300.9125498,440,1,1,plain_cplex_single_thread,one_thread_fair,True
results\gf_compact_bc_effectiveness_round\raw\cplex_V100_M5_moderate_300s.json,V100_M5_moderate_seed6101.txt,cplex,not_certified,1.56618529324,0.26390305929,1.56618529324,0.831499465338,300.8498008,300,300.8498008,956,1,1,plain_cplex_single_thread,one_thread_fair,True
results\gf_compact_bc_effectiveness_round\raw\cplex_V12_M1_300s.json,regen_candidate_V12_M1_average.txt,cplex,optimal,0.357200583208,0.357200583208,0.357200583208,0,183.9158656,300,183.9158656,143037,1,1,plain_cplex_single_thread,one_thread_fair,True
results\gf_compact_bc_effectiveness_round\raw\cplex_V12_M2_300s.json,regen_candidate_V12_M2_average.txt,cplex,not_certified,0.718504070755,0.6235216628,0.718504070755,0.132194669204,300.1066043,300,300.1066043,199277,1,1,plain_cplex_single_thread,one_thread_fair,True
results\gf_compact_bc_effectiveness_round\raw\cplex_V50_M3_high_imbalance_300s.json,V50_M3_high_imbalance_seed5201.txt,cplex,not_certified,4.68211852373,2.1860327089,4.68211852373,0.533110343572,300.2055502,300,300.2055502,836,1,1,plain_cplex_single_thread,one_thread_fair,True
results\gf_compact_bc_effectiveness_round\raw\cplex_V50_M3_moderate_300s.json,V50_M3_moderate_seed5101.txt,cplex,not_certified,1.37151140999,0.23958431171,1.37151140999,0.825313657644,300.2744371,300,300.2744371,1327,1,1,plain_cplex_single_thread,one_thread_fair,True
