interval_id,gamma_L,gamma_U,interval_lower_bound,incumbent_upper_bound,interval_status,reason,certificate_basis,requires_pricing_closure,pricing_closure_available,interval_bound_valid,interval_closure_source,interval_closure_source_detail,interval_requires_pricing_closure,interval_pricing_closure_satisfied,interval_oracle_used_for_certificate,interval_oracle_is_diagnostic_only,interval_relaxation_bound_valid,interval_bpc_tree_nodes,interval_bpc_pricing_calls,interval_bpc_exact_pricing_closed,interval_final_lb,interval_final_ub_cutoff,bpc_nodes,open_nodes,generated_columns,cuts,pricing_calls,pricing_time_seconds,rmp_solve_time_seconds,relaxation_time_seconds,lower_bound_source,lower_bound_sources,relaxation_portfolio_mode,relaxation_variants_tried,selected_relaxation_variant,selected_variant_reason,probe_time_seconds,variant_bound_improvement,best_variant_bound,variants_skipped_reason,oracle_bound_merged,oracle_bound_value,oracle_bound_status,oracle_bound_source_json,oracle_bound_solver_status,oracle_bound_model_type,oracle_bound_valid,lower_bound_before_oracle,lower_bound_after_oracle,lower_bound_improvement_by_oracle,leaf_closed_by_oracle_bound
0,0,0.150176109171,0.31574776659,0.600704436685,replaced_by_children,split_parent_replaced,unresolved,false,false,true,unresolved,split_parent_replaced,false,false,false,false,true,0,0,false,0.31574776659,0.600704436685,0,1,0,0,0,0,0,48.6527467,cheap_projection_bound,gamma_floor|cheap_projection_bound,fixed,,,,0,0,0,,,,,,,,,,,,
1,0.150176109171,0.300352218343,0.522097,0.600704436685,unresolved,tree_not_started_before_time_limit_or_reserve,unresolved,false,false,true,unresolved,interval_exact_cutoff_mip_timeout,false,true,false,true,true,0,0,false,0.522097,0.600704,0,1,0,0,0,0,0,45.8942887,interval_exact_oracle_bound,gamma_floor|cheap_projection_bound|interval_exact_oracle_bound,fixed,,,,0,0,0,,true,0.522097,interval_unresolved_timeout,results\gf_compact_bc_strengthening_round2\raw\tight_T_seed3102_300s_dynamic_auto_oracle\interval_1.json,time limit exceeded,original_compact_objective_bound,true,0.450176,0.522097,0.071921,false
2,0.300352218343,0.450528327514,0.600704436685,0.600704436685,bound_fathomed,inventory_route_gini_relaxation,inventory_route_gini_relaxation_fathomed,false,false,true,relaxation_bound,inventory_route_gini_relaxation,false,false,false,false,true,0,0,false,0.600704436685,0.600704436685,0,0,0,0,0,0,0,16.5922113,inventory_route_gini_relaxation,gamma_floor|cheap_projection_bound|inventory_route_gini_relaxation,fixed,,,,0,0,0,,,,,,,,,,,,
3,0.450528327514,0.600704436685,0.600704436685,0.600704436685,bound_fathomed,inventory_route_gini_relaxation,inventory_route_gini_relaxation_fathomed,false,false,true,relaxation_bound,inventory_route_gini_relaxation,false,false,false,false,true,0,0,false,0.600704436685,0.600704436685,0,0,0,0,0,0,0,0.0002789,inventory_route_gini_relaxation,gamma_floor|inventory_route_gini_relaxation,fixed,,,,0,0,0,,,,,,,,,,,,
4,0,0.0750880545856,0.600704436685,0.600704436685,bound_fathomed,inventory_route_gini_relaxation,inventory_route_gini_relaxation_fathomed,false,false,true,relaxation_bound,inventory_route_gini_relaxation,false,false,false,false,true,0,0,false,0.600704436685,0.600704436685,0,0,0,0,0,0,0,19.3712205,inventory_route_gini_relaxation,gamma_floor|adaptive_split_inherited_parent_lb|inventory_route_gini_relaxation,fixed,,,,0,0,0,,,,,,,,,,,,
5,0.0750880545856,0.150176109171,0.31574776659,0.600704436685,replaced_by_children,split_parent_replaced,unresolved,false,false,true,unresolved,split_parent_replaced,false,false,false,false,true,0,0,false,0.31574776659,0.600704436685,0,1,0,0,0,0,0,46.9012572,adaptive_split_inherited_parent_lb,gamma_floor|adaptive_split_inherited_parent_lb,fixed,,,,0,0,0,,,,,,,,,,,,
6,0.0750880545856,0.112632081878,0.600704436685,0.600704436685,bound_fathomed,inventory_route_gini_relaxation,inventory_route_gini_relaxation_fathomed,false,false,true,relaxation_bound,inventory_route_gini_relaxation,false,false,false,false,true,0,0,false,0.600704436685,0.600704436685,0,0,0,0,0,0,0,20.1454039,inventory_route_gini_relaxation,gamma_floor|adaptive_split_inherited_parent_lb|inventory_route_gini_relaxation,fixed,,,,0,0,0,,,,,,,,,,,,
7,0.112632081878,0.150176109171,0.31574776659,0.600704436685,replaced_by_children,split_parent_replaced,unresolved,false,false,true,unresolved,split_parent_replaced,false,false,false,false,true,0,0,false,0.31574776659,0.600704436685,0,1,0,0,0,0,0,46.5838349,adaptive_split_inherited_adaptive_split_inherited_parent_lb,gamma_floor|adaptive_split_inherited_parent_lb,fixed,,,,0,0,0,,,,,,,,,,,,
8,0.112632081878,0.131404095525,0.600704436685,0.600704436685,bound_fathomed,inventory_route_gini_relaxation,inventory_route_gini_relaxation_fathomed,false,false,true,relaxation_bound,inventory_route_gini_relaxation,false,false,false,false,true,0,0,false,0.600704436685,0.600704436685,0,0,0,0,0,0,0,19.861235,inventory_route_gini_relaxation,gamma_floor|adaptive_split_inherited_parent_lb|inventory_route_gini_relaxation,fixed,,,,0,0,0,,,,,,,,,,,,
9,0.131404095525,0.150176109171,0.537581,0.600704436685,unresolved,tree_not_started_before_time_limit_or_reserve,unresolved,false,false,true,unresolved,interval_exact_cutoff_mip_timeout,false,true,false,true,true,0,0,false,0.537581,0.600704,0,1,0,0,0,0,0,19.6538518,interval_exact_oracle_bound,gamma_floor|adaptive_split_inherited_parent_lb|interval_exact_oracle_bound,fixed,,,,0,0,0,,true,0.537581,interval_unresolved_timeout,results\gf_compact_bc_strengthening_round2\raw\tight_T_seed3102_300s_dynamic_auto_oracle\interval_9.json,time limit exceeded,original_compact_objective_bound,true,0.315748,0.537581,0.221833,false
