run_id,stage,instance,arm,flow_variant,root_model_rows,root_model_columns,root_model_nonzeros,flow_columns,flow_upper_link_rows,flow_lower_link_rows,flow_station_balance_rows,flow_depot_balance_rows,flow_start_upper_rows,flow_start_lower_rows,flow_total_rows,flow_total_nonzeros,presolve_eliminated_rows_total,presolve_eliminated_columns_total,reduced_model_rows,reduced_model_columns,reduced_model_nonzeros,root_lp_time_seconds,root_uncut_relaxation,post_root_cut_relaxation,native_cut_counts
stage1__tight_T_seed3101__f0__300s,stage1,tight_T_seed3101,F0,round20-current,11939,3382,67170,1260,1260,0,60,3,0,0,1323,5160,3376,152,10151,3266,59535,0.39,0.0029,0.0146,cover=9|gub_cover=5|flow_cover=207|clique=0|fractional=4|mir=40|flow_path=0|disjunctive=0|implied_bound=376|zero_half=19|multi_commodity_flow=0|local_cover=0|tightening=0|objective_disjunctive=0|lift_and_project=0|user=0|table=0|solution_pool=0|local_implied_bound=0|bqp=0|rlt=0|benders=0
stage1__tight_T_seed3101__f1__300s,stage1,tight_T_seed3101,F1,zero-return,11879,3322,66930,1200,1200,0,60,3,0,0,1263,4920,3372,148,10093,3208,59308,0.44,0.0029,0.015,cover=10|gub_cover=5|flow_cover=209|clique=0|fractional=4|mir=33|flow_path=0|disjunctive=0|implied_bound=310|zero_half=15|multi_commodity_flow=0|local_cover=0|tightening=0|objective_disjunctive=0|lift_and_project=0|user=0|table=0|solution_pool=0|local_implied_bound=0|bqp=0|rlt=0|benders=0
stage1__tight_T_seed3101__f2__300s,stage1,tight_T_seed3101,F2,normalized,13079,3322,69330,1200,1200,1200,60,3,0,0,2463,7320,3404,156,11277,3204,61658,0.8,0.0029,0.015,cover=3|gub_cover=5|flow_cover=88|clique=0|fractional=4|mir=34|flow_path=0|disjunctive=0|implied_bound=249|zero_half=22|multi_commodity_flow=0|local_cover=0|tightening=0|objective_disjunctive=0|lift_and_project=0|user=0|table=0|solution_pool=0|local_implied_bound=0|bqp=0|rlt=0|benders=0
stage1__tight_T_seed3101__f3__300s,stage1,tight_T_seed3101,F3,normalized-start-coupled,13199,3322,71910,1200,1200,1200,60,3,60,60,2583,9900,3416,156,11391,3204,64052,0.75,0.0029,0.0143,cover=6|gub_cover=7|flow_cover=104|clique=0|fractional=1|mir=30|flow_path=0|disjunctive=0|implied_bound=215|zero_half=33|multi_commodity_flow=0|local_cover=0|tightening=0|objective_disjunctive=0|lift_and_project=0|user=0|table=0|solution_pool=0|local_implied_bound=0|bqp=0|rlt=0|benders=0
stage1__tight_T_seed3101__off__300s,stage1,tight_T_seed3101,off,off,10616,2122,62010,0,0,0,0,0,0,0,0,0,3362,130,8835,2017,54411,0.11,0.001,0.0063,cover=27|gub_cover=0|flow_cover=15|clique=0|fractional=11|mir=27|flow_path=0|disjunctive=0|implied_bound=456|zero_half=23|multi_commodity_flow=0|local_cover=0|tightening=0|objective_disjunctive=0|lift_and_project=0|user=0|table=0|solution_pool=0|local_implied_bound=0|bqp=0|rlt=0|benders=0
stage1__V12_M2__f0__300s,stage1,V12_M2,F0,round20-current,11351,1032,113440,312,312,0,24,2,0,0,338,1296,2472,12,10070,1005,107234,0.22,0.3422,0.3788,cover=21|gub_cover=4|flow_cover=116|clique=18|fractional=2|mir=27|flow_path=0|disjunctive=0|implied_bound=366|zero_half=2|multi_commodity_flow=0|local_cover=0|tightening=0|objective_disjunctive=0|lift_and_project=0|user=0|table=0|solution_pool=0|local_implied_bound=0|bqp=0|rlt=0|benders=0
stage1__V12_M2__f1__300s,stage1,V12_M2,F1,zero-return,11327,1008,113344,288,288,0,24,2,0,0,314,1200,2472,12,10046,981,107138,0.2,0.3422,0.3758,cover=23|gub_cover=4|flow_cover=121|clique=14|fractional=2|mir=30|flow_path=0|disjunctive=0|implied_bound=334|zero_half=0|multi_commodity_flow=0|local_cover=0|tightening=0|objective_disjunctive=0|lift_and_project=0|user=0|table=0|solution_pool=0|local_implied_bound=0|bqp=0|rlt=0|benders=0
stage1__V12_M2__f2__300s,stage1,V12_M2,F2,normalized,11615,1008,113920,288,288,288,24,2,0,0,602,1776,2472,12,10334,981,107714,0.2,0.3423,0.3793,cover=21|gub_cover=2|flow_cover=52|clique=13|fractional=3|mir=35|flow_path=0|disjunctive=0|implied_bound=306|zero_half=1|multi_commodity_flow=0|local_cover=0|tightening=0|objective_disjunctive=0|lift_and_project=0|user=0|table=0|solution_pool=0|local_implied_bound=0|bqp=0|rlt=0|benders=0
stage1__V12_M2__f3__300s,stage1,V12_M2,F3,normalized-start-coupled,11663,1008,114568,288,288,288,24,2,24,24,650,2424,2472,12,10382,981,108338,0.23,0.3423,0.3782,cover=19|gub_cover=2|flow_cover=46|clique=13|fractional=3|mir=29|flow_path=0|disjunctive=0|implied_bound=288|zero_half=2|multi_commodity_flow=0|local_cover=0|tightening=0|objective_disjunctive=0|lift_and_project=0|user=0|table=0|solution_pool=0|local_implied_bound=0|bqp=0|rlt=0|benders=0
stage1__V12_M2__off__300s,stage1,V12_M2,off,off,11013,720,112144,0,0,0,0,0,0,0,0,0,2472,12,9732,693,105938,0.11,0.3422,0.3715,cover=19|gub_cover=0|flow_cover=24|clique=20|fractional=3|mir=28|flow_path=0|disjunctive=0|implied_bound=381|zero_half=0|multi_commodity_flow=0|local_cover=0|tightening=0|objective_disjunctive=0|lift_and_project=0|user=0|table=0|solution_pool=0|local_implied_bound=0|bqp=0|rlt=0|benders=0
