run_id,stage,instance,arm,flow_variant,time_to_gap_20pct_seconds,gap_20pct_observation,time_to_gap_10pct_seconds,gap_10pct_observation,time_to_gap_5pct_seconds,gap_5pct_observation,time_to_gap_1pct_seconds,gap_1pct_observation,time_to_gap_0_seconds,gap_0_observation
stage0__high_imbalance_seed3202__f2__30s,stage0,high_imbalance_seed3202,F2,normalized,7.2264263,observed,8.0029971,observed,,not_observed,,not_observed,,not_observed
stage0__moderate_seed3301__f2__30s,stage0,moderate_seed3301,F2,normalized,0.017507,observed,0.017507,observed,0.017507,observed,,not_observed,,not_observed
stage0__round21_toy_V2_M1__f0__30s,stage0,round21_toy_V2_M1,F0,round20-current,0.0011001,observed,0.0011001,observed,0.0011001,observed,0.0011001,observed,0.0011001,observed
stage0__round21_toy_V2_M1__f1__30s,stage0,round21_toy_V2_M1,F1,zero-return,0.0012772,observed,0.0012772,observed,0.0012772,observed,0.0012772,observed,0.0012772,observed
stage0__round21_toy_V2_M1__f2__30s,stage0,round21_toy_V2_M1,F2,normalized,0.0011969,observed,0.0011969,observed,0.0011969,observed,0.0011969,observed,0.0011969,observed
stage0__round21_toy_V2_M1__f3__30s,stage0,round21_toy_V2_M1,F3,normalized-start-coupled,0.0015734,observed,0.0015734,observed,0.0015734,observed,0.0015734,observed,0.0015734,observed
stage0__round21_toy_V2_M1__off__30s,stage0,round21_toy_V2_M1,off,off,0.0014827,observed,0.0014827,observed,0.0014827,observed,0.0014827,observed,0.0014827,observed
stage0__tight_T_seed3101__f2__30s,stage0,tight_T_seed3101,F2,normalized,0.0174264,observed,6.8208015,observed,,not_observed,,not_observed,,not_observed
stage0__V12_M1__f2__30s,stage0,V12_M1,F2,normalized,1.9863898,observed,14.899257,observed,14.899257,observed,,not_observed,,not_observed
stage0__V12_M2__f2__30s,stage0,V12_M2,F2,normalized,13.8578879,observed,13.8578879,observed,,not_observed,,not_observed,,not_observed
stage1__high_imbalance_seed3202__f0__300s,stage1,high_imbalance_seed3202,F0,round20-current,7.1484179,observed,274.0458059,observed,274.0458059,observed,,not_observed,,not_observed
stage1__high_imbalance_seed3202__f1__300s,stage1,high_imbalance_seed3202,F1,zero-return,7.4943457,observed,274.0072804,observed,274.0072804,observed,,not_observed,,not_observed
stage1__high_imbalance_seed3202__f2__300s,stage1,high_imbalance_seed3202,F2,normalized,7.1834573,observed,273.9954292,observed,273.9954292,observed,,not_observed,,not_observed
stage1__high_imbalance_seed3202__f3__300s,stage1,high_imbalance_seed3202,F3,normalized-start-coupled,5.994671,observed,274.015444,observed,274.015444,observed,,not_observed,,not_observed
stage1__high_imbalance_seed3202__off__300s,stage1,high_imbalance_seed3202,off,off,273.9959108,observed,273.9959108,observed,,not_observed,,not_observed,,not_observed
stage1__moderate_seed3301__f0__300s,stage1,moderate_seed3301,F0,round20-current,0.0177845,observed,0.0177845,observed,0.0177845,observed,274.0027606,observed,,not_observed
stage1__moderate_seed3301__f1__300s,stage1,moderate_seed3301,F1,zero-return,0.0173508,observed,0.0173508,observed,0.0173508,observed,273.9926895,observed,,not_observed
stage1__moderate_seed3301__f2__300s,stage1,moderate_seed3301,F2,normalized,0.0174428,observed,0.0174428,observed,0.0174428,observed,273.9947614,observed,,not_observed
stage1__moderate_seed3301__f3__300s,stage1,moderate_seed3301,F3,normalized-start-coupled,0.0181039,observed,0.0181039,observed,0.0181039,observed,273.9969108,observed,,not_observed
stage1__moderate_seed3301__off__300s,stage1,moderate_seed3301,off,off,0.0173384,observed,0.0173384,observed,0.0173384,observed,274.020329,observed,,not_observed
stage1__moderate_seed3302__f0__300s,stage1,moderate_seed3302,F0,round20-current,0.0171941,observed,6.2167117,observed,,not_observed,,not_observed,,not_observed
stage1__moderate_seed3302__f1__300s,stage1,moderate_seed3302,F1,zero-return,0.017419,observed,6.2616405,observed,,not_observed,,not_observed,,not_observed
stage1__moderate_seed3302__f2__300s,stage1,moderate_seed3302,F2,normalized,0.017172,observed,7.4322451,observed,,not_observed,,not_observed,,not_observed
stage1__moderate_seed3302__f3__300s,stage1,moderate_seed3302,F3,normalized-start-coupled,0.0179969,observed,7.3594237,observed,,not_observed,,not_observed,,not_observed
stage1__moderate_seed3302__off__300s,stage1,moderate_seed3302,off,off,0.0172811,observed,2.3580426,observed,,not_observed,,not_observed,,not_observed
stage1__tight_T_seed3101__f0__300s,stage1,tight_T_seed3101,F0,round20-current,0.0172455,observed,4.7308919,observed,,not_observed,,not_observed,,not_observed
stage1__tight_T_seed3101__f1__300s,stage1,tight_T_seed3101,F1,zero-return,0.0169771,observed,5.5099932,observed,,not_observed,,not_observed,,not_observed
stage1__tight_T_seed3101__f2__300s,stage1,tight_T_seed3101,F2,normalized,0.0176395,observed,6.8637537,observed,,not_observed,,not_observed,,not_observed
stage1__tight_T_seed3101__f3__300s,stage1,tight_T_seed3101,F3,normalized-start-coupled,0.0173303,observed,6.8245701,observed,,not_observed,,not_observed,,not_observed
stage1__tight_T_seed3101__off__300s,stage1,tight_T_seed3101,off,off,0.0169287,observed,274.0160034,observed,,not_observed,,not_observed,,not_observed
stage1__V12_M2__f0__300s,stage1,V12_M2,F0,round20-current,264.5037386,observed,264.5037386,observed,264.5037386,observed,264.5037386,observed,,not_observed
stage1__V12_M2__f1__300s,stage1,V12_M2,F1,zero-return,238.1589945,observed,238.1589945,observed,238.1589945,observed,238.1589945,observed,,not_observed
stage1__V12_M2__f2__300s,stage1,V12_M2,F2,normalized,279.7268558,observed,279.7268558,observed,279.7268558,observed,279.7268558,observed,,not_observed
stage1__V12_M2__f3__300s,stage1,V12_M2,F3,normalized-start-coupled,279.7999996,observed,279.7999996,observed,279.7999996,observed,,not_observed,,not_observed
stage1__V12_M2__off__300s,stage1,V12_M2,off,off,279.7071216,observed,279.7071216,observed,279.7071216,observed,,not_observed,,not_observed
stage2__high_imbalance_seed3201__f0__900s,stage2,high_imbalance_seed3201,F0,round20-current,6.6593213,observed,862.0742697,observed,862.0742697,observed,,not_observed,,not_observed
stage2__high_imbalance_seed3201__f3__900s,stage2,high_imbalance_seed3201,F3,normalized-start-coupled,6.0749263,observed,862.0644486,observed,862.0644486,observed,,not_observed,,not_observed
stage2__high_imbalance_seed3201__plain__900s,stage2,high_imbalance_seed3201,plain,plain,882.0456285,observed,,not_observed,,not_observed,,not_observed,,not_observed
stage2__high_imbalance_seed3202__f0__900s,stage2,high_imbalance_seed3202,F0,round20-current,7.1471265,observed,861.9919176,observed,861.9919176,observed,,not_observed,,not_observed
stage2__high_imbalance_seed3202__f3__900s,stage2,high_imbalance_seed3202,F3,normalized-start-coupled,6.0172402,observed,861.9999778,observed,861.9999778,observed,,not_observed,,not_observed
stage2__high_imbalance_seed3202__plain__900s,stage2,high_imbalance_seed3202,plain,plain,,not_observed,,not_observed,,not_observed,,not_observed,,not_observed
stage2__moderate_seed3301__f0__900s,stage2,moderate_seed3301,F0,round20-current,0.0167978,observed,0.0167978,observed,0.0167978,observed,862.0042273,observed,,not_observed
stage2__moderate_seed3301__f3__900s,stage2,moderate_seed3301,F3,normalized-start-coupled,0.0178581,observed,0.0178581,observed,0.0178581,observed,861.9703688,observed,,not_observed
stage2__moderate_seed3301__plain__900s,stage2,moderate_seed3301,plain,plain,900.3179934,observed,900.3179934,observed,900.3179934,observed,,not_observed,,not_observed
stage2__moderate_seed3302__f0__900s,stage2,moderate_seed3302,F0,round20-current,0.016936,observed,6.1920556,observed,,not_observed,,not_observed,,not_observed
stage2__moderate_seed3302__f3__900s,stage2,moderate_seed3302,F3,normalized-start-coupled,0.0173574,observed,7.3559665,observed,,not_observed,,not_observed,,not_observed
stage2__moderate_seed3302__plain__900s,stage2,moderate_seed3302,plain,plain,902.5681553,observed,902.5681553,observed,,not_observed,,not_observed,,not_observed
stage2__tight_T_seed3101__f0__900s,stage2,tight_T_seed3101,F0,round20-current,0.0169343,observed,4.6749689,observed,,not_observed,,not_observed,,not_observed
stage2__tight_T_seed3101__f3__900s,stage2,tight_T_seed3101,F3,normalized-start-coupled,0.0181812,observed,6.8570905,observed,,not_observed,,not_observed,,not_observed
stage2__tight_T_seed3101__plain__900s,stage2,tight_T_seed3101,plain,plain,882.1023185,observed,,not_observed,,not_observed,,not_observed,,not_observed
stage2__tight_T_seed3102__f0__900s,stage2,tight_T_seed3102,F0,round20-current,4.8995231,observed,862.0022875,observed,862.0022875,observed,,not_observed,,not_observed
stage2__tight_T_seed3102__f3__900s,stage2,tight_T_seed3102,F3,normalized-start-coupled,5.1921866,observed,861.9999699,observed,861.9999699,observed,,not_observed,,not_observed
stage2__tight_T_seed3102__plain__900s,stage2,tight_T_seed3102,plain,plain,,not_observed,,not_observed,,not_observed,,not_observed,,not_observed
stage2__V12_M1__f0__900s,stage2,V12_M1,F0,round20-current,1.8246386,observed,75.4965956,observed,75.4965956,observed,75.4965956,observed,109.8844347,observed
stage2__V12_M1__f3__900s,stage2,V12_M1,F3,normalized-start-coupled,1.9820393,observed,86.3266658,observed,86.3266658,observed,86.3266658,observed,,not_observed
stage2__V12_M1__plain__900s,stage2,V12_M1,plain,plain,618.7442733,observed,618.7442733,observed,618.7442733,observed,618.7442733,observed,618.7442733,observed
stage2__V12_M2__f0__900s,stage2,V12_M2,F0,round20-current,263.9098438,observed,263.9098438,observed,263.9098438,observed,263.9098438,observed,,not_observed
stage2__V12_M2__f3__900s,stage2,V12_M2,F3,normalized-start-coupled,651.1607663,observed,651.1607663,observed,651.1607663,observed,651.1607663,observed,691.0976766,observed
stage2__V12_M2__plain__900s,stage2,V12_M2,plain,plain,882.2007429,observed,,not_observed,,not_observed,,not_observed,,not_observed
stage3__high_imbalance_seed3202__f0__1800s,stage3,high_imbalance_seed3202,F0,round20-current,7.0683801,observed,1750.1383636,observed,1750.1383636,observed,,not_observed,,not_observed
stage3__high_imbalance_seed3202__f3__1800s,stage3,high_imbalance_seed3202,F3,normalized-start-coupled,5.9719621,observed,1750.0037583,observed,1750.0037583,observed,,not_observed,,not_observed
stage3__high_imbalance_seed3202__plain__1800s,stage3,high_imbalance_seed3202,plain,plain,,not_observed,,not_observed,,not_observed,,not_observed,,not_observed
stage3__moderate_seed3301__f0__1800s,stage3,moderate_seed3301,F0,round20-current,0.0174635,observed,0.0174635,observed,0.0174635,observed,1750.6050702,observed,,not_observed
stage3__moderate_seed3301__f3__1800s,stage3,moderate_seed3301,F3,normalized-start-coupled,0.0166084,observed,0.0166084,observed,0.0166084,observed,1750.2063748,observed,,not_observed
stage3__moderate_seed3301__plain__1800s,stage3,moderate_seed3301,plain,plain,1800.5962741,observed,1800.5962741,observed,1800.5962741,observed,,not_observed,,not_observed
stage3__moderate_seed3302__f0__1800s,stage3,moderate_seed3302,F0,round20-current,0.019017,observed,6.2181952,observed,,not_observed,,not_observed,,not_observed
stage3__moderate_seed3302__f3__1800s,stage3,moderate_seed3302,F3,normalized-start-coupled,0.0174512,observed,7.319682,observed,1751.2412328,observed,,not_observed,,not_observed
stage3__moderate_seed3302__plain__1800s,stage3,moderate_seed3302,plain,plain,1802.365309,observed,,not_observed,,not_observed,,not_observed,,not_observed
stage3__tight_T_seed3101__f0__1800s,stage3,tight_T_seed3101,F0,round20-current,0.0179571,observed,4.6924635,observed,,not_observed,,not_observed,,not_observed
stage3__tight_T_seed3101__f3__1800s,stage3,tight_T_seed3101,F3,normalized-start-coupled,0.0184316,observed,6.7923515,observed,,not_observed,,not_observed,,not_observed
