run_id,stage,instance,arm,flow_variant,native_status_code,native_status_text,status_code_text_consistent,strict_certificate_class,strict_certified_original_problem,native_objective_return_code,native_objective_available,native_objective,native_best_bound_return_code,native_best_bound_available,native_best_bound,verified_incumbent_objective,native_absolute_gap,native_signed_bound_residual,native_bound_inversion,native_project_relative_gap_max1,native_cplex_relative_gap,verified_absolute_gap,verified_signed_bound_residual,verified_bound_inversion,verified_project_relative_gap_max1,serialized_lower_bound,serialized_upper_bound,serialized_gap,relative_gap_parameter_id,relative_gap_requested,relative_gap_set_return_code,relative_gap_get_return_code,relative_gap_effective,absolute_gap_parameter_id,absolute_gap_requested,absolute_gap_set_return_code,absolute_gap_get_return_code,absolute_gap_effective,node_count,open_node_count,solution_count,solver_finalization_reached,lifecycle_valid,lower_bound_matches_native,serialized_gap_consistent
stage0__high_imbalance_seed3202__f2__30s,stage0,high_imbalance_seed3202,F2,normalized,108,"time limit exceeded, no integer solution",True,time_limit_valid_bound,False,1217,False,,0,True,1.6375586386187162,1.7493134520506337,,,False,,,0.11175481343191751,0.11175481343191751,False,0.06388495629580443,1.6375586386187162,1.7493134520506337,0.06388495629580443,2009,0,0,0,0,2008,0,0,0,0,3,4,0,True,True,True,True
stage0__moderate_seed3301__f2__30s,stage0,moderate_seed3301,F2,normalized,108,"time limit exceeded, no integer solution",True,time_limit_valid_bound,False,1217,False,,0,True,0.03477256138277038,0.04915255266474515,,,False,,,0.014379991281974772,0.014379991281974772,False,0.29255838206524876,0.03477256138277038,0.04915255266474515,0.29255838206524876,2009,0,0,0,0,2008,0,0,0,0,12,11,0,True,True,True,True
stage0__round21_toy_V2_M1__f0__30s,stage0,round21_toy_V2_M1,F0,round20-current,101,integer optimal solution,True,native_exact_optimal,True,0,True,0,0,True,0,0,0,0,False,0,0,0,0,False,0,0,0,0,2009,0,0,0,0,2008,0,0,0,0,0,0,1,True,True,True,True
stage0__round21_toy_V2_M1__f1__30s,stage0,round21_toy_V2_M1,F1,zero-return,101,integer optimal solution,True,native_exact_optimal,True,0,True,0,0,True,0,0,0,0,False,0,0,0,0,False,0,0,0,0,2009,0,0,0,0,2008,0,0,0,0,0,0,1,True,True,True,True
stage0__round21_toy_V2_M1__f2__30s,stage0,round21_toy_V2_M1,F2,normalized,101,integer optimal solution,True,native_exact_optimal,True,0,True,0,0,True,0,0,0,0,False,0,0,0,0,False,0,0,0,0,2009,0,0,0,0,2008,0,0,0,0,0,0,1,True,True,True,True
stage0__round21_toy_V2_M1__f3__30s,stage0,round21_toy_V2_M1,F3,normalized-start-coupled,101,integer optimal solution,True,native_exact_optimal,True,0,True,0,0,True,0,0,0,0,False,0,0,0,0,False,0,0,0,0,2009,0,0,0,0,2008,0,0,0,0,0,0,1,True,True,True,True
stage0__round21_toy_V2_M1__off__30s,stage0,round21_toy_V2_M1,off,off,101,integer optimal solution,True,native_exact_optimal,True,0,True,0,0,True,0,0,0,0,False,0,0,0,0,False,0,0,0,0,2009,0,0,0,0,2008,0,0,0,0,0,0,1,True,True,True,True
stage0__tight_T_seed3101__f2__30s,stage0,tight_T_seed3101,F2,normalized,108,"time limit exceeded, no integer solution",True,time_limit_valid_bound,False,1217,False,,0,True,0.014983326841413735,0.10725273413394144,,,False,,,0.09226940729252771,0.09226940729252771,False,0.860298882239198,0.014983326841413735,0.10725273413394144,0.860298882239198,2009,0,0,0,0,2008,0,0,0,0,4,5,0,True,True,True,True
stage0__V12_M1__f2__30s,stage0,V12_M1,F2,normalized,108,"time limit exceeded, no integer solution",True,time_limit_valid_bound,False,1217,False,,0,True,0.3296291876604862,0.3572005832084155,,,False,,,0.02757139554792931,0.02757139554792931,False,0.07718743149935522,0.3296291876604862,0.3572005832084155,0.07718743149935522,2009,0,0,0,0,2008,0,0,0,0,907,294,0,True,True,True,True
stage0__V12_M2__f2__30s,stage0,V12_M2,F2,normalized,108,"time limit exceeded, no integer solution",True,time_limit_valid_bound,False,1217,False,,0,True,0.665310725051327,0.7185040707549709,,,False,,,0.05319334570364387,0.05319334570364387,False,0.07403346462289456,0.665310725051327,0.7185040707549709,0.07403346462289456,2009,0,0,0,0,2008,0,0,0,0,359,118,0,True,True,True,True
