run_id,stage,instance,instance_class,arm,flow_variant,nominal_process_wall_seconds,native_time_limit_seconds,finalization_reserve_seconds,actual_runtime_seconds,final_process_wall_time_seconds,solver_status,native_status_code,native_status_text,strict_certificate_class,strict_certified_original_problem,strict_rejection_reason,native_objective,native_best_bound,verified_incumbent_objective,serialized_lower_bound,serialized_upper_bound,serialized_gap,native_absolute_gap,native_signed_bound_residual,native_bound_inversion,native_project_relative_gap,native_cplex_relative_gap,verified_absolute_gap,verified_signed_bound_residual,verified_bound_inversion,verified_project_relative_gap,nodes_processed,open_nodes,native_solution_count,simplex_iterations,simplex_iterations_per_processed_node,nodes_per_second,time_to_first_gini_branch,gini_branch_count,ordinary_branch_count,maximum_gini_sibling_delay,native_cut_counts,root_model_rows,root_model_columns,root_model_nonzeros,first_valid_lb_improvement_seconds,last_valid_lb_improvement_seconds,bound_trajectory_path,executable_sha256,root_uncut_relaxation,post_root_cut_relaxation,root_lp_time_seconds,root_completion_elapsed_seconds,maximum_tree_memory_mb,reduced_model_rows,reduced_model_columns,reduced_model_nonzeros,presolve_eliminated_rows_total,presolve_eliminated_columns_total,branch_and_cut_time_seconds
stage1__high_imbalance_seed3202__f0__300s,stage1,high_imbalance_seed3202,V20-control,F0,round20-current,300,294.0,6.0,294.1999922,294.2047084,global_gini_tree_time_limit,108,"time limit exceeded, no integer solution",time_limit_valid_bound,False,none,,1.6881250884079226,1.7493134520506337,1.6881250884079226,1.7493134520506337,0.034978501749347995,,,False,,,0.061188363642711074,0.061188363642711074,False,0.034978501749347995,2244,1267,0,1212329,540.2535650623886,7.627464512216938,7.2353854,70,1687,166.6989155,cover=19|gub_cover=5|flow_cover=251|clique=1|fractional=0|mir=38|flow_path=0|disjunctive=0|implied_bound=527|zero_half=30|multi_commodity_flow=0|local_cover=0|tightening=0|objective_disjunctive=0|lift_and_project=0|user=0|table=0|solution_pool=0|local_implied_bound=0|bqp=0|rlt=0|benders=0,11895,3370,66704,0.0132133,274.0458059,results/gf_global_gini_tree_strict_flow_round/runs/stage1__high_imbalance_seed3202__f0__300s/global_bound_trajectory.csv,dfd67bcf4e4dd19cf7096bf5fa16c100d5a6ccefd3bb6df8a30547de39f7136a,1.3017,1.4488,0.28,7.22,137.79,9441,3310,48232,4746,66,286.97999219999997
stage1__high_imbalance_seed3202__f1__300s,stage1,high_imbalance_seed3202,V20-control,F1,zero-return,300,294.0,6.0,294.1557768,294.1588009,global_gini_tree_time_limit,108,"time limit exceeded, no integer solution",time_limit_valid_bound,False,none,,1.6860823579339603,1.7493134520506337,1.6860823579339603,1.7493134520506337,0.03614623442273922,,,False,,,0.06323109411667338,0.06323109411667338,False,0.03614623442273922,2116,1178,0,1198861,566.5694706994329,7.193467430825584,7.5814404,59,1589,177.8635732,cover=23|gub_cover=4|flow_cover=222|clique=1|fractional=0|mir=48|flow_path=0|disjunctive=0|implied_bound=467|zero_half=17|multi_commodity_flow=0|local_cover=0|tightening=0|objective_disjunctive=0|lift_and_project=0|user=0|table=0|solution_pool=0|local_implied_bound=0|bqp=0|rlt=0|benders=0,11835,3310,66464,0.0129055,274.0072804,results/gf_global_gini_tree_strict_flow_round/runs/stage1__high_imbalance_seed3202__f1__300s/global_bound_trajectory.csv,dfd67bcf4e4dd19cf7096bf5fa16c100d5a6ccefd3bb6df8a30547de39f7136a,1.3017,1.4371,0.22,7.58,143.03,9381,3250,47992,4746,66,286.5757768
stage1__high_imbalance_seed3202__f2__300s,stage1,high_imbalance_seed3202,V20-control,F2,normalized,300,294.0,6.0,294.1586375,294.1618701,global_gini_tree_time_limit,108,"time limit exceeded, no integer solution",time_limit_valid_bound,False,none,,1.6738107586650117,1.7493134520506337,1.6738107586650117,1.7493134520506337,0.04316132897572697,,,False,,,0.07550269338562199,0.07550269338562199,False,0.04316132897572697,2259,1278,0,1072956,474.9694555112882,7.67952972314131,7.278845,66,1704,232.4984752,cover=15|gub_cover=7|flow_cover=84|clique=1|fractional=0|mir=46|flow_path=0|disjunctive=0|implied_bound=456|zero_half=24|multi_commodity_flow=0|local_cover=0|tightening=0|objective_disjunctive=0|lift_and_project=0|user=0|table=0|solution_pool=0|local_implied_bound=0|bqp=0|rlt=0|benders=0,13035,3310,68864,0.0128424,273.9954292,results/gf_global_gini_tree_strict_flow_round/runs/stage1__high_imbalance_seed3202__f2__300s/global_bound_trajectory.csv,dfd67bcf4e4dd19cf7096bf5fa16c100d5a6ccefd3bb6df8a30547de39f7136a,1.3018,1.4325,0.36,7.27,132.01,10578,3250,50386,4752,66,286.8886375
stage1__high_imbalance_seed3202__f3__300s,stage1,high_imbalance_seed3202,V20-control,F3,normalized-start-coupled,300,294.0,6.0,294.1647768,294.1739357,global_gini_tree_time_limit,108,"time limit exceeded, no integer solution",time_limit_valid_bound,False,none,,1.6751697063447066,1.7493134520506337,1.6751697063447066,1.7493134520506337,0.04238448267748243,,,False,,,0.07414374570592708,0.07414374570592708,False,0.04238448267748243,2110,1229,0,1095525,519.2061611374407,7.172850614383957,6.090779,58,1616,235.2857184,cover=18|gub_cover=4|flow_cover=86|clique=1|fractional=0|mir=38|flow_path=0|disjunctive=0|implied_bound=437|zero_half=22|multi_commodity_flow=0|local_cover=0|tightening=0|objective_disjunctive=0|lift_and_project=0|user=0|table=0|solution_pool=0|local_implied_bound=0|bqp=0|rlt=0|benders=0,13155,3310,71444,0.0128534,274.015444,results/gf_global_gini_tree_strict_flow_round/runs/stage1__high_imbalance_seed3202__f3__300s/global_bound_trajectory.csv,dfd67bcf4e4dd19cf7096bf5fa16c100d5a6ccefd3bb6df8a30547de39f7136a,1.3018,1.4313,0.44,6.08,132.77,10585,3250,51478,5026,66,288.08477680000004
stage1__high_imbalance_seed3202__off__300s,stage1,high_imbalance_seed3202,V20-control,off,off,300,294.0,6.0,294.1540148,294.1577334,global_gini_tree_time_limit,108,"time limit exceeded, no integer solution",time_limit_valid_bound,False,none,,1.6127502863734695,1.7493134520506337,1.6127502863734695,1.7493134520506337,0.07806672127118096,,,False,,,0.1365631656771642,0.1365631656771642,False,0.07806672127118096,3040,1587,0,1044081,343.4476973684211,10.334722108304197,4.1006141,69,2254,204.0717575,cover=27|gub_cover=0|flow_cover=11|clique=1|fractional=2|mir=44|flow_path=0|disjunctive=0|implied_bound=499|zero_half=32|multi_commodity_flow=0|local_cover=0|tightening=0|objective_disjunctive=0|lift_and_project=0|user=0|table=0|solution_pool=0|local_implied_bound=0|bqp=0|rlt=0|benders=0,10572,2110,61544,0.0137252,273.9959108,results/gf_global_gini_tree_strict_flow_round/runs/stage1__high_imbalance_seed3202__off__300s/global_bound_trajectory.csv,dfd67bcf4e4dd19cf7096bf5fa16c100d5a6ccefd3bb6df8a30547de39f7136a,1.2906,1.3821,0.14,4.09,180.17,8121,2053,43084,4740,60,290.06401480000005
stage1__moderate_seed3301__f0__300s,stage1,moderate_seed3301,V20-primary-regression,F0,round20-current,300,294.0,6.0,294.1891474,294.1934238,global_gini_tree_time_limit,108,"time limit exceeded, no integer solution",time_limit_valid_bound,False,none,,0.04498820632518879,0.04915255266474515,0.04498820632518879,0.04915255266474515,0.08472289054772235,,,False,,,0.0041643463395563615,0.0041643463395563615,False,0.08472289054772235,2172,1033,0,641800,295.48802946593,7.383005182875756,6.5354509,130,1473,165.91654350000002,cover=15|gub_cover=0|flow_cover=85|clique=0|fractional=1|mir=27|flow_path=0|disjunctive=0|implied_bound=463|zero_half=8|multi_commodity_flow=0|local_cover=0|tightening=0|objective_disjunctive=0|lift_and_project=0|user=0|table=0|solution_pool=0|local_implied_bound=0|bqp=0|rlt=0|benders=0,11925,3378,67136,0.0177845,274.0027606,results/gf_global_gini_tree_strict_flow_round/runs/stage1__moderate_seed3301__f0__300s/global_bound_trajectory.csv,dfd67bcf4e4dd19cf7096bf5fa16c100d5a6ccefd3bb6df8a30547de39f7136a,0.0328,0.0345,0.28,6.52,249.51,10695,3283,60749,2258,102,287.66914740000004
stage1__moderate_seed3301__f1__300s,stage1,moderate_seed3301,V20-primary-regression,F1,zero-return,300,294.0,6.0,294.1663547,294.1691133,global_gini_tree_time_limit,108,"time limit exceeded, no integer solution",time_limit_valid_bound,False,none,,0.04459936063941346,0.04915255266474515,0.04459936063941346,0.04915255266474515,0.09263388732600833,,,False,,,0.004553192025331693,0.004553192025331693,False,0.09263388732600833,1496,664,0,908797,607.4846256684492,5.085557801216483,5.5991734,111,970,233.5766535,cover=3|gub_cover=0|flow_cover=52|clique=0|fractional=3|mir=18|flow_path=0|disjunctive=0|implied_bound=458|zero_half=4|multi_commodity_flow=0|local_cover=0|tightening=0|objective_disjunctive=0|lift_and_project=0|user=0|table=0|solution_pool=0|local_implied_bound=0|bqp=0|rlt=0|benders=0,11865,3318,66896,0.0173508,273.9926895,results/gf_global_gini_tree_strict_flow_round/runs/stage1__moderate_seed3301__f1__300s/global_bound_trajectory.csv,dfd67bcf4e4dd19cf7096bf5fa16c100d5a6ccefd3bb6df8a30547de39f7136a,0.0328,0.0345,0.33,5.58,75.18,10635,3223,60509,2258,102,288.5863547
stage1__moderate_seed3301__f2__300s,stage1,moderate_seed3301,V20-primary-regression,F2,normalized,300,294.0,6.0,294.1581104,294.1624195,global_gini_tree_time_limit,108,"time limit exceeded, no integer solution",time_limit_valid_bound,False,none,,0.04465179592578673,0.04915255266474515,0.04465179592578673,0.04915255266474515,0.09156710068868104,,,False,,,0.004500756738958417,0.004500756738958417,False,0.09156710068868104,1549,628,0,1047991,676.5597159457715,5.265875545276144,6.2723566,121,967,181.42563,cover=10|gub_cover=1|flow_cover=28|clique=0|fractional=4|mir=40|flow_path=0|disjunctive=0|implied_bound=232|zero_half=4|multi_commodity_flow=0|local_cover=0|tightening=0|objective_disjunctive=0|lift_and_project=0|user=0|table=0|solution_pool=0|local_implied_bound=0|bqp=0|rlt=0|benders=0,13065,3318,69296,0.0174428,273.9947614,results/gf_global_gini_tree_strict_flow_round/runs/stage1__moderate_seed3301__f2__300s/global_bound_trajectory.csv,dfd67bcf4e4dd19cf7096bf5fa16c100d5a6ccefd3bb6df8a30547de39f7136a,0.0328,0.0348,0.45,6.27,57.8,11835,3223,62963,2258,102,287.8881104
stage1__moderate_seed3301__f3__300s,stage1,moderate_seed3301,V20-primary-regression,F3,normalized-start-coupled,300,294.0,6.0,294.2045275,294.2094217,global_gini_tree_time_limit,108,"time limit exceeded, no integer solution",time_limit_valid_bound,False,none,,0.04543053543516233,0.04915255266474515,0.04543053543516233,0.04915255266474515,0.07572378295323917,,,False,,,0.003722017229582819,0.003722017229582819,False,0.07572378295323917,2512,1018,0,555702,221.218949044586,8.538277848222442,5.0807437,146,1619,206.2363388,cover=18|gub_cover=0|flow_cover=19|clique=0|fractional=5|mir=18|flow_path=0|disjunctive=0|implied_bound=342|zero_half=7|multi_commodity_flow=0|local_cover=0|tightening=0|objective_disjunctive=0|lift_and_project=0|user=0|table=0|solution_pool=0|local_implied_bound=0|bqp=0|rlt=0|benders=0,13185,3318,71876,0.0181039,273.9969108,results/gf_global_gini_tree_strict_flow_round/runs/stage1__moderate_seed3301__f3__300s/global_bound_trajectory.csv,dfd67bcf4e4dd19cf7096bf5fa16c100d5a6ccefd3bb6df8a30547de39f7136a,0.0328,0.0347,0.47,5.06,236.69,11889,3223,64100,2390,102,289.1445275
stage1__moderate_seed3301__off__300s,stage1,moderate_seed3301,V20-primary-regression,off,off,300,294.0,6.0,294.1866659,294.1902496,global_gini_tree_time_limit,108,"time limit exceeded, no integer solution",time_limit_valid_bound,False,none,,0.0454344348342471,0.04915255266474515,0.0454344348342471,0.04915255266474515,0.07564445036778092,,,False,,,0.0037181178304980522,0.0037181178304980522,False,0.07564445036778092,3758,1355,0,1106819,294.5234167110165,12.774202353812393,2.5481777,139,2418,238.9092065,cover=31|gub_cover=0|flow_cover=33|clique=0|fractional=5|mir=40|flow_path=0|disjunctive=0|implied_bound=664|zero_half=31|multi_commodity_flow=0|local_cover=0|tightening=0|objective_disjunctive=0|lift_and_project=0|user=0|table=0|solution_pool=0|local_implied_bound=0|bqp=0|rlt=0|benders=0,10602,2118,61976,0.0173384,274.020329,results/gf_global_gini_tree_strict_flow_round/runs/stage1__moderate_seed3301__off__300s/global_bound_trajectory.csv,dfd67bcf4e4dd19cf7096bf5fa16c100d5a6ccefd3bb6df8a30547de39f7136a,0.0328,0.0347,0.16,2.53,153.94,9358,2026,55567,2312,96,291.6566659
