run_id,stage,instance,instance_class,arm,flow_variant,nominal_process_wall_seconds,native_time_limit_seconds,finalization_reserve_seconds,actual_runtime_seconds,final_process_wall_time_seconds,solver_status,native_status_code,native_status_text,strict_certificate_class,strict_certified_original_problem,strict_rejection_reason,native_objective,native_best_bound,verified_incumbent_objective,serialized_lower_bound,serialized_upper_bound,serialized_gap,native_absolute_gap,native_signed_bound_residual,native_bound_inversion,native_project_relative_gap,native_cplex_relative_gap,verified_absolute_gap,verified_signed_bound_residual,verified_bound_inversion,verified_project_relative_gap,nodes_processed,open_nodes,native_solution_count,simplex_iterations,simplex_iterations_per_processed_node,nodes_per_second,time_to_first_gini_branch,gini_branch_count,ordinary_branch_count,maximum_gini_sibling_delay,native_cut_counts,root_model_rows,root_model_columns,root_model_nonzeros,first_valid_lb_improvement_seconds,last_valid_lb_improvement_seconds,bound_trajectory_path,executable_sha256,root_uncut_relaxation,post_root_cut_relaxation,root_lp_time_seconds,root_completion_elapsed_seconds,maximum_tree_memory_mb,reduced_model_rows,reduced_model_columns,reduced_model_nonzeros,presolve_eliminated_rows_total,presolve_eliminated_columns_total,branch_and_cut_time_seconds
stage2__tight_T_seed3101__f3__900s,stage2,tight_T_seed3101,V20-control,F3,normalized-start-coupled,900,882.0,18.0,882.218387,882.2213164,global_gini_tree_time_limit,108,"time limit exceeded, no integer solution",time_limit_valid_bound,False,none,,0.043715624715586085,0.10725273413394144,0.043715624715586085,0.10725273413394144,0.592405498390444,,,False,,,0.06353710941835536,0.06353710941835536,False,0.592405498390444,10743,2890,0,4608335,428.961649446151,12.177256967553998,6.9654573,188,6628,523.830551,cover=10|gub_cover=7|flow_cover=139|clique=0|fractional=1|mir=45|flow_path=0|disjunctive=0|implied_bound=455|zero_half=35|multi_commodity_flow=0|local_cover=0|tightening=0|objective_disjunctive=0|lift_and_project=0|user=0|table=0|solution_pool=0|local_implied_bound=0|bqp=0|rlt=0|benders=0,13199,3322,71910,0.0181812,862.0039279,results/gf_global_gini_tree_strict_flow_round/runs/stage2__tight_T_seed3101__f3__900s/global_bound_trajectory.csv,dfd67bcf4e4dd19cf7096bf5fa16c100d5a6ccefd3bb6df8a30547de39f7136a,0.0029,0.0143,0.75,6.95,318.81,11391,3204,64052,3416,156,875.268387
stage2__tight_T_seed3101__plain__900s,stage2,tight_T_seed3101,V20-control,plain,plain,900,882.0,18.0,882.1023185,882.1041582,time_limit,107,time limit exceeded,time_limit_valid_bound,False,none,0.14077168838371723,0.014587874001482154,0.14077168838371723,0.014587874001482154,0.14077168838371723,0.8963721031624033,0.12618381438223508,0.12618381438223508,False,0.12618381438223508,0.8963721025256474,0.12618381438223508,0.12618381438223508,False,0.8963721031624033,234507,134551,63,0,0.0,265.8501118087697,-1,0,0,,,0,0,0,882.1023185,882.1023185,,dfd67bcf4e4dd19cf7096bf5fa16c100d5a6ccefd3bb6df8a30547de39f7136a,0.0005,0.0048,0.06,0.95,448.55,4927,2091,22930,196,20,881.1523185
stage2__tight_T_seed3102__f0__900s,stage2,tight_T_seed3102,V20-control,F0,round20-current,900,882.0,18.0,882.2377574,882.2404801,global_gini_tree_time_limit,108,"time limit exceeded, no integer solution",time_limit_valid_bound,False,none,,0.5536940971863101,0.6007044366851081,0.5536940971863101,0.6007044366851081,0.07825868534984866,,,False,,,0.04701033949879796,0.04701033949879796,False,0.07825868534984866,8359,3748,0,4462700,533.8796506759181,9.474770185119262,4.9744239,125,5933,328.7649374,cover=41|gub_cover=3|flow_cover=227|clique=0|fractional=1|mir=77|flow_path=0|disjunctive=0|implied_bound=536|zero_half=20|multi_commodity_flow=0|local_cover=0|tightening=0|objective_disjunctive=0|lift_and_project=0|user=0|table=0|solution_pool=0|local_implied_bound=0|bqp=0|rlt=0|benders=0,11903,3372,67107,0.0177952,862.0022875,results/gf_global_gini_tree_strict_flow_round/runs/stage2__tight_T_seed3102__f0__900s/global_bound_trajectory.csv,dfd67bcf4e4dd19cf7096bf5fa16c100d5a6ccefd3bb6df8a30547de39f7136a,0.4475,0.4611,0.25,4.95,411.35,10104,3134,53176,3410,396,877.2877573999999
stage2__tight_T_seed3102__f3__900s,stage2,tight_T_seed3102,V20-control,F3,normalized-start-coupled,900,882.0,18.0,882.3770435,882.3806408,global_gini_tree_time_limit,108,"time limit exceeded, no integer solution",time_limit_valid_bound,False,none,,0.5523927622828233,0.6007044366851081,0.5523927622828233,0.6007044366851081,0.08042503343055876,,,False,,,0.04831167440228479,0.04831167440228479,False,0.08042503343055876,13382,6935,0,4052973,302.86750859363326,15.165852396748125,5.2738659,127,10049,376.0684001,cover=37|gub_cover=3|flow_cover=103|clique=0|fractional=2|mir=72|flow_path=0|disjunctive=0|implied_bound=444|zero_half=23|multi_commodity_flow=0|local_cover=0|tightening=0|objective_disjunctive=0|lift_and_project=0|user=0|table=0|solution_pool=0|local_implied_bound=0|bqp=0|rlt=0|benders=0,13163,3312,71847,0.0174368,861.9999699,results/gf_global_gini_tree_strict_flow_round/runs/stage2__tight_T_seed3102__f3__900s/global_bound_trajectory.csv,dfd67bcf4e4dd19cf7096bf5fa16c100d5a6ccefd3bb6df8a30547de39f7136a,0.4476,0.4597,0.34,5.27,769.95,11173,3074,56271,3876,396,877.1070435
stage2__tight_T_seed3102__plain__900s,stage2,tight_T_seed3102,V20-control,plain,plain,900,882.0,18.0,882.063152,882.0649701,time_limit,107,time limit exceeded,time_limit_valid_bound,False,none,0.6072041203445373,0.3232145467979908,0.6072041203463293,0.3232145467979908,0.6072041203463293,0.46770034002134275,0.2839895735465465,0.2839895735465465,False,0.2839895735465465,0.46770033994274657,0.28398957354833854,0.28398957354833854,False,0.46770034002134275,160800,80675,112,0,0.0,182.29987233385756,-1,0,0,,,0,0,0,882.063152,882.063152,,dfd67bcf4e4dd19cf7096bf5fa16c100d5a6ccefd3bb6df8a30547de39f7136a,0.0893,0.1224,0.06,0.97,172.17,4908,2076,22745,246,24,881.0931519999999
stage2__V12_M1__f0__900s,stage2,V12_M1,V12-control,F0,round20-current,900,882.0,18.0,123.0761028,123.0811197,optimal,101,integer optimal solution,native_exact_optimal,True,none,0.3572005832084155,0.3572005832084155,0.3572005832084155,0.3572005832084155,0.3572005832084155,0,0,0,False,0,0,0,0,False,0,14732,0,2,913176,61.98588107521043,119.69829775922999,1.8357574,223,7438,53.3456661,cover=9|gub_cover=0|flow_cover=45|clique=59|fractional=7|mir=11|flow_path=0|disjunctive=0|implied_bound=470|zero_half=1|multi_commodity_flow=0|local_cover=0|tightening=0|objective_disjunctive=0|lift_and_project=0|user=0|table=0|solution_pool=0|local_implied_bound=0|bqp=0|rlt=0|benders=0,6225,646,59207,0.0069369,109.8844347,results/gf_global_gini_tree_strict_flow_round/runs/stage2__V12_M1__f0__900s/global_bound_trajectory.csv,dfd67bcf4e4dd19cf7096bf5fa16c100d5a6ccefd3bb6df8a30547de39f7136a,0.1965,0.2415,0.09,1.83,70.75,5344,620,55439,1690,4,121.2461028
stage2__V12_M1__f3__900s,stage2,V12_M1,V12-control,F3,normalized-start-coupled,900,882.0,18.0,129.3836155,129.3862353,global_gini_tree_not_certified,101,integer optimal solution,certificate_rejected,False,exact_status_native_bound_not_equal_verified_upper_bound,0.3572005832084154,0.3572005832084154,0.3572005832084155,0.3572005832084154,0.3572005832084155,3.1081220939031215e-16,0,0,False,0,0,1.1102230246251565e-16,1.1102230246251565e-16,False,3.1081220939031215e-16,12600,0,1,951283,75.4986507936508,97.38481917751017,1.9938066,222,6281,47.681938099999996,cover=7|gub_cover=0|flow_cover=23|clique=57|fractional=4|mir=21|flow_path=0|disjunctive=0|implied_bound=349|zero_half=1|multi_commodity_flow=0|local_cover=0|tightening=0|objective_disjunctive=0|lift_and_project=3|user=0|table=0|solution_pool=0|local_implied_bound=0|bqp=0|rlt=0|benders=0,6381,634,59771,0.0061591,116.1363126,results/gf_global_gini_tree_strict_flow_round/runs/stage2__V12_M1__f3__900s/global_bound_trajectory.csv,dfd67bcf4e4dd19cf7096bf5fa16c100d5a6ccefd3bb6df8a30547de39f7136a,0.1965,0.2417,0.09,1.98,71.45,5500,608,55991,1690,4,127.40361549999999
stage2__V12_M1__plain__900s,stage2,V12_M1,V12-control,plain,plain,900,882.0,18.0,618.7442733,618.745943,optimal,101,integer optimal solution,native_exact_optimal,True,none,0.3572005832084155,0.3572005832084155,0.3572005832084155,0.3572005832084155,0.3572005832084155,0,0,0,False,0,0,0,0,False,0,1302695,0,32,0,0.0,2105.385142479346,-1,0,0,,,0,0,0,618.7442733,618.7442733,,dfd67bcf4e4dd19cf7096bf5fa16c100d5a6ccefd3bb6df8a30547de39f7136a,0.1844,0.228,0.0,0.2,121.14,930,464,3754,64,2,618.5442733
stage2__V12_M2__f0__900s,stage2,V12_M2,V12-control,F0,round20-current,900,882.0,18.0,279.9728095,279.976772,global_gini_tree_not_certified,101,integer optimal solution,certificate_rejected,False,exact_status_native_bound_not_equal_verified_upper_bound,0.7185040707549651,0.7185040707549651,0.7185040707549709,0.7185040707549651,0.7185040707549709,8.034971495686369e-15,0,0,False,0,0,5.773159728050814e-15,5.773159728050814e-15,False,8.034971495686369e-15,24962,0,1,2198846,88.08773335469914,89.15865810176113,3.3958501,140,12580,133.2424939,cover=21|gub_cover=4|flow_cover=116|clique=18|fractional=2|mir=27|flow_path=0|disjunctive=0|implied_bound=366|zero_half=2|multi_commodity_flow=0|local_cover=0|tightening=0|objective_disjunctive=0|lift_and_project=0|user=0|table=0|solution_pool=0|local_implied_bound=0|bqp=0|rlt=0|benders=0,11351,1032,113440,0.0065116,265.6439059,results/gf_global_gini_tree_strict_flow_round/runs/stage2__V12_M2__f0__900s/global_bound_trajectory.csv,dfd67bcf4e4dd19cf7096bf5fa16c100d5a6ccefd3bb6df8a30547de39f7136a,0.3422,0.3788,0.23,3.39,137.22,10070,1005,107234,2472,12,276.5828095
stage2__V12_M2__f3__900s,stage2,V12_M2,V12-control,F3,normalized-start-coupled,900,882.0,18.0,705.4450913,705.4478215,global_gini_tree_not_certified,101,integer optimal solution,certificate_rejected,False,exact_status_native_bound_not_equal_verified_upper_bound,0.7185040707549712,0.7185040707549712,0.7185040707549709,0.7185040707549712,0.7185040707549709,0,0,0,False,0,0,0,-3.3306690738754696e-16,True,0,73175,0,1,4650388,63.55159549026307,103.72883857644047,3.553023,140,37157,435.4589506,cover=24|gub_cover=2|flow_cover=46|clique=13|fractional=3|mir=29|flow_path=0|disjunctive=0|implied_bound=357|zero_half=2|multi_commodity_flow=0|local_cover=0|tightening=0|objective_disjunctive=0|lift_and_project=0|user=0|table=0|solution_pool=0|local_implied_bound=0|bqp=0|rlt=0|benders=0,11663,1008,114568,0.006785,691.0976766,results/gf_global_gini_tree_strict_flow_round/runs/stage2__V12_M2__f3__900s/global_bound_trajectory.csv,dfd67bcf4e4dd19cf7096bf5fa16c100d5a6ccefd3bb6df8a30547de39f7136a,0.3423,0.3782,0.22,3.55,433.0,10382,981,108338,2472,12,701.8950913
stage2__V12_M2__plain__900s,stage2,V12_M2,V12-control,plain,plain,900,882.0,18.0,882.2007429,882.2023836,time_limit,107,time limit exceeded,time_limit_valid_bound,False,none,0.7185040673277909,0.5866640018892041,0.7185040707549709,0.5866640018892041,0.7185040707549709,0.18349244525119443,0.13184006543858684,0.13184006543858684,False,0.13184006543858684,0.1834924413310112,0.13184006886576682,0.13184006886576682,False,0.18349244525119443,1107900,709204,41,0,0.0,1255.8366209918095,-1,0,0,,,0,0,0,882.2007429,882.2007429,,dfd67bcf4e4dd19cf7096bf5fa16c100d5a6ccefd3bb6df8a30547de39f7136a,0.2949,0.305,0.02,0.25,628.88,1463,691,6309,98,14,881.9507429
