run_id,stage,instance,arm,flow_variant,strict_certificate_class,strict_certified,time_to_strict_certificate_seconds,censor_time_seconds,observation
stage0__high_imbalance_seed3202__f2__30s,stage0,high_imbalance_seed3202,F2,normalized,time_limit_valid_bound,False,,30,right_censored_no_strict_certificate
stage0__moderate_seed3301__f2__30s,stage0,moderate_seed3301,F2,normalized,time_limit_valid_bound,False,,30,right_censored_no_strict_certificate
stage0__round21_toy_V2_M1__f0__30s,stage0,round21_toy_V2_M1,F0,round20-current,native_exact_optimal,True,0.1093152,,observed_at_solver_final
stage0__round21_toy_V2_M1__f1__30s,stage0,round21_toy_V2_M1,F1,zero-return,native_exact_optimal,True,0.1028326,,observed_at_solver_final
stage0__round21_toy_V2_M1__f2__30s,stage0,round21_toy_V2_M1,F2,normalized,native_exact_optimal,True,0.1051394,,observed_at_solver_final
stage0__round21_toy_V2_M1__f3__30s,stage0,round21_toy_V2_M1,F3,normalized-start-coupled,native_exact_optimal,True,0.1114814,,observed_at_solver_final
stage0__round21_toy_V2_M1__off__30s,stage0,round21_toy_V2_M1,off,off,native_exact_optimal,True,0.1058249,,observed_at_solver_final
stage0__tight_T_seed3101__f2__30s,stage0,tight_T_seed3101,F2,normalized,time_limit_valid_bound,False,,30,right_censored_no_strict_certificate
stage0__V12_M1__f2__30s,stage0,V12_M1,F2,normalized,time_limit_valid_bound,False,,30,right_censored_no_strict_certificate
stage0__V12_M2__f2__30s,stage0,V12_M2,F2,normalized,time_limit_valid_bound,False,,30,right_censored_no_strict_certificate
stage1__high_imbalance_seed3202__f0__300s,stage1,high_imbalance_seed3202,F0,round20-current,time_limit_valid_bound,False,,300,right_censored_no_strict_certificate
stage1__high_imbalance_seed3202__f1__300s,stage1,high_imbalance_seed3202,F1,zero-return,time_limit_valid_bound,False,,300,right_censored_no_strict_certificate
stage1__high_imbalance_seed3202__f2__300s,stage1,high_imbalance_seed3202,F2,normalized,time_limit_valid_bound,False,,300,right_censored_no_strict_certificate
stage1__high_imbalance_seed3202__f3__300s,stage1,high_imbalance_seed3202,F3,normalized-start-coupled,time_limit_valid_bound,False,,300,right_censored_no_strict_certificate
stage1__high_imbalance_seed3202__off__300s,stage1,high_imbalance_seed3202,off,off,time_limit_valid_bound,False,,300,right_censored_no_strict_certificate
stage1__moderate_seed3301__f0__300s,stage1,moderate_seed3301,F0,round20-current,time_limit_valid_bound,False,,300,right_censored_no_strict_certificate
stage1__moderate_seed3301__f1__300s,stage1,moderate_seed3301,F1,zero-return,time_limit_valid_bound,False,,300,right_censored_no_strict_certificate
stage1__moderate_seed3301__f2__300s,stage1,moderate_seed3301,F2,normalized,time_limit_valid_bound,False,,300,right_censored_no_strict_certificate
stage1__moderate_seed3301__f3__300s,stage1,moderate_seed3301,F3,normalized-start-coupled,time_limit_valid_bound,False,,300,right_censored_no_strict_certificate
stage1__moderate_seed3301__off__300s,stage1,moderate_seed3301,off,off,time_limit_valid_bound,False,,300,right_censored_no_strict_certificate
stage1__moderate_seed3302__f0__300s,stage1,moderate_seed3302,F0,round20-current,time_limit_valid_bound,False,,300,right_censored_no_strict_certificate
stage1__moderate_seed3302__f1__300s,stage1,moderate_seed3302,F1,zero-return,time_limit_valid_bound,False,,300,right_censored_no_strict_certificate
stage1__moderate_seed3302__f2__300s,stage1,moderate_seed3302,F2,normalized,time_limit_valid_bound,False,,300,right_censored_no_strict_certificate
stage1__moderate_seed3302__f3__300s,stage1,moderate_seed3302,F3,normalized-start-coupled,time_limit_valid_bound,False,,300,right_censored_no_strict_certificate
stage1__moderate_seed3302__off__300s,stage1,moderate_seed3302,off,off,time_limit_valid_bound,False,,300,right_censored_no_strict_certificate
stage1__tight_T_seed3101__f0__300s,stage1,tight_T_seed3101,F0,round20-current,time_limit_valid_bound,False,,300,right_censored_no_strict_certificate
stage1__tight_T_seed3101__f1__300s,stage1,tight_T_seed3101,F1,zero-return,time_limit_valid_bound,False,,300,right_censored_no_strict_certificate
stage1__tight_T_seed3101__f2__300s,stage1,tight_T_seed3101,F2,normalized,time_limit_valid_bound,False,,300,right_censored_no_strict_certificate
stage1__tight_T_seed3101__f3__300s,stage1,tight_T_seed3101,F3,normalized-start-coupled,time_limit_valid_bound,False,,300,right_censored_no_strict_certificate
stage1__tight_T_seed3101__off__300s,stage1,tight_T_seed3101,off,off,time_limit_valid_bound,False,,300,right_censored_no_strict_certificate
stage1__V12_M2__f0__300s,stage1,V12_M2,F0,round20-current,certificate_rejected,False,,300,right_censored_no_strict_certificate
stage1__V12_M2__f1__300s,stage1,V12_M2,F1,zero-return,time_limit_valid_bound,False,,300,right_censored_no_strict_certificate
stage1__V12_M2__f2__300s,stage1,V12_M2,F2,normalized,time_limit_valid_bound,False,,300,right_censored_no_strict_certificate
stage1__V12_M2__f3__300s,stage1,V12_M2,F3,normalized-start-coupled,time_limit_valid_bound,False,,300,right_censored_no_strict_certificate
stage1__V12_M2__off__300s,stage1,V12_M2,off,off,time_limit_valid_bound,False,,300,right_censored_no_strict_certificate
stage2__high_imbalance_seed3201__f0__900s,stage2,high_imbalance_seed3201,F0,round20-current,time_limit_valid_bound,False,,900,right_censored_no_strict_certificate
stage2__high_imbalance_seed3201__f3__900s,stage2,high_imbalance_seed3201,F3,normalized-start-coupled,time_limit_valid_bound,False,,900,right_censored_no_strict_certificate
stage2__high_imbalance_seed3201__plain__900s,stage2,high_imbalance_seed3201,plain,plain,time_limit_valid_bound,False,,900,right_censored_no_strict_certificate
stage2__high_imbalance_seed3202__f0__900s,stage2,high_imbalance_seed3202,F0,round20-current,time_limit_valid_bound,False,,900,right_censored_no_strict_certificate
stage2__high_imbalance_seed3202__f3__900s,stage2,high_imbalance_seed3202,F3,normalized-start-coupled,time_limit_valid_bound,False,,900,right_censored_no_strict_certificate
stage2__high_imbalance_seed3202__plain__900s,stage2,high_imbalance_seed3202,plain,plain,time_limit_valid_bound,False,,900,right_censored_no_strict_certificate
stage2__moderate_seed3301__f0__900s,stage2,moderate_seed3301,F0,round20-current,time_limit_valid_bound,False,,900,right_censored_no_strict_certificate
stage2__moderate_seed3301__f3__900s,stage2,moderate_seed3301,F3,normalized-start-coupled,time_limit_valid_bound,False,,900,right_censored_no_strict_certificate
stage2__moderate_seed3301__plain__900s,stage2,moderate_seed3301,plain,plain,time_limit_valid_bound,False,,900,right_censored_no_strict_certificate
stage2__moderate_seed3302__f0__900s,stage2,moderate_seed3302,F0,round20-current,time_limit_valid_bound,False,,900,right_censored_no_strict_certificate
stage2__moderate_seed3302__f3__900s,stage2,moderate_seed3302,F3,normalized-start-coupled,time_limit_valid_bound,False,,900,right_censored_no_strict_certificate
stage2__moderate_seed3302__plain__900s,stage2,moderate_seed3302,plain,plain,time_limit_valid_bound,False,,900,right_censored_no_strict_certificate
stage2__tight_T_seed3101__f0__900s,stage2,tight_T_seed3101,F0,round20-current,time_limit_valid_bound,False,,900,right_censored_no_strict_certificate
stage2__tight_T_seed3101__f3__900s,stage2,tight_T_seed3101,F3,normalized-start-coupled,time_limit_valid_bound,False,,900,right_censored_no_strict_certificate
stage2__tight_T_seed3101__plain__900s,stage2,tight_T_seed3101,plain,plain,time_limit_valid_bound,False,,900,right_censored_no_strict_certificate
stage2__tight_T_seed3102__f0__900s,stage2,tight_T_seed3102,F0,round20-current,time_limit_valid_bound,False,,900,right_censored_no_strict_certificate
stage2__tight_T_seed3102__f3__900s,stage2,tight_T_seed3102,F3,normalized-start-coupled,time_limit_valid_bound,False,,900,right_censored_no_strict_certificate
stage2__tight_T_seed3102__plain__900s,stage2,tight_T_seed3102,plain,plain,time_limit_valid_bound,False,,900,right_censored_no_strict_certificate
stage2__V12_M1__f0__900s,stage2,V12_M1,F0,round20-current,native_exact_optimal,True,123.0761028,,observed_at_solver_final
stage2__V12_M1__f3__900s,stage2,V12_M1,F3,normalized-start-coupled,certificate_rejected,False,,900,right_censored_no_strict_certificate
stage2__V12_M1__plain__900s,stage2,V12_M1,plain,plain,native_exact_optimal,True,618.7442733,,observed_at_solver_final
stage2__V12_M2__f0__900s,stage2,V12_M2,F0,round20-current,certificate_rejected,False,,900,right_censored_no_strict_certificate
stage2__V12_M2__f3__900s,stage2,V12_M2,F3,normalized-start-coupled,certificate_rejected,False,,900,right_censored_no_strict_certificate
stage2__V12_M2__plain__900s,stage2,V12_M2,plain,plain,time_limit_valid_bound,False,,900,right_censored_no_strict_certificate
stage3__high_imbalance_seed3202__f0__1800s,stage3,high_imbalance_seed3202,F0,round20-current,time_limit_valid_bound,False,,1800,right_censored_no_strict_certificate
stage3__high_imbalance_seed3202__f3__1800s,stage3,high_imbalance_seed3202,F3,normalized-start-coupled,time_limit_valid_bound,False,,1800,right_censored_no_strict_certificate
stage3__high_imbalance_seed3202__plain__1800s,stage3,high_imbalance_seed3202,plain,plain,time_limit_valid_bound,False,,1800,right_censored_no_strict_certificate
stage3__moderate_seed3301__f0__1800s,stage3,moderate_seed3301,F0,round20-current,time_limit_valid_bound,False,,1800,right_censored_no_strict_certificate
stage3__moderate_seed3301__f3__1800s,stage3,moderate_seed3301,F3,normalized-start-coupled,time_limit_valid_bound,False,,1800,right_censored_no_strict_certificate
stage3__moderate_seed3301__plain__1800s,stage3,moderate_seed3301,plain,plain,time_limit_valid_bound,False,,1800,right_censored_no_strict_certificate
stage3__moderate_seed3302__f0__1800s,stage3,moderate_seed3302,F0,round20-current,time_limit_valid_bound,False,,1800,right_censored_no_strict_certificate
stage3__moderate_seed3302__f3__1800s,stage3,moderate_seed3302,F3,normalized-start-coupled,time_limit_valid_bound,False,,1800,right_censored_no_strict_certificate
stage3__moderate_seed3302__plain__1800s,stage3,moderate_seed3302,plain,plain,time_limit_valid_bound,False,,1800,right_censored_no_strict_certificate
stage3__tight_T_seed3101__f0__1800s,stage3,tight_T_seed3101,F0,round20-current,time_limit_valid_bound,False,,1800,right_censored_no_strict_certificate
stage3__tight_T_seed3101__f3__1800s,stage3,tight_T_seed3101,F3,normalized-start-coupled,time_limit_valid_bound,False,,1800,right_censored_no_strict_certificate
stage3__tight_T_seed3101__plain__1800s,stage3,tight_T_seed3101,plain,plain,time_limit_valid_bound,False,,1800,right_censored_no_strict_certificate
stage3__tight_T_seed3102__f0__1800s,stage3,tight_T_seed3102,F0,round20-current,time_limit_valid_bound,False,,1800,right_censored_no_strict_certificate
stage3__tight_T_seed3102__f3__1800s,stage3,tight_T_seed3102,F3,normalized-start-coupled,time_limit_valid_bound,False,,1800,right_censored_no_strict_certificate
stage3__tight_T_seed3102__plain__1800s,stage3,tight_T_seed3102,plain,plain,time_limit_valid_bound,False,,1800,right_censored_no_strict_certificate
stage4__moderate_seed3301__f0__3600s,stage4,moderate_seed3301,F0,round20-current,time_limit_valid_bound,False,,3600,right_censored_no_strict_certificate
stage4__moderate_seed3301__f3__3600s,stage4,moderate_seed3301,F3,normalized-start-coupled,time_limit_valid_bound,False,,3600,right_censored_no_strict_certificate
stage4__moderate_seed3301__plain__3600s,stage4,moderate_seed3301,plain,plain,time_limit_valid_bound,False,,3600,right_censored_no_strict_certificate
stage4__V12_M2__f0__3600s,stage4,V12_M2,F0,round20-current,certificate_rejected,False,,3600,right_censored_no_strict_certificate
stage4__V12_M2__f3__3600s,stage4,V12_M2,F3,normalized-start-coupled,certificate_rejected,False,,3600,right_censored_no_strict_certificate
stage4__V12_M2__plain__3600s,stage4,V12_M2,plain,plain,time_limit_valid_bound,False,,3600,right_censored_no_strict_certificate
