run_id,instance,arm,flow_variant,checkpoint_seconds,status,observation_elapsed_seconds,lower_bound,upper_bound,gap,nodes,open_nodes,simplex_iterations,event_source,observation_source,not_observed_reason
stage3__high_imbalance_seed3202__f0__1800s,high_imbalance_seed3202,F0,round20-current,30,observed,7.0683801,1.448790683549598,1.7493134520506337,0.17179469359750688,0,1,15073,global_progress,global_bound_trajectory,
stage3__high_imbalance_seed3202__f0__1800s,high_imbalance_seed3202,F0,round20-current,60,observed,7.0683801,1.448790683549598,1.7493134520506337,0.17179469359750688,0,1,15073,global_progress,global_bound_trajectory,
stage3__high_imbalance_seed3202__f0__1800s,high_imbalance_seed3202,F0,round20-current,120,observed,7.0683801,1.448790683549598,1.7493134520506337,0.17179469359750688,0,1,15073,global_progress,global_bound_trajectory,
stage3__high_imbalance_seed3202__f0__1800s,high_imbalance_seed3202,F0,round20-current,300,observed,7.0683801,1.448790683549598,1.7493134520506337,0.17179469359750688,0,1,15073,global_progress,global_bound_trajectory,
stage3__high_imbalance_seed3202__f0__1800s,high_imbalance_seed3202,F0,round20-current,600,observed,7.0683801,1.448790683549598,1.7493134520506337,0.17179469359750688,0,1,15073,global_progress,global_bound_trajectory,
stage3__high_imbalance_seed3202__f0__1800s,high_imbalance_seed3202,F0,round20-current,900,observed,7.0683801,1.448790683549598,1.7493134520506337,0.17179469359750688,0,1,15073,global_progress,global_bound_trajectory,
stage3__high_imbalance_seed3202__f0__1800s,high_imbalance_seed3202,F0,round20-current,1200,observed,7.0683801,1.448790683549598,1.7493134520506337,0.17179469359750688,0,1,15073,global_progress,global_bound_trajectory,
stage3__high_imbalance_seed3202__f0__1800s,high_imbalance_seed3202,F0,round20-current,1800,observed,1770.3572322,1.7307308110407786,1.7493134520506337,0.010622819477019147,11729,3474,7034476,solver_final,full_precision_final_json,
stage3__high_imbalance_seed3202__f3__1800s,high_imbalance_seed3202,F3,normalized-start-coupled,30,observed,5.9719621,1.4312629853487282,1.7493134520506337,0.18181445202348995,0,1,13729,global_progress,global_bound_trajectory,
stage3__high_imbalance_seed3202__f3__1800s,high_imbalance_seed3202,F3,normalized-start-coupled,60,observed,5.9719621,1.4312629853487282,1.7493134520506337,0.18181445202348995,0,1,13729,global_progress,global_bound_trajectory,
stage3__high_imbalance_seed3202__f3__1800s,high_imbalance_seed3202,F3,normalized-start-coupled,120,observed,5.9719621,1.4312629853487282,1.7493134520506337,0.18181445202348995,0,1,13729,global_progress,global_bound_trajectory,
stage3__high_imbalance_seed3202__f3__1800s,high_imbalance_seed3202,F3,normalized-start-coupled,300,observed,5.9719621,1.4312629853487282,1.7493134520506337,0.18181445202348995,0,1,13729,global_progress,global_bound_trajectory,
stage3__high_imbalance_seed3202__f3__1800s,high_imbalance_seed3202,F3,normalized-start-coupled,600,observed,5.9719621,1.4312629853487282,1.7493134520506337,0.18181445202348995,0,1,13729,global_progress,global_bound_trajectory,
stage3__high_imbalance_seed3202__f3__1800s,high_imbalance_seed3202,F3,normalized-start-coupled,900,observed,5.9719621,1.4312629853487282,1.7493134520506337,0.18181445202348995,0,1,13729,global_progress,global_bound_trajectory,
stage3__high_imbalance_seed3202__f3__1800s,high_imbalance_seed3202,F3,normalized-start-coupled,1200,observed,5.9719621,1.4312629853487282,1.7493134520506337,0.18181445202348995,0,1,13729,global_progress,global_bound_trajectory,
stage3__high_imbalance_seed3202__f3__1800s,high_imbalance_seed3202,F3,normalized-start-coupled,1800,observed,1770.2548685,1.721594197310447,1.7493134520506337,0.015845790648721565,12060,4256,6037348,solver_final,full_precision_final_json,
stage3__high_imbalance_seed3202__plain__1800s,high_imbalance_seed3202,plain,plain,30,not_observed,,,,,,,,,,plain_cplex_has_solver_final_observation_only
stage3__high_imbalance_seed3202__plain__1800s,high_imbalance_seed3202,plain,plain,60,not_observed,,,,,,,,,,plain_cplex_has_solver_final_observation_only
stage3__high_imbalance_seed3202__plain__1800s,high_imbalance_seed3202,plain,plain,120,not_observed,,,,,,,,,,plain_cplex_has_solver_final_observation_only
stage3__high_imbalance_seed3202__plain__1800s,high_imbalance_seed3202,plain,plain,300,not_observed,,,,,,,,,,plain_cplex_has_solver_final_observation_only
stage3__high_imbalance_seed3202__plain__1800s,high_imbalance_seed3202,plain,plain,600,not_observed,,,,,,,,,,plain_cplex_has_solver_final_observation_only
stage3__high_imbalance_seed3202__plain__1800s,high_imbalance_seed3202,plain,plain,900,not_observed,,,,,,,,,,plain_cplex_has_solver_final_observation_only
stage3__high_imbalance_seed3202__plain__1800s,high_imbalance_seed3202,plain,plain,1200,not_observed,,,,,,,,,,plain_cplex_has_solver_final_observation_only
stage3__high_imbalance_seed3202__plain__1800s,high_imbalance_seed3202,plain,plain,1800,observed,1771.9118311,1.1257119472023058,1.7704460143620369,0.36416477087105914,104300,31251,0,solver_final,full_precision_final_json,
stage3__moderate_seed3301__f0__1800s,moderate_seed3301,F0,round20-current,30,observed,6.3043139,0.03453798009362849,0.04915255266474515,0.01461457257111666,0,1,13958,global_progress,global_bound_trajectory,
stage3__moderate_seed3301__f0__1800s,moderate_seed3301,F0,round20-current,60,observed,6.3043139,0.03453798009362849,0.04915255266474515,0.01461457257111666,0,1,13958,global_progress,global_bound_trajectory,
stage3__moderate_seed3301__f0__1800s,moderate_seed3301,F0,round20-current,120,observed,6.3043139,0.03453798009362849,0.04915255266474515,0.01461457257111666,0,1,13958,global_progress,global_bound_trajectory,
stage3__moderate_seed3301__f0__1800s,moderate_seed3301,F0,round20-current,300,observed,6.3043139,0.03453798009362849,0.04915255266474515,0.01461457257111666,0,1,13958,global_progress,global_bound_trajectory,
stage3__moderate_seed3301__f0__1800s,moderate_seed3301,F0,round20-current,600,observed,6.3043139,0.03453798009362849,0.04915255266474515,0.01461457257111666,0,1,13958,global_progress,global_bound_trajectory,
stage3__moderate_seed3301__f0__1800s,moderate_seed3301,F0,round20-current,900,observed,6.3043139,0.03453798009362849,0.04915255266474515,0.01461457257111666,0,1,13958,global_progress,global_bound_trajectory,
stage3__moderate_seed3301__f0__1800s,moderate_seed3301,F0,round20-current,1200,observed,6.3043139,0.03453798009362849,0.04915255266474515,0.01461457257111666,0,1,13958,global_progress,global_bound_trajectory,
stage3__moderate_seed3301__f0__1800s,moderate_seed3301,F0,round20-current,1800,observed,1771.1164602,0.0461521427018867,0.04915255266474515,0.0030004099628584482,10541,5129,3681519,solver_final,full_precision_final_json,
stage3__moderate_seed3301__f3__1800s,moderate_seed3301,F3,normalized-start-coupled,30,observed,4.9901221,0.03472304540982346,0.04915255266474515,0.014429507254921689,0,1,16205,global_progress,global_bound_trajectory,
stage3__moderate_seed3301__f3__1800s,moderate_seed3301,F3,normalized-start-coupled,60,observed,4.9901221,0.03472304540982346,0.04915255266474515,0.014429507254921689,0,1,16205,global_progress,global_bound_trajectory,
stage3__moderate_seed3301__f3__1800s,moderate_seed3301,F3,normalized-start-coupled,120,observed,4.9901221,0.03472304540982346,0.04915255266474515,0.014429507254921689,0,1,16205,global_progress,global_bound_trajectory,
stage3__moderate_seed3301__f3__1800s,moderate_seed3301,F3,normalized-start-coupled,300,observed,4.9901221,0.03472304540982346,0.04915255266474515,0.014429507254921689,0,1,16205,global_progress,global_bound_trajectory,
stage3__moderate_seed3301__f3__1800s,moderate_seed3301,F3,normalized-start-coupled,600,observed,4.9901221,0.03472304540982346,0.04915255266474515,0.014429507254921689,0,1,16205,global_progress,global_bound_trajectory,
stage3__moderate_seed3301__f3__1800s,moderate_seed3301,F3,normalized-start-coupled,900,observed,4.9901221,0.03472304540982346,0.04915255266474515,0.014429507254921689,0,1,16205,global_progress,global_bound_trajectory,
stage3__moderate_seed3301__f3__1800s,moderate_seed3301,F3,normalized-start-coupled,1200,observed,4.9901221,0.03472304540982346,0.04915255266474515,0.014429507254921689,0,1,16205,global_progress,global_bound_trajectory,
stage3__moderate_seed3301__f3__1800s,moderate_seed3301,F3,normalized-start-coupled,1800,observed,1770.8917537,0.04693616279343923,0.04915255266474515,0.0022163898713059224,12316,4964,1975061,solver_final,full_precision_final_json,
