stage,evidence_csv,physical_rows,pair_count,f0_certificates,vdp_certificates,certificate_gains,certificate_losses,false_certificates,severe_regressions,shifted_work_geometric_mean_ratio,aggregate_gi_ratio,selected
C1-C9 confirmation,fixed_interval_confirmation_1200s.csv,18,9,6,7,1,0,0,0,0.8395829930874621,0.8171872440709357,VD-P
confirmation extension,fixed_interval_confirmation_1800s.csv,38,19,14,16,2,0,0,0,0.6637457968702356,0.5064701989122932,VD-P
key long,fixed_interval_key_long_3600s.csv,22,11,8,9,1,0,0,0,0.5884765357865731,0.47002946955148395,VD-P
