role,instance,cap_seconds,first_class_preset,legacy_alias_canonicalized_to,K0,tau,fixed_interval_policy,config_equal,actions_equal,interval_endpoints_equal,model_fingerprints_equal,first_class_model_count,legacy_model_count,common_model_count,objective_equal,bounds_equal,certificate_class_equal,semantic_equivalence,first_class_result,legacy_result
major,round39_small_medium_V12_M3_Q30_slot08_seed1343324363.txt,20,paper-k1-am-sf,paper-k1-am-sf,1,0.080000000000000002,interval-mip-core-no-exhaustive-subset-duration,True,True,True,True,3,3,3,True,True,True,True,results/gf_k1_am_sf_station_state_chain_round55/local_raw/stable_requalification_sentinels/major/first_class/result.json,results/gf_k1_am_sf_station_state_chain_round55/local_raw/stable_requalification_sentinels/major/legacy_alias/result.json
strong_control,round39_small_hard_V12_M3_Q30_slot08_seed1288546114.txt,20,paper-k1-am-sf,paper-k1-am-sf,1,0.080000000000000002,interval-mip-core-no-exhaustive-subset-duration,True,True,True,True,3,3,3,True,True,True,True,results/gf_k1_am_sf_station_state_chain_round55/local_raw/stable_requalification_sentinels/strong_control/first_class/result.json,results/gf_k1_am_sf_station_state_chain_round55/local_raw/stable_requalification_sentinels/strong_control/legacy_alias/result.json
v10_easy_negative,round39_small_hard_V10_M3_Q20_slot04_seed1145042375.txt,20,paper-k1-am-sf,paper-k1-am-sf,1,0.080000000000000002,interval-mip-core-no-exhaustive-subset-duration,True,True,True,True,3,3,3,True,True,True,True,results/gf_k1_am_sf_station_state_chain_round55/local_raw/stable_requalification_sentinels/v10_easy_negative/first_class/result.json,results/gf_k1_am_sf_station_state_chain_round55/local_raw/stable_requalification_sentinels/v10_easy_negative/legacy_alias/result.json
numerical_endpoint,round39_small_hard_V12_M3_Q20_slot07_seed621538683.txt,120,paper-k1-am-sf,paper-k1-am-sf,1,0.080000000000000002,interval-mip-core-no-exhaustive-subset-duration,True,True,True,True,3,3,3,True,True,True,True,results/gf_k1_am_sf_station_state_chain_round55/local_raw/stable_requalification_sentinels/numerical_endpoint/first_class/result.json,results/gf_k1_am_sf_station_state_chain_round55/local_raw/stable_requalification_sentinels/numerical_endpoint/legacy_alias/result.json
v12_m2_hard,round39_small_hard_V12_M2_Q20_slot06_seed258908503.txt,20,paper-k1-am-sf,paper-k1-am-sf,1,0.080000000000000002,interval-mip-core-no-exhaustive-subset-duration,True,True,True,True,3,3,3,True,True,True,True,results/gf_k1_am_sf_station_state_chain_round55/local_raw/stable_requalification_sentinels/v12_m2_hard/first_class/result.json,results/gf_k1_am_sf_station_state_chain_round55/local_raw/stable_requalification_sentinels/v12_m2_hard/legacy_alias/result.json
startup_easy_v12,round39_small_easy_V12_M3_Q30_slot08_seed1167625600.txt,20,paper-k1-am-sf,paper-k1-am-sf,1,0.080000000000000002,interval-mip-core-no-exhaustive-subset-duration,True,True,True,True,3,3,3,True,True,True,True,results/gf_k1_am_sf_station_state_chain_round55/local_raw/stable_requalification_sentinels/startup_easy_v12/first_class/result.json,results/gf_k1_am_sf_station_state_chain_round55/local_raw/stable_requalification_sentinels/startup_easy_v12/legacy_alias/result.json
tight3102,tight_T_seed3102.txt,20,paper-k1-am-sf,paper-k1-am-sf,1,0.08,interval-mip-core-no-exhaustive-subset-duration,True,True,True,True,0,0,0,True,True,True,True,results/gf_k1_am_sf_station_state_chain_round55/local_raw/stable_requalification_sentinels/tight3102/first_class/result.json,results/gf_k1_am_sf_station_state_chain_round55/local_raw/stable_requalification_sentinels/tight3102/legacy_alias/result.json
high_imbalance_3201,high_imbalance_seed3201.txt,20,paper-k1-am-sf,paper-k1-am-sf,1,0.080000000000000002,interval-mip-core-no-exhaustive-subset-duration,True,True,True,True,9,8,8,True,True,True,True,results/gf_k1_am_sf_station_state_chain_round55/local_raw/stable_requalification_sentinels/high_imbalance_3201/first_class/result.json,results/gf_k1_am_sf_station_state_chain_round55/local_raw/stable_requalification_sentinels/high_imbalance_3201/legacy_alias/result.json
moderate3301,moderate_seed3301.txt,20,paper-k1-am-sf,paper-k1-am-sf,1,0.08,interval-mip-core-no-exhaustive-subset-duration,True,True,True,True,0,0,0,True,True,True,True,results/gf_k1_am_sf_station_state_chain_round55/local_raw/stable_requalification_sentinels/moderate3301/first_class/result.json,results/gf_k1_am_sf_station_state_chain_round55/local_raw/stable_requalification_sentinels/moderate3301/legacy_alias/result.json
v20_sentinel,round52_validation_moderate_3600_V20_M3_seed1783533980.txt,20,paper-k1-am-sf,paper-k1-am-sf,1,0.08,interval-mip-core-no-exhaustive-subset-duration,True,True,True,True,0,0,0,True,True,True,True,results/gf_k1_am_sf_station_state_chain_round55/local_raw/stable_requalification_sentinels/v20_sentinel/first_class/result.json,results/gf_k1_am_sf_station_state_chain_round55/local_raw/stable_requalification_sentinels/v20_sentinel/legacy_alias/result.json
v50_sentinel,round52_validation_moderate_3600_V50_M3_seed664120090.txt,20,paper-k1-am-sf,paper-k1-am-sf,1,0.08,interval-mip-core-no-exhaustive-subset-duration,True,True,True,True,0,0,0,True,True,True,True,results/gf_k1_am_sf_station_state_chain_round55/local_raw/stable_requalification_sentinels/v50_sentinel/first_class/result.json,results/gf_k1_am_sf_station_state_chain_round55/local_raw/stable_requalification_sentinels/v50_sentinel/legacy_alias/result.json
