size,station,relation,z_scale,gini_coefficient,vd_reconstruction,status
V12,1,zprod_i=G*Y_i,unscaled inventory units,V/D_i=12/19,sum_y y*q_i_y,pass
V12,2,zprod_i=G*Y_i,unscaled inventory units,V/D_i=12/11,sum_y y*q_i_y,pass
V12,3,zprod_i=G*Y_i,unscaled inventory units,V/D_i=12/18,sum_y y*q_i_y,pass
V12,4,zprod_i=G*Y_i,unscaled inventory units,V/D_i=12/9,sum_y y*q_i_y,pass
V12,5,zprod_i=G*Y_i,unscaled inventory units,V/D_i=12/9,sum_y y*q_i_y,pass
V12,6,zprod_i=G*Y_i,unscaled inventory units,V/D_i=12/16,sum_y y*q_i_y,pass
V12,7,zprod_i=G*Y_i,unscaled inventory units,V/D_i=12/18,sum_y y*q_i_y,pass
V12,8,zprod_i=G*Y_i,unscaled inventory units,V/D_i=12/22,sum_y y*q_i_y,pass
V12,9,zprod_i=G*Y_i,unscaled inventory units,V/D_i=12/13,sum_y y*q_i_y,pass
V12,10,zprod_i=G*Y_i,unscaled inventory units,V/D_i=12/21,sum_y y*q_i_y,pass
V12,11,zprod_i=G*Y_i,unscaled inventory units,V/D_i=12/24,sum_y y*q_i_y,pass
V12,12,zprod_i=G*Y_i,unscaled inventory units,V/D_i=12/24,sum_y y*q_i_y,pass
V20,1,zprod_i=G*Y_i,unscaled inventory units,V/D_i=20/25,sum_y y*q_i_y,pass
V20,2,zprod_i=G*Y_i,unscaled inventory units,V/D_i=20/15,sum_y y*q_i_y,pass
V20,3,zprod_i=G*Y_i,unscaled inventory units,V/D_i=20/14,sum_y y*q_i_y,pass
V20,4,zprod_i=G*Y_i,unscaled inventory units,V/D_i=20/29,sum_y y*q_i_y,pass
V20,5,zprod_i=G*Y_i,unscaled inventory units,V/D_i=20/13,sum_y y*q_i_y,pass
V20,6,zprod_i=G*Y_i,unscaled inventory units,V/D_i=20/18,sum_y y*q_i_y,pass
V20,7,zprod_i=G*Y_i,unscaled inventory units,V/D_i=20/34,sum_y y*q_i_y,pass
V20,8,zprod_i=G*Y_i,unscaled inventory units,V/D_i=20/8,sum_y y*q_i_y,pass
V20,9,zprod_i=G*Y_i,unscaled inventory units,V/D_i=20/17,sum_y y*q_i_y,pass
V20,10,zprod_i=G*Y_i,unscaled inventory units,V/D_i=20/7,sum_y y*q_i_y,pass
V20,11,zprod_i=G*Y_i,unscaled inventory units,V/D_i=20/21,sum_y y*q_i_y,pass
V20,12,zprod_i=G*Y_i,unscaled inventory units,V/D_i=20/9,sum_y y*q_i_y,pass
V20,13,zprod_i=G*Y_i,unscaled inventory units,V/D_i=20/13,sum_y y*q_i_y,pass
V20,14,zprod_i=G*Y_i,unscaled inventory units,V/D_i=20/2,sum_y y*q_i_y,pass
V20,15,zprod_i=G*Y_i,unscaled inventory units,V/D_i=20/7,sum_y y*q_i_y,pass
V20,16,zprod_i=G*Y_i,unscaled inventory units,V/D_i=20/23,sum_y y*q_i_y,pass
V20,17,zprod_i=G*Y_i,unscaled inventory units,V/D_i=20/21,sum_y y*q_i_y,pass
V20,18,zprod_i=G*Y_i,unscaled inventory units,V/D_i=20/11,sum_y y*q_i_y,pass
V20,19,zprod_i=G*Y_i,unscaled inventory units,V/D_i=20/14,sum_y y*q_i_y,pass
V20,20,zprod_i=G*Y_i,unscaled inventory units,V/D_i=20/2,sum_y y*q_i_y,pass
V50,1,zprod_i=G*Y_i,unscaled inventory units,V/D_i=50/25,sum_y y*q_i_y,pass
V50,2,zprod_i=G*Y_i,unscaled inventory units,V/D_i=50/19,sum_y y*q_i_y,pass
V50,3,zprod_i=G*Y_i,unscaled inventory units,V/D_i=50/27,sum_y y*q_i_y,pass
V50,4,zprod_i=G*Y_i,unscaled inventory units,V/D_i=50/17,sum_y y*q_i_y,pass
V50,5,zprod_i=G*Y_i,unscaled inventory units,V/D_i=50/20,sum_y y*q_i_y,pass
V50,6,zprod_i=G*Y_i,unscaled inventory units,V/D_i=50/5,sum_y y*q_i_y,pass
V50,7,zprod_i=G*Y_i,unscaled inventory units,V/D_i=50/19,sum_y y*q_i_y,pass
V50,8,zprod_i=G*Y_i,unscaled inventory units,V/D_i=50/15,sum_y y*q_i_y,pass
V50,9,zprod_i=G*Y_i,unscaled inventory units,V/D_i=50/12,sum_y y*q_i_y,pass
V50,10,zprod_i=G*Y_i,unscaled inventory units,V/D_i=50/1,sum_y y*q_i_y,pass
V50,11,zprod_i=G*Y_i,unscaled inventory units,V/D_i=50/17,sum_y y*q_i_y,pass
V50,12,zprod_i=G*Y_i,unscaled inventory units,V/D_i=50/6,sum_y y*q_i_y,pass
V50,13,zprod_i=G*Y_i,unscaled inventory units,V/D_i=50/20,sum_y y*q_i_y,pass
V50,14,zprod_i=G*Y_i,unscaled inventory units,V/D_i=50/13,sum_y y*q_i_y,pass
V50,15,zprod_i=G*Y_i,unscaled inventory units,V/D_i=50/14,sum_y y*q_i_y,pass
V50,16,zprod_i=G*Y_i,unscaled inventory units,V/D_i=50/22,sum_y y*q_i_y,pass
V50,17,zprod_i=G*Y_i,unscaled inventory units,V/D_i=50/7,sum_y y*q_i_y,pass
V50,18,zprod_i=G*Y_i,unscaled inventory units,V/D_i=50/21,sum_y y*q_i_y,pass
V50,19,zprod_i=G*Y_i,unscaled inventory units,V/D_i=50/31,sum_y y*q_i_y,pass
V50,20,zprod_i=G*Y_i,unscaled inventory units,V/D_i=50/22,sum_y y*q_i_y,pass
V50,21,zprod_i=G*Y_i,unscaled inventory units,V/D_i=50/21,sum_y y*q_i_y,pass
V50,22,zprod_i=G*Y_i,unscaled inventory units,V/D_i=50/18,sum_y y*q_i_y,pass
V50,23,zprod_i=G*Y_i,unscaled inventory units,V/D_i=50/26,sum_y y*q_i_y,pass
V50,24,zprod_i=G*Y_i,unscaled inventory units,V/D_i=50/31,sum_y y*q_i_y,pass
V50,25,zprod_i=G*Y_i,unscaled inventory units,V/D_i=50/24,sum_y y*q_i_y,pass
