stage,state_or_instance,arm,cap_seconds,certificate,correctness_gate,false_certificate,source_file
stable_requalification_300s,D1,F0-CLEAN,300,False,True,False,stable_requalification_results.csv
stable_requalification_300s,D2,F0-CLEAN,300,True,True,False,stable_requalification_results.csv
stable_requalification_300s,D3,F0-CLEAN,300,True,True,False,stable_requalification_results.csv
stable_requalification_300s,D4,F0-CLEAN,300,True,True,False,stable_requalification_results.csv
stable_requalification_300s,D5,F0-CLEAN,300,True,True,False,stable_requalification_results.csv
stable_requalification_300s,D6,F0-CLEAN,300,True,True,False,stable_requalification_results.csv
stable_requalification_300s,D7,F0-CLEAN,300,True,True,False,stable_requalification_results.csv
stable_requalification_300s,D8,F0-CLEAN,300,True,True,False,stable_requalification_results.csv
stable_requalification_300s,D9,F0-CLEAN,300,False,True,False,stable_requalification_results.csv
stable_requalification_300s,D10,F0-CLEAN,300,True,True,False,stable_requalification_results.csv
stable_requalification_300s,D11,F0-CLEAN,300,False,True,False,stable_requalification_results.csv
stable_requalification_300s,D12,F0-CLEAN,300,True,True,False,stable_requalification_results.csv
stable_requalification_300s,D13,F0-CLEAN,300,True,True,False,stable_requalification_results.csv
stable_requalification_300s,D14,F0-CLEAN,300,False,True,False,stable_requalification_results.csv
live_pilot_120s,D1,F0-CLEAN,120,False,True,False,live_pilot_120s.csv
live_pilot_120s,D3,F0-CLEAN,120,False,True,False,live_pilot_120s.csv
live_pilot_120s,D4,F0-CLEAN,120,True,True,False,live_pilot_120s.csv
live_pilot_120s,D12,F0-CLEAN,120,True,True,False,live_pilot_120s.csv
live_pilot_120s,D13,F0-CLEAN,120,False,True,False,live_pilot_120s.csv
live_pilot_120s,D14,F0-CLEAN,120,False,True,False,live_pilot_120s.csv
live_pilot_120s,C3,F0-CLEAN,120,False,True,False,live_pilot_120s.csv
live_pilot_120s,V50_MODERATE,F0-CLEAN,120,False,True,False,live_pilot_120s.csv
live_pilot_120s,D1,SF-MC4,120,False,True,False,live_pilot_120s.csv
live_pilot_120s,D3,SF-MC4,120,True,True,False,live_pilot_120s.csv
live_pilot_120s,D4,SF-MC4,120,True,True,False,live_pilot_120s.csv
live_pilot_120s,D12,SF-MC4,120,True,True,False,live_pilot_120s.csv
live_pilot_120s,D13,SF-MC4,120,False,True,False,live_pilot_120s.csv
live_pilot_120s,D14,SF-MC4,120,False,True,False,live_pilot_120s.csv
live_pilot_120s,C3,SF-MC4,120,False,True,False,live_pilot_120s.csv
live_pilot_120s,V50_MODERATE,SF-MC4,120,False,True,False,live_pilot_120s.csv
live_pilot_120s,D1,VD-P,120,False,True,False,live_pilot_120s.csv
live_pilot_120s,D3,VD-P,120,True,True,False,live_pilot_120s.csv
live_pilot_120s,D4,VD-P,120,True,True,False,live_pilot_120s.csv
live_pilot_120s,D12,VD-P,120,True,True,False,live_pilot_120s.csv
live_pilot_120s,D13,VD-P,120,False,True,False,live_pilot_120s.csv
live_pilot_120s,D14,VD-P,120,False,True,False,live_pilot_120s.csv
live_pilot_120s,C3,VD-P,120,False,True,False,live_pilot_120s.csv
live_pilot_120s,V50_MODERATE,VD-P,120,False,True,False,live_pilot_120s.csv
live_pilot_120s,D1,VD-J,120,False,True,False,live_pilot_120s.csv
live_pilot_120s,D3,VD-J,120,True,True,False,live_pilot_120s.csv
live_pilot_120s,D4,VD-J,120,True,True,False,live_pilot_120s.csv
live_pilot_120s,D12,VD-J,120,True,True,False,live_pilot_120s.csv
live_pilot_120s,D13,VD-J,120,False,True,False,live_pilot_120s.csv
live_pilot_120s,D14,VD-J,120,False,True,False,live_pilot_120s.csv
live_pilot_120s,C3,VD-J,120,False,True,False,live_pilot_120s.csv
live_pilot_120s,V50_MODERATE,VD-J,120,False,True,False,live_pilot_120s.csv
fixed_interval_development_300s,D1,F0-CLEAN,300,False,True,False,fixed_interval_development_300s.csv
fixed_interval_development_300s,D2,F0-CLEAN,300,True,True,False,fixed_interval_development_300s.csv
fixed_interval_development_300s,D3,F0-CLEAN,300,True,True,False,fixed_interval_development_300s.csv
fixed_interval_development_300s,D4,F0-CLEAN,300,True,True,False,fixed_interval_development_300s.csv
fixed_interval_development_300s,D5,F0-CLEAN,300,True,True,False,fixed_interval_development_300s.csv
fixed_interval_development_300s,D6,F0-CLEAN,300,True,True,False,fixed_interval_development_300s.csv
fixed_interval_development_300s,D7,F0-CLEAN,300,True,True,False,fixed_interval_development_300s.csv
fixed_interval_development_300s,D8,F0-CLEAN,300,True,True,False,fixed_interval_development_300s.csv
fixed_interval_development_300s,D9,F0-CLEAN,300,False,True,False,fixed_interval_development_300s.csv
fixed_interval_development_300s,D10,F0-CLEAN,300,True,True,False,fixed_interval_development_300s.csv
fixed_interval_development_300s,D11,F0-CLEAN,300,False,True,False,fixed_interval_development_300s.csv
fixed_interval_development_300s,D12,F0-CLEAN,300,True,True,False,fixed_interval_development_300s.csv
fixed_interval_development_300s,D13,F0-CLEAN,300,True,True,False,fixed_interval_development_300s.csv
fixed_interval_development_300s,D14,F0-CLEAN,300,False,True,False,fixed_interval_development_300s.csv
fixed_interval_development_300s,D1,VD-P,300,False,True,False,fixed_interval_development_300s.csv
fixed_interval_development_300s,D2,VD-P,300,True,True,False,fixed_interval_development_300s.csv
