size,stations,min_capacity,max_capacity,selectors,perspectives,selector_domain,status
V12,12,20,49,348,348,"propagated inclusive integer [L_i,U_i]",pass
V20,20,20,45,603,603,"propagated inclusive integer [L_i,U_i]",pass
V50,50,20,49,1610,1610,"propagated inclusive integer [L_i,U_i]",pass
