instance_id,role,V,M,Q,T,arm,preset,inner_policy,cap_seconds,completion_status,certificate,correctness_gate,false_certificate,lower_bound,verified_upper_bound,gap,work,process_time_seconds,initial_root_range,split_count,interval_count,adaptive_score_count,adaptive_action_sha256,native_target_count,exact_parent_closure_count,fixed_interval_model_count,model_build_seconds,lp_work,terminal_mip_work,peak_memory_gb,executable_sha256,artifact_dir,gi_300s,gi_1200s,gi_1800s
round39_small_medium_V12_M3_Q30_slot08_seed1343324363,major witness,12,3,30,2850.0,K1-AM-SF,paper-k1-am-sf,interval-mip-core-no-exhaustive-subset-duration,1800,optimal,True,True,False,0.04500155005562828,0.04500155005562836,1.6961156415418443e-15,541.173795948995,382.0194548,"[0,0.049468682614419446]",0,1,2,dbb2c02d49bf7a450d771d5f91b4c87b23ee2ec9b4511e03407cd798cbe01448,1,0,3,0.12322609999999999,0.22195554982738724,540.6647565988693,0.076705699,3af8caf33b0437c6609871d11855be32e9a65f3e351e645de1c0751a10c3f397,results/gf_k1_am_sf_station_state_chain_round55/local_raw/k1_integration/round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K1-AM-SF__1800s,0.1540452165780907,0.04572456859022424,0.03048304572681616
round39_small_medium_V12_M3_Q30_slot08_seed1343324363,major witness,12,3,30,2850.0,K1-AM-SF-CANDIDATE,research-k1-am-sf-vdp,round55-vd-p,1800,optimal,True,True,False,0.04500155005562801,0.04500155005562836,7.709616552462929e-15,974.0974283459344,664.3817485,"[0,0.049468682614419446]",0,1,2,38bf97fb068b9c93e37b1c6f9cb220d711349b3c1cfff8238f6f23e695bb30e2,1,0,3,0.1420505,0.24003182276734383,973.5055472828092,0.099547641,3af8caf33b0437c6609871d11855be32e9a65f3e351e645de1c0751a10c3f397,results/gf_k1_am_sf_station_state_chain_round55/local_raw/k1_integration/round39_small_medium_V12_M3_Q30_slot08_seed1343324363__K1-AM-SF-CANDIDATE__1800s,0.16787184180608405,0.08123024872041633,0.05415349914694422
round39_small_hard_V12_M3_Q30_slot08_seed1288546114,strong control,12,3,30,2400.0,K1-AM-SF,paper-k1-am-sf,interval-mip-core-no-exhaustive-subset-duration,1800,optimal,True,True,False,0.5063433073265636,0.506343307565206,4.713053861981636e-10,208.95192254875317,137.0667283,"[0,0.50642278922416295]",0,1,1,56a27e93f47332d94b02525f5aa2963d1fd333f7bd74e395cbca5299284d2eb0,0,0,3,0.1276739,0.3758130916865769,208.5761094570666,0.091536942,3af8caf33b0437c6609871d11855be32e9a65f3e351e645de1c0751a10c3f397,results/gf_k1_am_sf_station_state_chain_round55/local_raw/k1_integration/round39_small_hard_V12_M3_Q30_slot08_seed1288546114__K1-AM-SF__1800s,0.08584027721338129,0.021460069303345323,0.01430671286889688
round39_small_hard_V12_M3_Q30_slot08_seed1288546114,strong control,12,3,30,2400.0,K1-AM-SF-CANDIDATE,research-k1-am-sf-vdp,round55-vd-p,1800,optimal,True,True,False,0.506343307565206,0.506343307565206,0.0,62.13962473373013,42.0608415,"[0,0.50642278922416295]",0,1,2,1df1c61a0bf654fd858719f76fd6f324403f3d2f299a57d690277aaa41f1fffd,1,0,3,0.1630238,0.32326637604588226,61.477631487008416,0.060600493,3af8caf33b0437c6609871d11855be32e9a65f3e351e645de1c0751a10c3f397,results/gf_k1_am_sf_station_state_chain_round55/local_raw/k1_integration/round39_small_hard_V12_M3_Q30_slot08_seed1288546114__K1-AM-SF-CANDIDATE__1800s,0.029440849402705832,0.007360212350676458,0.004906808233784306
round39_small_hard_V10_M3_Q20_slot04_seed1145042375,V10 easy negative control,10,3,20,2400.0,K1-AM-SF,paper-k1-am-sf,interval-mip-core-no-exhaustive-subset-duration,1800,optimal,True,True,False,0.5045438521642074,0.5045438521642074,0.0,11.0281353172203,8.5897829,"[0,0.50454385216420738]",0,1,1,6045b68adc442fa1d3a38f3bdee4931c87e01e05336dc65dded60e0a1aac373c,0,0,3,0.1032894,0.1286002931394335,10.899535024080867,0.022298991,3af8caf33b0437c6609871d11855be32e9a65f3e351e645de1c0751a10c3f397,results/gf_k1_am_sf_station_state_chain_round55/local_raw/k1_integration/round39_small_hard_V10_M3_Q20_slot04_seed1145042375__K1-AM-SF__1800s,0.010817546010879057,0.0027043865027197643,0.0018029243351465093
round39_small_hard_V10_M3_Q20_slot04_seed1145042375,V10 easy negative control,10,3,20,2400.0,K1-AM-SF-CANDIDATE,research-k1-am-sf-vdp,round55-vd-p,1800,optimal,True,True,False,0.5045438521642086,0.5045438521642074,0.0,5.127222149304677,4.8469043,"[0,0.50454385216420738]",0,1,1,6045b68adc442fa1d3a38f3bdee4931c87e01e05336dc65dded60e0a1aac373c,0,0,3,0.0781158,0.14575754103375127,4.981464608270926,0.025178088,3af8caf33b0437c6609871d11855be32e9a65f3e351e645de1c0751a10c3f397,results/gf_k1_am_sf_station_state_chain_round55/local_raw/k1_integration/round39_small_hard_V10_M3_Q20_slot04_seed1145042375__K1-AM-SF-CANDIDATE__1800s,0.006728129559878101,0.0016820323899695252,0.0011213549266463501
round39_small_hard_V12_M3_Q20_slot07_seed621538683,numerical endpoint,12,3,20,2400.0,K1-AM-SF,paper-k1-am-sf,interval-mip-core-no-exhaustive-subset-duration,1800,optimal,True,True,False,0.6471164042810124,0.6471164334555021,4.508383376569541e-08,88.06686438040123,55.8054492,"[0,0.64711643345550207]",0,1,1,838a310cd5d438c8c9f29a50000be3f7338609b77075ca3522c7addf048c2425,0,0,3,0.11423849999999999,0.39061258603371257,87.67625179436752,0.057456761,3af8caf33b0437c6609871d11855be32e9a65f3e351e645de1c0751a10c3f397,results/gf_k1_am_sf_station_state_chain_round55/local_raw/k1_integration/round39_small_hard_V12_M3_Q20_slot07_seed621538683__K1-AM-SF__1800s,0.05366635447013528,0.01341658861753382,0.008944392411689213
round39_small_hard_V12_M3_Q20_slot07_seed621538683,numerical endpoint,12,3,20,2400.0,K1-AM-SF-CANDIDATE,research-k1-am-sf-vdp,round55-vd-p,1800,optimal,True,True,False,0.6471164334555018,0.6471164334555021,3.431292939654574e-16,67.76226440397612,43.8576831,"[0,0.64711643345550207]",0,1,1,838a310cd5d438c8c9f29a50000be3f7338609b77075ca3522c7addf048c2425,0,0,3,0.1452656,0.4216542412704322,67.34061016270569,0.064762204,3af8caf33b0437c6609871d11855be32e9a65f3e351e645de1c0751a10c3f397,results/gf_k1_am_sf_station_state_chain_round55/local_raw/k1_integration/round39_small_hard_V12_M3_Q20_slot07_seed621538683__K1-AM-SF-CANDIDATE__1800s,0.0451920918510241,0.011298022962756026,0.007532015308504016
round39_small_hard_V12_M2_Q20_slot06_seed258908503,V12 M2 hard,12,2,20,2400.0,K1-AM-SF,paper-k1-am-sf,interval-mip-core-no-exhaustive-subset-duration,1800,optimal,True,True,False,0.7062530985290747,0.7062530985290749,3.1439806124389017e-16,8.019598063664871,6.115822,"[0,0.70625309852907492]",0,1,1,6fd47e74f07e9b06f21b940edfe24ec5f04d9baf633e38743031027a883b1a85,0,0,3,0.0881452,0.1741543178180817,7.845443745846789,0.022392678,3af8caf33b0437c6609871d11855be32e9a65f3e351e645de1c0751a10c3f397,results/gf_k1_am_sf_station_state_chain_round55/local_raw/k1_integration/round39_small_hard_V12_M2_Q20_slot06_seed258908503__K1-AM-SF__1800s,0.004942710120813148,0.001235677530203287,0.0008237850201355247
round39_small_hard_V12_M2_Q20_slot06_seed258908503,V12 M2 hard,12,2,20,2400.0,K1-AM-SF-CANDIDATE,research-k1-am-sf-vdp,round55-vd-p,1800,optimal,True,True,False,0.7062530985290751,0.7062530985290749,0.0,5.451900729922681,4.8486837,"[0,0.70625309852907492]",0,1,2,8cf33f94ab880ceac0df6826fbcd5f9efb973f87760902ed552365839ac1520e,1,0,3,0.1036237,0.19019770951810297,5.073922527537566,0.028446979,3af8caf33b0437c6609871d11855be32e9a65f3e351e645de1c0751a10c3f397,results/gf_k1_am_sf_station_state_chain_round55/local_raw/k1_integration/round39_small_hard_V12_M2_Q20_slot06_seed258908503__K1-AM-SF-CANDIDATE__1800s,0.004061707712564716,0.001015426928141179,0.0006769512854274526
