size,model,textual_abs_min,textual_abs_max,min_target,max_target,min_weight,max_weight,action,status
V12,VD-J build-only canonical LP,0.0225,45530.72471551408,9.0,24.0,0.15,1.0,finite; no coefficient modified,pass
V20,VD-J build-only canonical LP,0.0075,49109.54312435333,2.0,34.0,0.05,1.0,finite; no coefficient modified,pass
V50,VD-J build-only canonical LP,0.0075,49295.66914650352,1.0,34.0,0.05,1.0,finite; no coefficient modified,pass
