instance_id,role,cap_seconds,decision_index,stable_interval_id,candidate_interval_id,stable_action,candidate_action,stable_gamma_L,stable_gamma_U,candidate_gamma_L,candidate_gamma_U,stable_reason,candidate_reason,classification
round39_small_medium_V12_M3_Q30_slot08_seed1343324363,major witness,1800,0,L0,L0,native-target,native-target,0,0.049468682614419446,0,0.049468682614419446,adaptive_mass_score_below_tau_native_target,adaptive_mass_score_below_tau_native_target,bound_or_telemetry_change
round39_small_hard_V12_M3_Q30_slot08_seed1288546114,strong control,1800,0,L0,L0,exact-close,native-target,0,0.50642278922416295,0,0.50642278922416295,adaptive_mass_no_strict_child_improvement,adaptive_mass_score_below_tau_native_target,materially_changed_action
round39_small_hard_V12_M3_Q30_slot08_seed1288546114,strong control,1800,1,,L0,,exact-close,,,0,0.50642278922416295,,adaptive_mass_no_strict_child_improvement,materially_changed_action
round39_small_hard_V12_M2_Q20_slot06_seed258908503,V12 M2 hard,1800,0,L0,L0,exact-close,native-target,0,0.70625309852907492,0,0.70625309852907492,adaptive_mass_no_strict_child_improvement,adaptive_mass_score_below_tau_native_target,materially_changed_action
round39_small_hard_V12_M2_Q20_slot06_seed258908503,V12 M2 hard,1800,1,,L0,,exact-close,,,0,0.70625309852907492,,adaptive_mass_no_strict_child_improvement,materially_changed_action
round39_small_easy_V12_M3_Q30_slot08_seed1167625600,startup/easy V12,1800,0,L0,L0,native-target,native-target,0,0.021337006039780566,0,0.021337006039780566,adaptive_mass_score_below_tau_native_target,adaptive_mass_score_below_tau_native_target,bound_or_telemetry_change
tight_T_seed3102,tight3102,1800,0,L0.0,L0.0,native-target,native-target,0,0.30035221834255404,0,0.30035221834255404,adaptive_mass_score_below_tau_native_target,adaptive_mass_score_below_tau_native_target,bound_or_telemetry_change
high_imbalance_seed3201,high-imbalance 3201,1800,1,L0.1.0,L0.1.0,exact-close,exact-close,0.47499999999999998,0.71249999999999991,0.47499999999999998,0.71249999999999991,adaptive_mass_no_strict_child_improvement,adaptive_mass_no_strict_child_improvement,bound_or_telemetry_change
moderate_seed3301,moderate3301,1800,0,L0,L0,split,native-target,0,0.04915255266474515,0,0.04915255266474515,adaptive_mass_score_reaches_tau,adaptive_mass_score_below_tau_native_target,materially_changed_action
moderate_seed3301,moderate3301,1800,1,L0.0,L0,exact-close,exact-close,0,0.024576276332372575,0,0.04915255266474515,adaptive_mass_no_strict_child_improvement,adaptive_mass_no_strict_child_improvement,bound_or_telemetry_change
moderate_seed3302,moderate3302,1800,0,L0,L0,native-target,native-target,0,0.19563620654901237,0,0.19563620654901237,adaptive_mass_score_below_tau_native_target,adaptive_mass_score_below_tau_native_target,bound_or_telemetry_change
round54_generalization_high_imbalance_3600_V20_M2_Q20_seed1146056210,additional V20,1800,0,L0.1,L0.1,native-target,native-target,0.47499999999999998,0.94999999999999996,0.47499999999999998,0.94999999999999996,adaptive_mass_score_below_tau_native_target,adaptive_mass_score_below_tau_native_target,bound_or_telemetry_change
round54_generalization_moderate_3600_V20_M2_Q30_seed1642261739,additional V20,1800,0,L0,L0,native-target,native-target,0,0.23614830535240436,0,0.23614830535240436,adaptive_mass_score_below_tau_native_target,adaptive_mass_score_below_tau_native_target,bound_or_telemetry_change
round54_generalization_tight_T_2400_V20_M3_Q20_seed694334990,additional V20,1800,0,L0,L0,native-target,native-target,0,0.6927131563039286,0,0.6927131563039286,adaptive_mass_score_below_tau_native_target,adaptive_mass_score_below_tau_native_target,bound_or_telemetry_change
round54_generalization_moderate_3600_V50_M2_Q20_seed1123418787,additional V50,1800,0,L0,L0,native-target,native-target,0,0.72751297198715226,0,0.72751297198715226,adaptive_mass_score_below_tau_native_target,adaptive_mass_score_below_tau_native_target,bound_or_telemetry_change
round54_generalization_tight_T_2400_V50_M2_Q30_seed554739910,additional V50,1800,0,L0.1,L0.1,native-target,native-target,0.48999999999999999,0.97999999999999998,0.48999999999999999,0.97999999999999998,adaptive_mass_score_below_tau_native_target,adaptive_mass_score_below_tau_native_target,bound_or_telemetry_change
